statenum,Year,Aou,SpeciesTotal
3,1982,2630,1
3,1982,4120,1
3,1982,4661,17
3,1982,4840,1
3,1982,4860,2
3,1982,5280,1
3,1982,5540,2
3,1982,5670,16
3,1982,6140,2
3,1982,6150,9
3,1982,6180,5
3,1982,6460,12
3,1982,6550,7
3,1982,6750,1
3,1982,6800,1
3,1982,7490,1
3,1982,7570,14
3,1982,7580,8
3,1982,7610,1
3,1982,7630,2
3,1991,2300,2
3,1991,2550,2
3,1991,2630,3
3,1991,4120,2
3,1991,4590,6
3,1991,4661,48
3,1991,4680,2
3,1991,4840,27
3,1991,4860,2
3,1991,5220,5
3,1991,5420,1
3,1991,5540,20
3,1991,5670,99
3,1991,5830,7
3,1991,6140,1
3,1991,6150,5
3,1991,6180,3
3,1991,6460,12
3,1991,6550,20
3,1991,6850,1
3,1991,7400,1
3,1991,7490,2
3,1991,7540,6
3,1991,7570,1
3,1991,7580,65
3,1991,7590,2
3,1991,7610,18
3,1991,7630,29
3,1992,2630,2
3,1992,3370,1
3,1992,3600,1
3,1992,4120,2
3,1992,4590,5
3,1992,4661,30
3,1992,4680,5
3,1992,4840,13
3,1992,4860,3
3,1992,5150,3
3,1992,5220,19
3,1992,5280,2
3,1992,5540,27
3,1992,5670,64
3,1992,5830,9
3,1992,6150,8
3,1992,6180,2
3,1992,6460,15
3,1992,6520,1
3,1992,6550,17
3,1992,6850,1
3,1992,7400,2
3,1992,7490,4
3,1992,7540,5
3,1992,7570,2
3,1992,7580,59
3,1992,7590,6
3,1992,7610,10
3,1992,7630,14
3,1994,2630,2
3,1994,3600,2
3,1994,4120,2
3,1994,4590,2
3,1994,4661,16
3,1994,4680,17
3,1994,4840,7
3,1994,4860,1
3,1994,5150,4
3,1994,5220,37
3,1994,5280,1
3,1994,5540,24
3,1994,5600,1
3,1994,5670,77
3,1994,5830,12
3,1994,6150,14
3,1994,6180,2
3,1994,6460,13
3,1994,6550,12
3,1994,6750,2
3,1994,6850,2
3,1994,7400,2
3,1994,7490,13
3,1994,7540,2
3,1994,7570,1
3,1994,7580,69
3,1994,7590,2
3,1994,7610,10
3,1994,7630,36
3,1996,2630,1
3,1996,4590,1
3,1996,4661,28
3,1996,4680,12
3,1996,4840,8
3,1996,4860,2
3,1996,5220,2
3,1996,5280,1
3,1996,5420,3
3,1996,5540,20
3,1996,5670,44
3,1996,5830,6
