statenum,Year,Aou,SpeciesTotal
50,1967,1440,15
50,1967,1940,6
50,1967,1960,17
50,1967,2630,1
50,1967,2730,1
50,1967,3091,2
50,1967,3131,8
50,1967,3160,14
50,1967,3880,5
50,1967,3900,3
50,1967,3940,1
50,1967,4050,1
50,1967,4060,3
50,1967,4120,6
50,1967,4230,23
50,1967,4280,1
50,1967,4440,4
50,1967,4520,1
50,1967,4610,5
50,1967,4660,1
50,1967,4740,3
50,1967,4770,17
50,1967,4880,23
50,1967,4930,37
50,1967,4940,15
50,1967,4950,15
50,1967,4980,120
50,1967,5010,12
50,1967,5011,38
50,1967,5070,9
50,1967,5110,16
50,1967,5290,7
50,1967,5400,19
50,1967,5420,8
50,1967,5460,6
50,1967,5600,13
50,1967,5630,17
50,1967,5810,23
50,1967,5930,14
50,1967,5950,5
50,1967,5980,8
50,1967,6040,24
50,1967,6130,5
50,1967,6140,1
50,1967,6170,5
50,1967,6270,5
50,1967,6280,1
50,1967,6520,2
50,1967,6810,11
50,1967,6882,115
50,1967,7040,12
50,1967,7050,5
50,1967,7210,18
50,1967,7310,1
50,1967,7550,1
50,1967,7610,21
50,1967,7660,1
50,1969,1940,2
50,1969,2630,2
50,1969,2730,2
50,1969,3131,14
50,1969,3160,15
50,1969,3370,1
50,1969,3600,1
50,1969,3900,3
50,1969,3940,3
50,1969,4050,2
50,1969,4060,1
50,1969,4090,8
50,1969,4120,8
50,1969,4230,15
50,1969,4440,3
50,1969,4520,9
50,1969,4560,5
50,1969,4610,4
50,1969,4660,4
50,1969,4740,7
50,1969,4770,8
50,1969,4880,32
50,1969,4930,61
50,1969,4940,16
50,1969,4950,17
50,1969,4980,120
50,1969,5010,20
50,1969,5011,30
50,1969,5060,1
50,1969,5070,15
50,1969,5110,16
50,1969,5290,19
50,1969,5400,21
50,1969,5420,7
50,1969,5600,12
50,1969,5630,16
50,1969,5810,28
50,1969,5930,24
50,1969,5950,15
50,1969,5980,12
50,1969,6040,7
50,1969,6110,1
50,1969,6130,12
50,1969,6160,8
50,1969,6170,5
50,1969,6190,4
50,1969,6240,2
50,1969,6270,7
50,1969,6280,2
50,1969,6520,3
50,1969,6810,18
50,1969,6882,280
50,1969,7040,10
50,1969,7050,7
50,1969,7210,35
50,1969,7240,1
50,1969,7270,2
50,1969,7310,1
50,1969,7350,2
50,1969,7550,1
