statenum,Year,Aou,SpeciesTotal
2,1967,2010,2
2,1967,2020,1
2,1967,2030,1
2,1967,2730,8
2,1967,2890,52
2,1967,3131,11
2,1967,3160,43
2,1967,3870,19
2,1967,3940,14
2,1967,4050,6
2,1967,4090,11
2,1967,4120,4
2,1967,4160,8
2,1967,4171,1
2,1967,4230,35
2,1967,4440,6
2,1967,4610,10
2,1967,4650,2
2,1967,4770,31
2,1967,4880,29
2,1967,4930,135
2,1967,4950,30
2,1967,4980,49
2,1967,5010,182
2,1967,5060,21
2,1967,5110,209
2,1967,5290,1
2,1967,5600,11
2,1967,5630,27
2,1967,5870,41
2,1967,5930,70
2,1967,5970,4
2,1967,5980,66
2,1967,6040,12
2,1967,6080,1
2,1967,6100,6
2,1967,6110,35
2,1967,6130,47
2,1967,6220,6
2,1967,6240,10
2,1967,6310,3
2,1967,6730,4
2,1967,6740,1
2,1967,6810,34
2,1967,6830,27
2,1967,6882,234
2,1967,7030,75
2,1967,7040,10
2,1967,7050,17
2,1967,7180,8
2,1967,7310,18
2,1967,7360,20
2,1967,7510,1
2,1967,7550,12
2,1967,7610,46
2,1967,7660,10
2,1968,1320,3
2,1968,1440,2
2,1968,2730,6
2,1968,2890,27
2,1968,3131,10
2,1968,3160,30
2,1968,3260,1
2,1968,3870,7
2,1968,3940,10
2,1968,4050,2
2,1968,4090,9
2,1968,4120,4
2,1968,4160,2
2,1968,4171,1
2,1968,4200,1
2,1968,4230,19
2,1968,4440,5
2,1968,4520,2
2,1968,4610,19
2,1968,4650,1
2,1968,4770,29
2,1968,4880,18
2,1968,4930,80
2,1968,4950,4
2,1968,4980,98
2,1968,5010,190
2,1968,5060,10
2,1968,5110,857
2,1968,5290,3
2,1968,5460,4
2,1968,5630,21
2,1968,5870,11
2,1968,5930,61
2,1968,5970,10
2,1968,5980,123
2,1968,6040,6
2,1968,6100,8
2,1968,6110,17
2,1968,6120,1
2,1968,6130,47
2,1968,6170,7
2,1968,6220,2
2,1968,6240,5
2,1968,6310,2
2,1968,6360,2
2,1968,6370,1
2,1968,6480,1
2,1968,6810,20
2,1968,6830,9
2,1968,6882,409
2,1968,7030,71
2,1968,7040,4
2,1968,7050,7
2,1968,7180,3
2,1968,7270,1
2,1968,7310,16
2,1968,7360,13
2,1968,7550,8
2,1968,7610,16
2,1968,7660,4
2,1969,2730,1
2,1969,2890,33
2,1969,3160,60
2,1969,3870,10
2,1969,3930,1
2,1969,3940,5
2,1969,4090,15
2,1969,4120,1
2,1969,4160,4
2,1969,4230,19
2,1969,4440,8
2,1969,4520,1
2,1969,4560,1
2,1969,4610,21
2,1969,4650,7
2,1969,4770,37
2,1969,4880,15
2,1969,4930,80
2,1969,4950,10
2,1969,4980,49
2,1969,5010,133
2,1969,5060,5
2,1969,5070,1
2,1969,5110,144
2,1969,5460,5
2,1969,5600,7
2,1969,5630,31
2,1969,5870,16
2,1969,5930,58
2,1969,5970,10
2,1969,5980,64
2,1969,6040,1
2,1969,6100,2
2,1969,6130,29
2,1969,6170,1
2,1969,6220,3
2,1969,6240,2
2,1969,6310,3
2,1969,6370,1
2,1969,6630,1
2,1969,6810,20
2,1969,6830,7
2,1969,6882,216
2,1969,7030,66
2,1969,7040,9
2,1969,7050,9
2,1969,7180,9
2,1969,7310,5
2,1969,7360,10
2,1969,7550,16
2,1969,7610,25
2,1969,7660,9
2,1970,2730,2
2,1970,2890,42
2,1970,3160,34
2,1970,3870,8
2,1970,3930,1
2,1970,3940,1
2,1970,4050,2
2,1970,4090,6
2,1970,4120,1
2,1970,4160,1
2,1970,4230,17
2,1970,4440,4
2,1970,4610,12
2,1970,4770,28
2,1970,4880,12
2,1970,4930,68
2,1970,4950,2
2,1970,4980,90
2,1970,5010,104
2,1970,5060,3
2,1970,5110,142
2,1970,5460,2
2,1970,5600,8
2,1970,5630,16
2,1970,5870,25
2,1970,5930,63
2,1970,5970,10
2,1970,5980,63
2,1970,6040,2
2,1970,6100,4
2,1970,6110,4
2,1970,6120,7
2,1970,6130,30
2,1970,6170,2
2,1970,6240,7
2,1970,6310,3
2,1970,6370,4
2,1970,6580,1
2,1970,6740,1
2,1970,6810,29
2,1970,6830,13
2,1970,6882,143
2,1970,7030,71
2,1970,7040,3
2,1970,7050,6
2,1970,7180,11
2,1970,7270,1
2,1970,7310,3
2,1970,7360,3
2,1970,7550,19
2,1970,7610,28
2,1970,7660,3
2,1971,2001,2
2,1971,2010,1
2,1971,2730,3
2,1971,2890,33
2,1971,3160,53
2,1971,3870,28
2,1971,3940,11
2,1971,4090,6
2,1971,4120,3
2,1971,4160,1
2,1971,4230,8
2,1971,4280,1
2,1971,4440,6
2,1971,4520,1
2,1971,4610,22
2,1971,4650,4
2,1971,4740,2
2,1971,4770,38
2,1971,4880,8
2,1971,4930,52
2,1971,4980,75
2,1971,5010,102
2,1971,5060,7
2,1971,5110,188
2,1971,5290,1
2,1971,5460,1
2,1971,5600,4
2,1971,5630,17
2,1971,5870,20
2,1971,5930,67
2,1971,5970,11
2,1971,5980,60
2,1971,6040,6
2,1971,6100,7
2,1971,6110,3
