Route,Year,Aou,SpeciesTotal
1,1967,2010,3
1,1967,2730,1
1,1967,2890,39
1,1967,3160,22
1,1967,3250,3
1,1967,3390,1
1,1967,3870,4
1,1967,3900,1
1,1967,3930,1
1,1967,3940,1
1,1967,4050,4
1,1967,4060,3
1,1967,4090,8
1,1967,4120,8
1,1967,4160,6
1,1967,4200,1
1,1967,4230,2
1,1967,4280,1
1,1967,4440,16
1,1967,4520,1
1,1967,4560,1
1,1967,4610,22
1,1967,4650,7
1,1967,4770,24
1,1967,4880,7
1,1967,4900,2
1,1967,4930,3
1,1967,4950,3
1,1967,4980,10
1,1967,5010,8
1,1967,5060,31
1,1967,5110,12
1,1967,5600,14
1,1967,5870,1
1,1967,5930,76
1,1967,5970,6
1,1967,5980,41
1,1967,6100,16
1,1967,6110,79
1,1967,6220,10
1,1967,6240,12
1,1967,6280,5
1,1967,6310,31
1,1967,6360,1
1,1967,6370,1
1,1967,6390,5
1,1967,6710,15
1,1967,6730,2
1,1967,6770,8
1,1967,6810,16
1,1967,6830,26
1,1967,6840,7
1,1967,6870,2
1,1967,6882,1
1,1967,7030,27
1,1967,7040,2
1,1967,7050,4
1,1967,7180,36
1,1967,7290,2
1,1967,7310,21
1,1967,7360,8
1,1967,7510,6
1,1967,7550,24
1,1967,7610,11
1,1968,2010,3
1,1968,2890,48
1,1968,3160,25
1,1968,3870,4
1,1968,3930,1
1,1968,4050,2
1,1968,4060,9
1,1968,4090,6
1,1968,4120,3
1,1968,4160,6
1,1968,4200,1
1,1968,4230,6
1,1968,4280,3
1,1968,4440,8
1,1968,4520,2
1,1968,4610,7
1,1968,4770,17
1,1968,4880,15
1,1968,4900,1
1,1968,4930,5
1,1968,4950,6
1,1968,4980,16
1,1968,5010,4
1,1968,5060,34
1,1968,5110,19
1,1968,5600,2
1,1968,5630,2
1,1968,5930,59
1,1968,5980,29
1,1968,6100,13
1,1968,6110,46
1,1968,6170,11
1,1968,6220,3
1,1968,6240,15
1,1968,6280,2
1,1968,6310,29
1,1968,6360,1
1,1968,6480,1
1,1968,6630,2
1,1968,6710,11
1,1968,6730,4
1,1968,6770,13
1,1968,6810,16
1,1968,6830,33
1,1968,6840,4
1,1968,7030,29
1,1968,7050,4
1,1968,7180,33
1,1968,7310,23
1,1968,7360,5
1,1968,7550,20
1,1968,7610,1
1,1968,7660,4
1,1969,2010,3
1,1969,2890,54
1,1969,3160,16
1,1969,3600,2
1,1969,3680,1
1,1969,3870,11
1,1969,3940,1
1,1969,4050,5
1,1969,4060,1
1,1969,4090,2
1,1969,4120,11
1,1969,4160,3
1,1969,4230,3
1,1969,4280,1
1,1969,4440,6
1,1969,4520,1
1,1969,4610,5
1,1969,4650,1
1,1969,4770,30
1,1969,4880,25
1,1969,4900,4
1,1969,4930,3
1,1969,4950,9
1,1969,4980,15
1,1969,5010,9
1,1969,5060,31
1,1969,5070,1
1,1969,5110,20
1,1969,5600,2
1,1969,5630,1
1,1969,5870,6
1,1969,5930,75
1,1969,5970,1
1,1969,5980,20
1,1969,6100,9
1,1969,6110,41
1,1969,6170,7
1,1969,6220,2
1,1969,6240,22
1,1969,6280,6
1,1969,6310,23
1,1969,6370,1
1,1969,6380,1
1,1969,6390,4
1,1969,6480,2
1,1969,6630,1
1,1969,6710,15
1,1969,6730,2
1,1969,6770,10
1,1969,6810,10
1,1969,6830,33
1,1969,6840,7
1,1969,6870,1
1,1969,6882,3
1,1969,7030,33
1,1969,7040,2
1,1969,7050,4
1,1969,7180,33
1,1969,7290,2
1,1969,7310,8
1,1969,7360,2
1,1969,7510,3
1,1969,7550,18
1,1969,7610,3
1,1969,7660,2
1,1970,2010,4
1,1970,2730,3
1,1970,2890,29
1,1970,3160,7
1,1970,3390,1
1,1970,3600,1
1,1970,3870,7
1,1970,3940,1
1,1970,4050,5
1,1970,4060,1
1,1970,4090,5
1,1970,4120,5
1,1970,4160,4
1,1970,4230,12
1,1970,4520,1
1,1970,4610,5
1,1970,4770,24
1,1970,4880,18
1,1970,4900,5
1,1970,4930,20
1,1970,4950,12
1,1970,4980,9
1,1970,5010,9
1,1970,5060,25
1,1970,5110,29
1,1970,5630,1
1,1970,5870,3
1,1970,5930,72
1,1970,5980,29
1,1970,6100,18
1,1970,6110,24
1,1970,6170,1
1,1970,6240,12
1,1970,6280,2
1,1970,6310,24
1,1970,6390,1
1,1970,6710,28
1,1970,6770,12
1,1970,6810,9
1,1970,6830,26
1,1970,6840,8
1,1970,7030,31
1,1970,7040,1
1,1970,7050,5
1,1970,7180,36
1,1970,7290,1
1,1970,7310,4
1,1970,7360,7
1,1970,7550,12
1,1970,7610,5
1,1970,7660,2
1,1971,2010,2
1,1971,2730,2
1,1971,2890,50
1,1971,3131,9
1,1971,3160,14
1,1971,3870,23
1,1971,3900,1
1,1971,4050,8
1,1971,4060,8
1,1971,4090,5
1,1971,4120,7
1,1971,4160,1
1,1971,4230,4
1,1971,4440,7
1,1971,4560,1
1,1971,4610,2
1,1971,4650,1
1,1971,4770,22
1,1971,4880,16
1,1971,4900,1
1,1971,4930,5
1,1971,4950,7
1,1971,4980,25
1,1971,5010,13
1,1971,5060,38
1,1971,5110,2
1,1971,5600,2
1,1971,5630,2
1,1971,5870,5
1,1971,5930,96
1,1971,5980,19
1,1971,6100,10
1,1971,6110,33
1,1971,6130,3
1,1971,6220,2
1,1971,6240,18
1,1971,6280,1
1,1971,6310,17
1,1971,6710,11
1,1971,6730,4
1,1971,6770,10
1,1971,6810,14
1,1971,6830,28
1,1971,6840,10
1,1971,6882,10
1,1971,7030,44
1,1971,7050,7
1,1971,7180,38
1,1971,7290,1
1,1971,7310,16
1,1971,7360,1
1,1971,7510,2
1,1971,7550,8
1,1971,7610,6
1,1971,7660,3
1,1972,2010,2
1,1972,2890,58
1,1972,3160,26
1,1972,3600,2
1,1972,3870,22
1,1972,3940,1
1,1972,4050,3
1,1972,4060,11
1,1972,4090,10
1,1972,4120,2
1,1972,4160,5
1,1972,4230,6
1,1972,4440,3
1,1972,4520,3
1,1972,4610,2
1,1972,4770,29
1,1972,4880,17
1,1972,4900,5
1,1972,4930,14
1,1972,4950,3
1,1972,4980,13
1,1972,5010,17
1,1972,5060,24
1,1972,5070,1
1,1972,5110,30
1,1972,5600,1
1,1972,5630,1
1,1972,5870,6
1,1972,5930,60
1,1972,5970,1
1,1972,5980,34
1,1972,6100,18
1,1972,6110,18
1,1972,6220,9
1,1972,6240,6
1,1972,6280,5
1,1972,6310,12
1,1972,6390,1
1,1972,6710,13
1,1972,6730,1
1,1972,6770,13
1,1972,6810,5
1,1972,6830,21
1,1972,6840,3
1,1972,6870,1
1,1972,6882,20
1,1972,7030,46
1,1972,7040,1
1,1972,7180,45
1,1972,7290,1
1,1972,7310,5
1,1972,7360,1
1,1972,7550,8
1,1972,7610,14
1,1972,7660,2
1,1973,1440,2
1,1973,2010,7
1,1973,2030,4
1,1973,2730,1
1,1973,2890,38
1,1973,3160,18
1,1973,3250,4
1,1973,3390,1
1,1973,3680,1
1,1973,3870,35
1,1973,3900,4
1,1973,3930,2
1,1973,3950,1
1,1973,4050,3
1,1973,4060,4
1,1973,4090,4
1,1973,4120,5
1,1973,4160,3
1,1973,4230,24
1,1973,4280,1
1,1973,4440,6
1,1973,4610,1
1,1973,4650,1
1,1973,4770,19
1,1973,4880,14
1,1973,4900,4
1,1973,4930,2
1,1973,4950,7
1,1973,4980,14
1,1973,5010,16
1,1973,5060,17
1,1973,5110,28
1,1973,5600,1
1,1973,5930,77
1,1973,5970,2
1,1973,5980,18
1,1973,6100,6
1,1973,6110,35
1,1973,6130,2
1,1973,6170,2
1,1973,6220,4
1,1973,6240,10
1,1973,6280,3
1,1973,6310,20
1,1973,6360,1
1,1973,6390,1
1,1973,6630,1
1,1973,6710,8
1,1973,6770,10
1,1973,6810,9
1,1973,6830,19
1,1973,6840,1
1,1973,6870,1
1,1973,7030,32
1,1973,7050,5
1,1973,7180,27
1,1973,7290,2
1,1973,7310,10
1,1973,7360,4
1,1973,7550,3
1,1973,7610,2
1,1973,7660,6
1,1974,2010,2
1,1974,2890,33
1,1974,3160,11
1,1974,3250,4
1,1974,3430,1
1,1974,3600,1
1,1974,3870,8
1,1974,3940,3
1,1974,4050,6
1,1974,4060,2
1,1974,4090,5
1,1974,4120,4
1,1974,4160,7
1,1974,4230,10
1,1974,4280,2
1,1974,4440,6
1,1974,4520,4
1,1974,4610,1
1,1974,4770,31
1,1974,4880,26
1,1974,4900,2
1,1974,4930,3
1,1974,4950,14
1,1974,4980,22
1,1974,5010,8
1,1974,5060,16
1,1974,5070,1
1,1974,5110,26
1,1974,5630,1
1,1974,5750,1
1,1974,5870,5
1,1974,5930,49
1,1974,5970,5
1,1974,5980,24
1,1974,6010,1
1,1974,6040,1
1,1974,6100,13
1,1974,6110,35
1,1974,6130,3
1,1974,6220,2
1,1974,6240,13
1,1974,6280,2
1,1974,6310,20
1,1974,6370,1
1,1974,6630,1
1,1974,6710,12
1,1974,6770,7
1,1974,6810,6
1,1974,6830,18
1,1974,6840,2
1,1974,6882,1
1,1974,7030,34
1,1974,7050,5
1,1974,7180,62
1,1974,7290,7
1,1974,7310,5
1,1974,7360,1
1,1974,7510,2
1,1974,7550,5
1,1974,7610,6
1,1974,7660,2
1,1975,2010,2
1,1975,2730,1
1,1975,2890,33
1,1975,3160,16
1,1975,3250,2
1,1975,3370,1
1,1975,3600,1
1,1975,3870,7
1,1975,3900,2
1,1975,3940,6
1,1975,4050,1
1,1975,4060,3
1,1975,4090,6
1,1975,4120,2
1,1975,4160,6
1,1975,4230,6
1,1975,4440,5
1,1975,4520,2
1,1975,4610,1
1,1975,4770,30
1,1975,4880,16
1,1975,4900,7
1,1975,4930,6
1,1975,4950,2
1,1975,4980,6
1,1975,5010,15
1,1975,5060,17
1,1975,5110,5
1,1975,5600,1
1,1975,5750,1
1,1975,5870,5
1,1975,5930,51
1,1975,5970,1
1,1975,5980,34
1,1975,6040,2
1,1975,6100,14
1,1975,6110,41
1,1975,6130,1
1,1975,6170,1
1,1975,6220,1
1,1975,6240,8
1,1975,6280,2
1,1975,6310,25
1,1975,6360,1
1,1975,6710,14
1,1975,6760,1
1,1975,6770,9
1,1975,6810,5
1,1975,6830,18
1,1975,6840,1
1,1975,6882,11
1,1975,7030,24
1,1975,7050,6
1,1975,7180,41
1,1975,7290,1
1,1975,7310,12
1,1975,7360,3
1,1975,7510,2
1,1975,7550,10
1,1975,7610,4
1,1975,7660,8
1,1976,2010,1
1,1976,2890,44
1,1976,3160,38
1,1976,3870,19
1,1976,3940,1
1,1976,4050,7
1,1976,4090,4
1,1976,4120,3
1,1976,4230,3
1,1976,4440,1
1,1976,4520,2
1,1976,4610,1
1,1976,4650,2
1,1976,4770,39
1,1976,4880,14
1,1976,4900,2
1,1976,4930,13
1,1976,4950,16
1,1976,4980,17
1,1976,5010,17
1,1976,5060,15
1,1976,5070,2
1,1976,5110,10
1,1976,5600,1
1,1976,5630,2
1,1976,5750,1
1,1976,5870,6
1,1976,5930,76
1,1976,5970,8
1,1976,5980,37
1,1976,6010,1
1,1976,6100,6
1,1976,6110,38
1,1976,6240,10
1,1976,6280,5
1,1976,6310,11
1,1976,6710,7
1,1976,6730,1
1,1976,6770,8
1,1976,6810,2
1,1976,6830,24
1,1976,7030,28
1,1976,7040,3
1,1976,7050,1
1,1976,7180,63
1,1976,7290,3
1,1976,7310,7
1,1976,7360,9
1,1976,7510,1
1,1976,7550,6
1,1976,7610,6
1,1976,7660,4
1,1977,1940,1
1,1977,2010,4
1,1977,2890,32
1,1977,3160,29
1,1977,3390,1
1,1977,3750,1
1,1977,3870,12
1,1977,3900,2
1,1977,4050,2
1,1977,4060,3
1,1977,4090,4
1,1977,4160,1
1,1977,4440,2
1,1977,4520,6
1,1977,4770,27
1,1977,4880,10
1,1977,4900,1
1,1977,4930,1
1,1977,4950,6
1,1977,4980,15
1,1977,5010,15
1,1977,5060,25
1,1977,5070,2
1,1977,5110,25
1,1977,5870,4
1,1977,5930,72
1,1977,5970,2
1,1977,5980,38
1,1977,6100,8
1,1977,6110,43
1,1977,6130,5
1,1977,6170,5
1,1977,6220,6
1,1977,6240,8
1,1977,6280,2
1,1977,6310,14
1,1977,6370,1
1,1977,6710,5
1,1977,6730,3
1,1977,6770,8
1,1977,6810,1
1,1977,6830,11
1,1977,6840,4
1,1977,6882,3
1,1977,7030,40
1,1977,7050,4
1,1977,7180,25
1,1977,7310,9
1,1977,7360,1
1,1977,7550,6
1,1977,7610,5
1,1977,7660,1
1,1978,2010,2
1,1978,2730,2
1,1978,2890,35
1,1978,3160,25
1,1978,3370,6
1,1978,3870,4
1,1978,3940,7
1,1978,3950,1
1,1978,4050,2
1,1978,4060,6
1,1978,4090,8
1,1978,4160,1
1,1978,4200,1
1,1978,4230,3
1,1978,4440,2
1,1978,4520,1
1,1978,4610,2
1,1978,4770,46
1,1978,4880,16
1,1978,4900,5
1,1978,4930,2
1,1978,4950,4
1,1978,4980,17
1,1978,5010,22
1,1978,5060,13
1,1978,5070,1
1,1978,5110,18
1,1978,5600,1
1,1978,5630,2
1,1978,5870,17
1,1978,5930,70
1,1978,5970,2
1,1978,5980,21
1,1978,6100,6
1,1978,6110,22
1,1978,6170,2
1,1978,6220,1
1,1978,6240,7
1,1978,6280,2
1,1978,6310,14
1,1978,6710,4
1,1978,6730,1
1,1978,6770,13
1,1978,6810,13
1,1978,6830,12
1,1978,6840,4
1,1978,7030,26
1,1978,7040,2
1,1978,7050,3
1,1978,7180,13
1,1978,7290,30
1,1978,7310,13
1,1978,7360,11
1,1978,7550,5
1,1978,7610,13
1,1979,2001,2
1,1979,2010,1
1,1979,2890,44
1,1979,3160,29
1,1979,3600,1
1,1979,3870,26
1,1979,3940,2
1,1979,4050,7
1,1979,4060,3
1,1979,4090,8
1,1979,4120,2
1,1979,4160,3
1,1979,4230,7
1,1979,4520,2
1,1979,4610,2
1,1979,4650,1
1,1979,4770,25
1,1979,4880,21
1,1979,4900,2
1,1979,4930,1
1,1979,4950,1
1,1979,4980,45
1,1979,5010,21
1,1979,5060,26
1,1979,5070,1
1,1979,5110,39
1,1979,5600,1
1,1979,5630,1
1,1979,5750,1
1,1979,5870,8
1,1979,5930,73
1,1979,5970,1
1,1979,5980,25
1,1979,6100,7
1,1979,6110,19
1,1979,6130,4
1,1979,6240,12
1,1979,6280,5
1,1979,6310,17
1,1979,6710,3
1,1979,6730,1
1,1979,6770,9
1,1979,6810,9
1,1979,6830,19
1,1979,6840,1
1,1979,7030,26
1,1979,7050,2
1,1979,7180,24
1,1979,7290,1
1,1979,7310,10
1,1979,7360,5
1,1979,7550,1
1,1979,7610,5
1,1980,2010,7
1,1980,2730,1
1,1980,2890,23
1,1980,3160,13
1,1980,3250,1
1,1980,3390,2
1,1980,3600,1
1,1980,3680,1
1,1980,3870,14
1,1980,3940,4
1,1980,4050,2
1,1980,4060,2
1,1980,4090,8
1,1980,4120,2
1,1980,4160,3
1,1980,4230,3
1,1980,4440,1
1,1980,4610,2
1,1980,4770,31
1,1980,4880,19
1,1980,4900,1
1,1980,4930,1
1,1980,4950,2
1,1980,4980,10
1,1980,5010,16
1,1980,5060,12
1,1980,5070,2
1,1980,5110,24
1,1980,5600,1
1,1980,5630,1
1,1980,5870,6
1,1980,5930,50
1,1980,5970,2
1,1980,5980,17
1,1980,6100,9
1,1980,6110,27
1,1980,6130,2
1,1980,6240,7
1,1980,6280,1
1,1980,6310,24
1,1980,6710,9
1,1980,6730,2
1,1980,6770,15
1,1980,6810,8
1,1980,6830,16
1,1980,6840,1
1,1980,6882,15
1,1980,7030,27
1,1980,7040,1
1,1980,7050,4
1,1980,7180,37
1,1980,7310,3
1,1980,7360,6
1,1980,7510,1
1,1980,7550,3
1,1980,7610,6
1,1980,7660,10
1,1981,2890,22
1,1981,3131,1
1,1981,3160,21
1,1981,3250,7
1,1981,3680,1
1,1981,3870,13
1,1981,3940,2
1,1981,3950,1
1,1981,4050,3
1,1981,4060,6
1,1981,4090,5
1,1981,4160,2
1,1981,4230,1
1,1981,4280,1
1,1981,4440,4
1,1981,4520,1
1,1981,4610,3
1,1981,4650,2
1,1981,4770,31
1,1981,4880,14
1,1981,4900,2
1,1981,4950,2
1,1981,4980,24
1,1981,5010,16
1,1981,5060,13
1,1981,5070,1
1,1981,5110,23
1,1981,5600,1
1,1981,5870,7
1,1981,5930,58
1,1981,5970,2
1,1981,5980,33
1,1981,6100,10
1,1981,6110,15
1,1981,6130,6
1,1981,6220,1
1,1981,6240,11
1,1981,6280,1
1,1981,6310,20
1,1981,6710,5
1,1981,6770,17
1,1981,6810,10
1,1981,6830,19
1,1981,6840,3
1,1981,6882,4
1,1981,7030,25
1,1981,7040,1
1,1981,7050,10
1,1981,7180,19
1,1981,7290,2
1,1981,7310,11
1,1981,7360,2
1,1981,7550,5
1,1981,7610,5
1,1981,7660,5
1,1982,2010,4
1,1982,2890,20
1,1982,3160,25
1,1982,3390,1
1,1982,3870,6
1,1982,3940,2
1,1982,4050,1
1,1982,4060,2
1,1982,4090,5
1,1982,4120,3
1,1982,4160,5
1,1982,4230,7
1,1982,4440,2
1,1982,4520,5
1,1982,4610,2
1,1982,4650,2
1,1982,4770,29
1,1982,4880,34
1,1982,4900,5
1,1982,4950,3
1,1982,4980,15
1,1982,5010,6
1,1982,5060,22
1,1982,5110,14
1,1982,5600,2
1,1982,5870,13
1,1982,5930,73
1,1982,5970,4
1,1982,5980,17
1,1982,6100,12
1,1982,6110,9
1,1982,6130,5
1,1982,6240,9
1,1982,6280,3
1,1982,6310,24
1,1982,6710,7
1,1982,6770,13
1,1982,6810,7
1,1982,6830,20
1,1982,6840,4
1,1982,6870,1
1,1982,6882,3
1,1982,7030,21
1,1982,7050,2
1,1982,7180,35
1,1982,7310,6
1,1982,7360,5
1,1982,7550,3
1,1982,7610,11
