statenum,Year,Aou,SpeciesTotal
27,1970,1840,1
27,1970,1960,5
27,1970,2000,1
27,1970,2001,2
27,1970,2110,1
27,1970,2890,8
27,1970,3160,2
27,1970,3250,7
27,1970,3260,3
27,1970,3390,2
27,1970,3750,1
27,1970,3870,6
27,1970,3940,4
27,1970,4050,4
27,1970,4090,19
27,1970,4160,4
27,1970,4200,6
27,1970,4280,2
27,1970,4440,1
27,1970,4520,10
27,1970,4610,5
27,1970,4650,2
27,1970,4770,9
27,1970,4880,19
27,1970,4900,4
27,1970,5010,1
27,1970,5060,3
27,1970,5110,10
27,1970,5750,1
27,1970,5870,65
27,1970,5930,38
27,1970,5980,7
27,1970,6010,17
27,1970,6100,11
27,1970,6240,20
27,1970,6280,1
27,1970,6310,58
27,1970,6480,16
27,1970,6710,16
27,1970,6730,4
27,1970,6810,34
27,1970,6830,2
27,1970,6840,7
27,1970,7030,9
27,1970,7050,3
27,1970,7180,45
27,1970,7250,1
27,1970,7290,1
27,1970,7310,25
27,1970,7360,5
27,1970,7510,16
27,1970,7610,1
27,1970,7660,1
27,1972,2001,2
27,1972,2890,8
27,1972,3100,1
27,1972,3200,2
27,1972,3250,4
27,1972,3260,7
27,1972,4090,12
27,1972,4160,1
27,1972,4200,4
27,1972,4230,2
27,1972,4520,11
27,1972,4610,1
27,1972,4770,5
27,1972,4880,9
27,1972,5010,1
27,1972,5110,15
27,1972,5870,63
27,1972,5930,38
27,1972,6010,11
27,1972,6100,2
27,1972,6240,6
27,1972,6310,19
27,1972,6370,1
27,1972,6480,1
27,1972,6710,1
27,1972,6810,1
27,1972,7030,4
27,1972,7050,1
27,1972,7180,12
27,1972,7310,2
27,1972,7360,1
27,1972,7510,2
27,1973,1880,1
27,1973,1940,1
27,1973,1960,1
27,1973,2010,1
27,1973,2890,4
27,1973,3160,1
27,1973,3200,1
27,1973,3250,8
27,1973,3260,1
27,1973,3870,1
27,1973,4050,3
27,1973,4090,18
27,1973,4120,2
27,1973,4160,1
27,1973,4200,5
27,1973,4230,2
27,1973,4280,1
27,1973,4520,8
27,1973,4610,1
27,1973,4770,4
27,1973,4880,14
27,1973,5110,8
27,1973,5870,34
27,1973,5930,26
27,1973,5980,1
27,1973,6010,6
27,1973,6100,2
27,1973,6110,1
27,1973,6240,10
27,1973,6310,27
27,1973,6480,3
27,1973,6710,5
27,1973,6810,8
27,1973,7030,5
27,1973,7050,2
27,1973,7180,21
27,1973,7310,3
27,1973,7360,4
27,1973,7510,6
27,1982,2020,1
27,1982,2890,12
27,1982,3160,5
27,1982,3200,1
27,1982,3250,1
27,1982,3390,4
27,1982,3870,3
27,1982,3930,1
27,1982,4050,2
27,1982,4060,1
27,1982,4090,11
27,1982,4120,1
27,1982,4160,1
27,1982,4200,1
27,1982,4520,18
27,1982,4610,3
27,1982,4650,1
27,1982,4770,2
27,1982,4880,24
27,1982,4900,4
27,1982,4930,1
27,1982,5060,3
27,1982,5110,1
27,1982,5870,57
27,1982,5930,31
27,1982,5970,2
27,1982,5980,5
27,1982,6010,1
27,1982,6100,6
27,1982,6240,13
27,1982,6280,3
27,1982,6310,25
27,1982,6480,19
27,1982,6710,14
27,1982,6810,18
27,1982,6830,1
27,1982,6840,11
27,1982,7030,2
27,1982,7050,2
27,1982,7180,39
27,1982,7290,3
27,1982,7310,20
27,1982,7360,9
27,1982,7510,9
27,1982,7550,5
27,1982,7660,1
27,1987,1960,1
27,1987,2001,4
27,1987,2030,2
27,1987,2730,1
27,1987,2890,15
27,1987,3160,6
27,1987,3250,3
27,1987,3260,1
27,1987,3390,1
27,1987,3870,21
27,1987,3940,2
27,1987,4050,3
27,1987,4090,4
27,1987,4120,2
27,1987,4160,2
27,1987,4200,7
27,1987,4280,1
27,1987,4520,1
27,1987,4610,2
27,1987,4650,12
27,1987,4770,7
27,1987,4880,33
27,1987,4900,4
27,1987,4950,6
27,1987,5010,1
27,1987,5110,3
27,1987,5870,53
27,1987,5930,73
27,1987,5980,2
27,1987,6100,4
27,1987,6240,14
27,1987,6280,6
27,1987,6310,35
27,1987,6480,5
27,1987,6630,1
27,1987,6710,26
27,1987,6810,11
27,1987,6840,22
27,1987,7030,9
27,1987,7040,1
27,1987,7050,4
27,1987,7180,54
27,1987,7290,3
27,1987,7310,15
27,1987,7360,4
27,1987,7510,9
27,1987,7550,7
27,1987,7660,3
27,1988,1840,2
27,1988,1940,3
27,1988,1960,1
27,1988,2001,3
27,1988,2030,1
27,1988,2890,18
27,1988,3160,8
27,1988,3260,6
27,1988,3270,1
27,1988,3290,3
27,1988,3370,1
27,1988,3390,4
27,1988,3870,21
27,1988,3930,1
27,1988,3940,7
27,1988,4050,7
27,1988,4090,18
27,1988,4160,1
27,1988,4200,5
27,1988,4230,12
27,1988,4280,2
27,1988,4520,15
27,1988,4610,3
27,1988,4650,4
27,1988,4770,5
27,1988,4880,30
27,1988,4900,2
27,1988,4930,1
27,1988,4950,4
27,1988,5110,3
27,1988,5870,50
27,1988,5930,55
27,1988,5970,1
27,1988,5980,7
27,1988,6010,2
27,1988,6100,5
27,1988,6110,1
27,1988,6240,21
27,1988,6280,5
27,1988,6310,18
27,1988,6480,14
27,1988,6630,1
27,1988,6710,23
27,1988,6810,8
27,1988,6840,13
27,1988,6882,1
27,1988,7030,10
27,1988,7050,3
27,1988,7180,44
27,1988,7310,20
27,1988,7360,6
27,1988,7510,10
27,1988,7550,7
27,1988,7660,1
27,1989,1840,1
27,1989,1940,3
27,1989,2730,1
27,1989,2890,12
27,1989,3160,12
27,1989,3250,7
27,1989,3260,3
27,1989,3680,2
27,1989,3870,8
27,1989,3930,1
27,1989,3940,8
