statenum,Year,Aou,SpeciesTotal
33,1972,1320,12
33,1972,1400,2
33,1972,2300,2
33,1972,2730,3
33,1972,3000,3
33,1972,3160,11
33,1972,3600,1
33,1972,3900,6
33,1972,4021,6
33,1972,4050,1
33,1972,4200,1
33,1972,4440,2
33,1972,4590,1
33,1972,4620,2
33,1972,4640,4
33,1972,4680,1
33,1972,4690,4
33,1972,4840,1
33,1972,4880,61
33,1972,4930,14
33,1972,4970,11
33,1972,4980,49
33,1972,5011,18
33,1972,5100,2
33,1972,5140,7
33,1972,5190,3
33,1972,5210,4
33,1972,5290,1
33,1972,5330,103
33,1972,5600,17
33,1972,5671,15
33,1972,5810,12
33,1972,5990,2
33,1972,6120,9
33,1972,6130,9
33,1972,6140,4
33,1972,6150,12
33,1972,6160,5
33,1972,6170,2
33,1972,6190,2
33,1972,6240,36
33,1972,6270,1
33,1972,6291,11
33,1972,6450,1
33,1972,6460,4
33,1972,6520,32
33,1972,6560,11
33,1972,6680,7
33,1972,6800,5
33,1972,6810,5
33,1972,6870,2
33,1972,6882,10
33,1972,7221,1
33,1972,7280,9
33,1972,7350,19
33,1972,7490,1
33,1972,7560,4
33,1972,7580,14
33,1972,7590,4
33,1972,7610,28
33,1972,7630,3
33,1973,60,9
33,1973,1290,1
33,1973,1320,10
33,1973,1410,2
33,1973,1500,2
33,1973,1940,3
33,1973,2210,6
33,1973,2300,10
33,1973,2730,3
33,1973,3000,1
33,1973,3091,1
33,1973,3160,3
33,1973,3600,1
33,1973,3930,1
33,1973,4021,2
33,1973,4050,1
33,1973,4220,3
33,1973,4240,6
33,1973,4440,3
33,1973,4590,3
33,1973,4620,3
33,1973,4660,1
33,1973,4690,8
33,1973,4860,7
33,1973,4880,56
33,1973,4930,51
33,1973,4950,8
33,1973,4970,7
33,1973,4980,12
33,1973,5011,6
33,1973,5100,2
33,1973,5190,5
33,1973,5290,11
33,1973,5330,33
33,1973,5600,19
33,1973,5671,4
33,1973,5810,9
33,1973,5830,1
33,1973,5990,4
33,1973,6120,2
33,1973,6130,9
33,1973,6140,2
33,1973,6150,13
33,1973,6160,3
33,1973,6170,8
33,1973,6190,1
33,1973,6240,73
33,1973,6291,1
33,1973,6460,3
33,1973,6520,29
33,1973,6560,15
33,1973,6680,5
33,1973,6800,3
33,1973,6810,13
33,1973,6870,8
33,1973,6882,6
33,1973,7210,1
33,1973,7250,2
