statenum,Year,Aou,SpeciesTotal
35,1980,60,6
35,1980,1320,16
35,1980,1400,12
35,1980,2010,4
35,1980,2190,1
35,1980,2210,9
35,1980,2630,1
35,1980,2730,16
35,1980,2890,2
35,1980,3131,25
35,1980,3160,11
35,1980,3870,2
35,1980,3940,2
35,1980,4120,5
35,1980,4200,2
35,1980,4230,8
35,1980,4440,3
35,1980,4660,2
35,1980,4740,2
35,1980,4770,8
35,1980,4880,8
35,1980,4930,92
35,1980,4950,10
35,1980,4970,3
35,1980,4980,40
35,1980,5010,7
35,1980,5110,110
35,1980,5290,11
35,1980,5400,4
35,1980,5420,3
35,1980,5600,5
35,1980,5630,3
35,1980,5810,39
35,1980,5840,1
35,1980,5870,1
35,1980,5930,12
35,1980,5980,32
35,1980,6110,9
35,1980,6130,7
35,1980,6140,38
35,1980,6160,157
35,1980,6190,1
35,1980,6240,1
35,1980,6270,1
35,1980,6520,4
35,1980,6810,10
35,1980,6882,241
35,1980,7040,7
35,1980,7050,3
35,1980,7210,6
35,1980,7250,13
35,1980,7550,1
35,1980,7610,86
35,1981,60,3
35,1981,540,1
35,1981,1320,13
35,1981,1400,6
35,1981,1440,2
35,1981,2010,3
35,1981,2190,9
35,1981,2210,20
35,1981,2630,3
35,1981,2730,6
35,1981,3131,88
35,1981,3160,9
35,1981,3600,1
35,1981,3900,1
35,1981,3940,1
35,1981,4060,2
35,1981,4120,2
35,1981,4200,1
35,1981,4230,14
35,1981,4440,6
35,1981,4520,3
35,1981,4610,3
35,1981,4660,5
35,1981,4670,1
35,1981,4740,3
35,1981,4770,21
35,1981,4880,7
35,1981,4930,201
35,1981,4940,3
35,1981,4950,4
35,1981,4970,5
35,1981,4980,84
35,1981,5010,10
35,1981,5011,1
35,1981,5070,4
35,1981,5110,31
35,1981,5290,20
35,1981,5400,6
35,1981,5420,2
35,1981,5600,2
35,1981,5630,3
35,1981,5810,51
35,1981,5840,1
35,1981,5870,1
35,1981,5930,18
35,1981,5950,2
35,1981,5980,25
35,1981,6110,2
35,1981,6130,21
35,1981,6140,1
35,1981,6160,12
35,1981,6170,2
35,1981,6190,6
35,1981,6240,7
35,1981,6270,4
35,1981,6520,8
35,1981,6810,16
35,1981,6870,2
35,1981,6882,136
35,1981,7040,13
35,1981,7050,1
35,1981,7210,2
35,1981,7250,8
35,1981,7310,2
35,1981,7610,68
35,1982,540,11
35,1982,1320,20
35,1982,1400,15
35,1982,2010,4
35,1982,2020,2
35,1982,2190,6
35,1982,2210,5
35,1982,2630,6
35,1982,2730,19
35,1982,2890,2
35,1982,3091,2
35,1982,3131,7
35,1982,3160,13
35,1982,3370,2
35,1982,3600,1
35,1982,3900,1
35,1982,3940,1
35,1982,4060,3
35,1982,4120,3
35,1982,4200,1
35,1982,4230,17
35,1982,4440,3
35,1982,4560,1
35,1982,4610,4
35,1982,4660,1
35,1982,4740,1
35,1982,4770,15
35,1982,4880,20
35,1982,4930,146
35,1982,4940,1
35,1982,4950,9
35,1982,4970,2
35,1982,4980,85
35,1982,5010,9
35,1982,5011,1
35,1982,5070,4
35,1982,5110,73
35,1982,5290,29
35,1982,5400,2
35,1982,5420,1
35,1982,5600,9
35,1982,5630,1
35,1982,5810,39
35,1982,5870,6
35,1982,5930,10
35,1982,5980,14
35,1982,6040,1
35,1982,6110,4
35,1982,6130,48
35,1982,6140,8
35,1982,6160,40
35,1982,6170,5
35,1982,6190,4
35,1982,6240,4
35,1982,6270,9
35,1982,6520,6
35,1982,6810,20
35,1982,6882,170
35,1982,7040,4
35,1982,7050,6
35,1982,7210,11
35,1982,7250,7
35,1982,7270,2
35,1982,7610,89
35,1982,7660,1
35,1983,540,21
35,1983,1320,26
35,1983,1720,3
35,1983,2010,9
35,1983,2020,12
35,1983,2190,1
35,1983,2210,1
35,1983,2630,2
35,1983,2730,16
35,1983,2890,3
35,1983,3091,7
35,1983,3131,58
35,1983,3160,71
35,1983,3370,2
35,1983,3600,2
