statenum,Year,Aou,SpeciesTotal
36,1967,2730,2
36,1967,2890,31
36,1967,3131,2
36,1967,3160,33
36,1967,3250,4
36,1967,3870,8
36,1967,3930,2
36,1967,3940,2
36,1967,4060,11
36,1967,4090,4
36,1967,4120,5
36,1967,4230,12
36,1967,4440,10
36,1967,4520,6
36,1967,4560,1
36,1967,4610,1
36,1967,4740,8
36,1967,4770,17
36,1967,4880,6
36,1967,4930,26
36,1967,4940,1
36,1967,4950,21
36,1967,4980,79
36,1967,5010,43
36,1967,5060,1
36,1967,5070,3
36,1967,5110,111
36,1967,5290,4
36,1967,5400,3
36,1967,5460,5
36,1967,5520,1
36,1967,5600,1
36,1967,5630,10
36,1967,5810,1
36,1967,5870,1
36,1967,5930,11
36,1967,5950,1
36,1967,5980,6
36,1967,6040,47
36,1967,6110,4
36,1967,6130,17
36,1967,6170,3
36,1967,6270,2
36,1967,6280,1
36,1967,6810,11
36,1967,6830,1
36,1967,6882,50
36,1967,7040,1
36,1967,7050,11
36,1967,7180,1
36,1967,7210,11
36,1967,7310,7
36,1967,7350,2
36,1967,7610,23
36,1967,7660,3
36,1968,2730,1
36,1968,2890,29
36,1968,3160,25
36,1968,3250,3
36,1968,3370,2
36,1968,3870,4
36,1968,3940,1
36,1968,4060,11
36,1968,4090,6
36,1968,4120,8
36,1968,4230,7
36,1968,4440,9
36,1968,4520,2
36,1968,4560,3
36,1968,4610,2
36,1968,4650,1
36,1968,4660,1
36,1968,4740,9
36,1968,4770,20
36,1968,4880,12
36,1968,4930,67
36,1968,4940,2
36,1968,4950,10
36,1968,4980,104
36,1968,5010,36
36,1968,5011,1
36,1968,5070,14
36,1968,5110,98
36,1968,5290,4
36,1968,5400,1
36,1968,5460,6
36,1968,5520,1
36,1968,5630,14
36,1968,5810,6
36,1968,5870,1
36,1968,5930,6
36,1968,5950,3
36,1968,5980,4
36,1968,6040,35
36,1968,6110,8
36,1968,6130,15
36,1968,6190,1
36,1968,6280,1
36,1968,6410,1
36,1968,6810,9
36,1968,6830,1
36,1968,6882,97
36,1968,7040,2
36,1968,7050,9
36,1968,7210,10
36,1968,7310,4
36,1968,7610,26
36,1968,7660,7
36,1969,2890,43
36,1969,3160,44
36,1969,3250,5
36,1969,3370,1
36,1969,3870,1
36,1969,3880,2
36,1969,3930,1
36,1969,3940,5
36,1969,4060,15
36,1969,4090,2
36,1969,4120,6
36,1969,4230,1
36,1969,4440,7
36,1969,4560,2
36,1969,4610,5
36,1969,4740,18
36,1969,4770,20
36,1969,4880,12
36,1969,4930,62
36,1969,4940,2
36,1969,4950,14
36,1969,4980,143
36,1969,5010,59
36,1969,5011,1
36,1969,5070,4
36,1969,5110,73
36,1969,5290,7
36,1969,5460,12
36,1969,5600,1
36,1969,5630,14
36,1969,5810,8
36,1969,5870,2
36,1969,5930,8
36,1969,5950,4
36,1969,5980,12
36,1969,6040,49
36,1969,6110,6
36,1969,6130,23
36,1969,6170,3
36,1969,6240,1
36,1969,6270,1
36,1969,6810,8
36,1969,6830,1
36,1969,6882,117
36,1969,7040,2
36,1969,7050,7
36,1969,7180,1
36,1969,7210,19
36,1969,7270,2
36,1969,7310,8
36,1969,7350,3
36,1969,7610,33
36,1969,7660,3
36,1970,2890,38
36,1970,3160,42
36,1970,3250,6
36,1970,3870,6
36,1970,3880,6
36,1970,3940,2
36,1970,4060,18
36,1970,4090,2
36,1970,4120,2
36,1970,4230,4
36,1970,4440,9
36,1970,4520,4
36,1970,4610,3
36,1970,4650,1
36,1970,4740,19
36,1970,4770,18
36,1970,4880,4
36,1970,4930,28
36,1970,4940,1
36,1970,4950,17
36,1970,4980,148
36,1970,5010,50
36,1970,5060,4
36,1970,5070,5
36,1970,5110,91
36,1970,5290,4
36,1970,5400,1
36,1970,5460,8
36,1970,5520,1
36,1970,5600,2
36,1970,5630,24
