statenum,Year,Aou,SpeciesTotal
44,1972,510,11
44,1972,3160,3
44,1972,3600,1
44,1972,3900,1
44,1972,4120,3
44,1972,4171,1
44,1972,4230,1
44,1972,4520,4
44,1972,4560,2
44,1972,4610,6
44,1972,4670,2
44,1972,4770,9
44,1972,4880,8
44,1972,4930,80
44,1972,4940,2
44,1972,4950,5
44,1972,4980,22
44,1972,5010,6
44,1972,5070,2
44,1972,5110,37
44,1972,5170,8
44,1972,5290,6
44,1972,5580,8
44,1972,5600,10
44,1972,5630,2
44,1972,5810,14
44,1972,5840,1
44,1972,5870,32
44,1972,6080,5
44,1972,6120,3
44,1972,6130,13
44,1972,6140,3
44,1972,6160,4
44,1972,6240,12
44,1972,6360,4
44,1972,6450,1
44,1972,6520,5
44,1972,6570,1
44,1972,6590,15
44,1972,6670,4
44,1972,6740,9
44,1972,6810,21
44,1972,6870,3
44,1972,6882,2
44,1972,7030,2
44,1972,7040,3
44,1972,7050,2
44,1972,7210,13
44,1972,7350,8
44,1972,7550,10
44,1972,7560,1
44,1972,7610,40
44,1973,510,7
44,1973,1330,1
44,1973,2010,2
44,1973,2730,1
44,1973,3160,8
44,1973,3880,1
44,1973,4120,4
44,1973,4230,11
44,1973,4440,3
44,1973,4520,1
44,1973,4560,3
44,1973,4610,4
44,1973,4670,2
44,1973,4770,20
44,1973,4880,14
44,1973,4930,24
44,1973,4940,3
44,1973,4950,10
44,1973,4980,25
44,1973,5010,10
44,1973,5070,1
44,1973,5110,37
44,1973,5170,2
44,1973,5290,11
44,1973,5580,4
44,1973,5600,5
44,1973,5630,3
44,1973,5810,22
44,1973,5840,3
44,1973,5870,27
44,1973,5980,2
44,1973,6080,7
44,1973,6130,12
44,1973,6140,15
44,1973,6240,15
44,1973,6360,2
44,1973,6450,1
44,1973,6520,2
44,1973,6590,7
44,1973,6670,1
44,1973,6740,10
44,1973,6810,20
44,1973,6870,1
44,1973,6882,5
44,1973,7040,11
44,1973,7210,10
44,1973,7270,4
44,1973,7280,1
44,1973,7350,7
44,1973,7550,15
44,1973,7560,4
44,1973,7610,34
44,1974,510,61
44,1974,2010,2
44,1974,2730,6
44,1974,3160,8
44,1974,3600,1
44,1974,4230,8
44,1974,4440,4
