statenum,Year,Aou,SpeciesTotal
47,1967,510,8
47,1967,2890,42
47,1967,3091,5
47,1967,3160,21
47,1967,3600,2
47,1967,3730,1
47,1967,3870,1
47,1967,4120,18
47,1967,4230,7
47,1967,4520,3
47,1967,4770,54
47,1967,4880,21
47,1967,4930,9
47,1967,4980,31
47,1967,5070,24
47,1967,5110,43
47,1967,5290,14
47,1967,5600,13
47,1967,5630,1
47,1967,5810,27
47,1967,5870,45
47,1967,6130,2
47,1967,6190,3
47,1967,6360,2
47,1967,6520,8
47,1967,6710,2
47,1967,6740,5
47,1967,6810,19
47,1967,6870,3
47,1967,6882,24
47,1967,7040,21
47,1967,7050,1
47,1967,7210,4
47,1967,7350,24
47,1967,7550,3
47,1967,7590,2
47,1967,7610,32
47,1968,470,5
47,1968,510,226
47,1968,1330,2
47,1968,1720,2
47,1968,2890,23
47,1968,3091,1
47,1968,3160,11
47,1968,4120,8
47,1968,4230,13
47,1968,4520,1
47,1968,4610,3
47,1968,4770,12
47,1968,4880,9
47,1968,4930,22
47,1968,4980,40
47,1968,5110,75
47,1968,5290,6
47,1968,5600,9
47,1968,5630,4
47,1968,5810,15
47,1968,5870,34
47,1968,6130,1
47,1968,6240,2
47,1968,6520,6
47,1968,6710,1
47,1968,6730,2
47,1968,6740,5
47,1968,6810,21
47,1968,6870,1
47,1968,6882,13
47,1968,7040,16
47,1968,7210,1
47,1968,7350,11
47,1968,7550,3
47,1968,7610,40
47,1969,510,34
47,1969,700,6
47,1969,740,1
47,1969,1320,4
47,1969,1330,7
47,1969,1720,2
47,1969,1940,1
47,1969,2890,30
47,1969,3091,5
47,1969,3160,21
47,1969,3880,2
47,1969,3930,1
47,1969,3940,3
47,1969,4120,5
47,1969,4230,18
47,1969,4440,2
47,1969,4520,2
47,1969,4560,1
47,1969,4770,35
47,1969,4880,24
47,1969,4930,60
47,1969,4950,4
47,1969,4980,37
47,1969,5070,43
47,1969,5110,62
47,1969,5170,1
47,1969,5290,6
47,1969,5600,30
47,1969,5630,1
47,1969,5810,40
47,1969,5870,42
47,1969,6140,5
47,1969,6520,15
47,1969,6740,7
47,1969,6810,50
47,1969,6882,43
47,1969,7030,1
47,1969,7040,39
47,1969,7050,3
47,1969,7210,2
47,1969,7350,29
47,1969,7550,9
47,1969,7590,1
47,1969,7610,75
47,1970,470,1
47,1970,510,12
47,1970,1330,1
47,1970,2890,57
47,1970,3091,3
47,1970,3131,2
47,1970,3160,20
47,1970,3600,1
47,1970,3880,1
47,1970,3930,1
47,1970,3940,1
47,1970,4120,3
47,1970,4230,16
47,1970,4440,2
47,1970,4520,3
47,1970,4560,1
