statenum,Year,Aou,SpeciesTotal
49,1967,1940,3
49,1967,2300,1
49,1967,2730,1
49,1967,3000,2
49,1967,3310,1
49,1967,4020,1
49,1967,4120,4
49,1967,4440,2
49,1967,4560,4
49,1967,4610,3
49,1967,4661,1
49,1967,4670,4
49,1967,4770,8
49,1967,4860,1
49,1967,4880,21
49,1967,4930,6
49,1967,4940,12
49,1967,4950,3
49,1967,4980,8
49,1967,5011,14
49,1967,5070,4
49,1967,5290,9
49,1967,5420,12
49,1967,5580,22
49,1967,5600,6
49,1967,5810,21
49,1967,5950,2
49,1967,5980,2
49,1967,6120,14
49,1967,6130,5
49,1967,6140,1
49,1967,6240,20
49,1967,6360,1
49,1967,6450,1
49,1967,6520,3
49,1967,6590,4
49,1967,6740,31
49,1967,6810,4
49,1967,6870,9
49,1967,7040,8
49,1967,7050,1
49,1967,7280,1
49,1967,7350,3
49,1967,7550,3
49,1967,7560,19
49,1967,7580,1
49,1967,7590,1
49,1967,7610,38
49,1967,7660,2
49,1969,2300,4
49,1969,2630,3
49,1969,2730,3
49,1969,3430,1
49,1969,3600,1
49,1969,4120,2
49,1969,4230,4
49,1969,4280,1
49,1969,4560,6
49,1969,4610,1
49,1969,4661,2
49,1969,4670,7
49,1969,4770,12
49,1969,4880,22
49,1969,4930,2
49,1969,4940,29
49,1969,4950,2
49,1969,4980,8
49,1969,5011,2
49,1969,5070,3
49,1969,5100,10
49,1969,5110,1
49,1969,5290,11
49,1969,5420,6
49,1969,5580,5
49,1969,5600,14
49,1969,5810,21
49,1969,5950,2
49,1969,5980,5
49,1969,6120,14
49,1969,6130,5
49,1969,6140,1
49,1969,6190,4
49,1969,6240,21
49,1969,6540,1
49,1969,6590,8
49,1969,6620,2
49,1969,6740,31
49,1969,6790,1
49,1969,6810,10
49,1969,6860,2
49,1969,6870,13
49,1969,7040,4
49,1969,7050,1
49,1969,7210,3
49,1969,7280,1
49,1969,7350,2
49,1969,7560,11
49,1969,7590,1
49,1969,7610,29
49,1969,7660,1
49,1970,1320,2
49,1970,2300,2
49,1970,2730,6
49,1970,3880,1
49,1970,4120,1
49,1970,4230,6
49,1970,4520,1
49,1970,4560,2
49,1970,4610,2
49,1970,4661,1
49,1970,4670,11
49,1970,4770,11
49,1970,4880,27
49,1970,4930,6
49,1970,4940,39
49,1970,4950,5
49,1970,4980,14
49,1970,5010,1
49,1970,5070,4
49,1970,5110,2
49,1970,5290,23
49,1970,5420,10
49,1970,5580,11
49,1970,5600,17
49,1970,5810,23
49,1970,5950,2
49,1970,5980,3
49,1970,6110,2
49,1970,6120,48
49,1970,6130,7
49,1970,6190,5
49,1970,6240,26
49,1970,6450,1
49,1970,6520,19
49,1970,6590,14
49,1970,6620,1
49,1970,6670,1
49,1970,6740,28
49,1970,6810,9
49,1970,6860,1
49,1970,6870,15
49,1970,7040,4
49,1970,7050,5
49,1970,7210,3
49,1970,7350,1
49,1970,7550,2
49,1970,7560,14
49,1970,7590,6
49,1970,7610,41
49,1971,2630,1
49,1971,2730,2
49,1971,3600,4
49,1971,3900,1
49,1971,3940,1
49,1971,4000,1
49,1971,4120,1
49,1971,4230,1
49,1971,4280,2
49,1971,4440,3
49,1971,4520,1
49,1971,4560,2
49,1971,4610,5
49,1971,4670,6
49,1971,4770,1
49,1971,4860,2
49,1971,4880,17
49,1971,4930,12
49,1971,4940,36
49,1971,4950,4
49,1971,4980,26
49,1971,5011,2
49,1971,5070,1
49,1971,5110,5
49,1971,5140,1
49,1971,5290,15
49,1971,5400,2
49,1971,5420,17
49,1971,5580,11
49,1971,5600,37
49,1971,5810,40
49,1971,5950,8
49,1971,5980,2
49,1971,6080,2
49,1971,6110,1
49,1971,6120,2
49,1971,6130,22
49,1971,6160,6
49,1971,6190,13
49,1971,6240,27
49,1971,6360,3
49,1971,6450,3
49,1971,6470,1
49,1971,6570,1
49,1971,6590,7
49,1971,6620,1
49,1971,6670,2
49,1971,6740,23
49,1971,6790,5
49,1971,6810,9
49,1971,6870,2
49,1971,7050,1
49,1971,7210,2
49,1971,7280,1
49,1971,7350,2
49,1971,7550,3
49,1971,7560,10
49,1971,7610,33
49,1971,7660,2
49,1972,1330,1
49,1972,1400,1
49,1972,2730,4
49,1972,3570,1
49,1972,3600,2
49,1972,3930,1
49,1972,3940,2
49,1972,4020,6
49,1972,4120,7
49,1972,4440,4
49,1972,4520,1
49,1972,4560,5
49,1972,4610,2
49,1972,4670,11
49,1972,4770,6
49,1972,4860,2
49,1972,4880,10
49,1972,4930,13
49,1972,4940,16
49,1972,4950,31
49,1972,4980,7
49,1972,5011,3
49,1972,5070,3
49,1972,5290,24
49,1972,5330,1
49,1972,5420,16
49,1972,5580,26
49,1972,5600,26
49,1972,5810,41
49,1972,5980,1
49,1972,6120,23
49,1972,6130,8
49,1972,6140,29
49,1972,6190,3
49,1972,6240,10
49,1972,6590,3
49,1972,6620,1
49,1972,6740,13
49,1972,6810,8
49,1972,6870,6
49,1972,6882,1
49,1972,7040,4
49,1972,7050,1
49,1972,7210,5
49,1972,7260,1
49,1972,7280,1
49,1972,7350,3
49,1972,7560,34
49,1972,7590,8
49,1972,7610,38
49,1972,7660,2
49,1973,2300,1
49,1973,2730,4
49,1973,3600,3
49,1973,3880,7
49,1973,4020,5
49,1973,4120,7
49,1973,4230,3
49,1973,4280,3
49,1973,4440,3
49,1973,4520,5
49,1973,4610,1
49,1973,4661,3
49,1973,4670,12
49,1973,4770,6
49,1973,4880,36
49,1973,4930,14
49,1973,4940,71
49,1973,4950,18
49,1973,4980,40
49,1973,5011,10
49,1973,5070,3
49,1973,5290,38
49,1973,5420,14
49,1973,5580,12
49,1973,5600,8
49,1973,5810,30
49,1973,5950,3
49,1973,5980,2
49,1973,6080,1
49,1973,6110,1
49,1973,6120,2
49,1973,6130,45
49,1973,6140,3
49,1973,6190,1
49,1973,6240,24
49,1973,6520,1
49,1973,6590,8
49,1973,6620,1
49,1973,6740,26
49,1973,6790,2
49,1973,6810,5
49,1973,6870,21
49,1973,7040,5
49,1973,7050,4
49,1973,7210,4
49,1973,7350,7
49,1973,7560,17
49,1973,7580,2
49,1973,7590,1
49,1973,7610,51
49,1973,7660,1
49,1974,1400,2
49,1974,2300,4
49,1974,2730,15
49,1974,3000,2
49,1974,3430,1
49,1974,3600,1
49,1974,3880,1
49,1974,3940,1
49,1974,4120,8
49,1974,4200,2
49,1974,4280,2
49,1974,4440,2
49,1974,4520,5
49,1974,4560,3
49,1974,4610,1
49,1974,4670,4
49,1974,4770,3
49,1974,4860,2
49,1974,4880,27
49,1974,4930,26
49,1974,4940,42
49,1974,4950,24
49,1974,4980,31
49,1974,5011,5
49,1974,5110,12
49,1974,5170,4
49,1974,5290,29
49,1974,5420,6
49,1974,5580,9
49,1974,5600,14
49,1974,5810,30
49,1974,5950,2
49,1974,5980,4
49,1974,6120,9
49,1974,6130,4
49,1974,6140,17
49,1974,6190,1
49,1974,6240,18
49,1974,6360,1
49,1974,6520,3
49,1974,6590,5
49,1974,6620,5
49,1974,6740,30
49,1974,6810,6
49,1974,6870,9
49,1974,7040,1
49,1974,7210,4
49,1974,7280,4
49,1974,7350,3
49,1974,7550,2
49,1974,7560,9
49,1974,7580,1
49,1974,7590,1
49,1974,7610,47
49,1975,2300,9
49,1975,2730,4
49,1975,3000,1
49,1975,3430,1
49,1975,3600,1
49,1975,3880,4
49,1975,3930,1
49,1975,3940,1
49,1975,4020,4
49,1975,4120,10
49,1975,4200,1
49,1975,4230,1
49,1975,4440,1
49,1975,4560,3
49,1975,4610,1
49,1975,4670,10
49,1975,4770,4
49,1975,4860,1
49,1975,4880,15
49,1975,4940,87
49,1975,4950,1
49,1975,4980,66
49,1975,5010,1
49,1975,5070,2
49,1975,5100,2
49,1975,5110,2
49,1975,5290,135
49,1975,5420,12
49,1975,5580,29
49,1975,5600,14
49,1975,5810,45
49,1975,5950,3
49,1975,5980,6
49,1975,6120,19
49,1975,6130,2
49,1975,6140,42
49,1975,6190,5
