statenum,Year,Aou,SpeciesTotal
53,1979,1290,1
53,1979,2630,4
53,1979,3000,1
53,1979,3160,5
53,1979,3340,1
53,1979,3370,1
53,1979,3600,5
53,1979,3900,1
53,1979,4021,6
53,1979,4130,19
53,1979,4440,1
53,1979,4590,1
53,1979,4620,3
53,1979,4660,18
53,1979,4680,12
53,1979,4690,6
53,1979,4780,1
53,1979,4840,1
53,1979,4860,20
53,1979,4880,6
53,1979,4950,10
53,1979,5140,4
53,1979,5180,3
53,1979,5210,5
53,1979,5330,9
53,1979,5600,29
53,1979,5671,8
53,1979,5810,45
53,1979,6070,6
53,1979,6130,9
53,1979,6140,3
53,1979,6150,3
53,1979,6170,10
53,1979,6190,5
53,1979,6240,18
53,1979,6270,6
53,1979,6291,8
53,1979,6460,4
53,1979,6520,23
53,1979,6560,27
53,1979,6680,1
53,1979,6750,1
53,1979,6800,19
53,1979,6810,3
53,1979,6870,12
53,1979,7040,2
53,1979,7280,6
53,1979,7350,6
53,1979,7380,8
53,1979,7490,11
53,1979,7560,5
53,1979,7580,37
53,1979,7610,68
53,1979,7630,1
53,1979,7680,1
53,1981,1440,1
53,1981,2140,2
53,1981,2630,4
53,1981,2730,2
53,1981,3160,1
53,1981,3370,6
53,1981,3570,1
53,1981,3600,2
53,1981,3900,1
53,1981,4040,1
53,1981,4080,3
53,1981,4130,9
53,1981,4200,8
53,1981,4440,2
53,1981,4620,2
53,1981,4640,2
53,1981,4660,28
53,1981,4680,7
53,1981,4690,4
53,1981,4860,20
53,1981,4880,4
53,1981,4950,7
53,1981,4980,2
53,1981,5011,3
53,1981,5080,1
53,1981,5100,5
53,1981,5140,4
53,1981,5180,2
53,1981,5210,30
53,1981,5330,2
53,1981,5400,1
53,1981,5420,1
53,1981,5540,1
53,1981,5600,20
53,1981,5671,48
53,1981,5810,56
53,1981,6070,2
53,1981,6130,26
53,1981,6140,6
53,1981,6150,5
53,1981,6170,23
53,1981,6190,14
53,1981,6240,1
53,1981,6270,1
53,1981,6291,1
53,1981,6520,27
53,1981,6560,2
53,1981,6680,7
53,1981,6750,1
53,1981,6800,6
53,1981,6810,5
53,1981,6850,5
53,1981,6870,1
53,1981,7010,1
53,1981,7040,1
53,1981,7270,1
53,1981,7280,4
53,1981,7350,12
53,1981,7380,2
53,1981,7480,3
53,1981,7490,2
53,1981,7540,1
53,1981,7580,49
53,1981,7610,72
53,1981,7630,2
53,1981,7680,4
53,1982,1290,2
53,1982,1720,3
53,1982,2300,8
53,1982,2630,6
53,1982,3000,1
53,1982,3160,11
53,1982,3370,3
53,1982,3930,1
53,1982,3940,1
53,1982,4130,5
53,1982,4200,5
53,1982,4440,1
53,1982,4590,2
53,1982,4620,26
