statenum,Year,Aou,SpeciesTotal
54,1969,2730,11
54,1969,2890,16
54,1969,3091,4
54,1969,3131,31
54,1969,3160,58
54,1969,3370,1
54,1969,3870,1
54,1969,4060,13
54,1969,4090,1
54,1969,4120,4
54,1969,4200,1
54,1969,4230,18
54,1969,4440,6
54,1969,4470,8
54,1969,4560,1
54,1969,4610,2
54,1969,4770,9
54,1969,4930,4
54,1969,4950,18
54,1969,4980,32
54,1969,5010,6
54,1969,5011,22
54,1969,5060,11
54,1969,5070,7
54,1969,5110,97
54,1969,5290,5
54,1969,5460,2
54,1969,5600,8
54,1969,5630,8
54,1969,5810,1
54,1969,5930,25
54,1969,5950,6
54,1969,5980,4
54,1969,6040,42
54,1969,6110,2
54,1969,6130,15
54,1969,6170,3
54,1969,6240,3
54,1969,6270,1
54,1969,6330,1
54,1969,6810,3
54,1969,6882,232
54,1969,7040,8
54,1969,7050,24
54,1969,7210,30
54,1969,7310,1
54,1969,7350,3
54,1969,7550,1
54,1969,7610,30
54,1970,1940,2
54,1970,2730,10
54,1970,2890,14
54,1970,3091,6
54,1970,3131,12
54,1970,3160,59
54,1970,3870,3
54,1970,3940,1
54,1970,4060,6
54,1970,4090,1
54,1970,4120,7
54,1970,4230,21
54,1970,4440,12
54,1970,4470,6
54,1970,4560,1
54,1970,4610,2
54,1970,4740,1
54,1970,4770,19
54,1970,4930,4
54,1970,4950,19
54,1970,4980,39
54,1970,5010,7
54,1970,5011,28
54,1970,5060,10
54,1970,5070,9
54,1970,5110,94
54,1970,5290,8
54,1970,5460,2
54,1970,5600,11
54,1970,5630,5
54,1970,5810,2
54,1970,5930,24
54,1970,5950,6
54,1970,5980,5
54,1970,6040,35
54,1970,6110,2
54,1970,6130,31
54,1970,6240,4
54,1970,6270,1
54,1970,6810,2
54,1970,6882,181
54,1970,7030,1
54,1970,7040,9
54,1970,7050,26
54,1970,7210,28
54,1970,7310,3
54,1970,7350,8
54,1970,7610,28
54,1971,2730,9
54,1971,2890,28
54,1971,3091,14
54,1971,3131,12
54,1971,3160,71
54,1971,3310,1
54,1971,3370,1
54,1971,3750,1
54,1971,3870,2
54,1971,3940,1
54,1971,4060,19
54,1971,4090,1
54,1971,4120,3
54,1971,4230,42
54,1971,4440,6
54,1971,4560,2
54,1971,4610,3
54,1971,4770,13
54,1971,4880,1
54,1971,4930,20
54,1971,4950,22
54,1971,4980,30
54,1971,5010,6
54,1971,5011,35
54,1971,5060,3
54,1971,5070,9
54,1971,5110,45
54,1971,5290,9
54,1971,5460,5
54,1971,5630,6
54,1971,5870,1
54,1971,5930,24
54,1971,5950,2
54,1971,5980,7
54,1971,6040,50
54,1971,6130,16
54,1971,6240,1
54,1971,6270,1
54,1971,6520,1
54,1971,6810,4
54,1971,6882,88
54,1971,7040,8
54,1971,7050,12
54,1971,7210,41
54,1971,7270,2
54,1971,7310,6
54,1971,7350,6
54,1971,7610,27
54,1971,7660,3
54,1972,2010,3
54,1972,2890,26
54,1972,3091,5
54,1972,3160,103
54,1972,3370,2
54,1972,3870,1
54,1972,3930,2
54,1972,3940,1
54,1972,4060,12
54,1972,4090,3
54,1972,4120,2
54,1972,4230,3
54,1972,4440,7
54,1972,4470,1
54,1972,4560,1
54,1972,4740,2
54,1972,4770,9
54,1972,4880,15
54,1972,4950,36
54,1972,4980,43
54,1972,5010,6
54,1972,5011,47
54,1972,5060,7
54,1972,5070,13
54,1972,5110,25
54,1972,5290,12
54,1972,5460,3
54,1972,5520,2
54,1972,5600,4
54,1972,5630,4
54,1972,5870,2
54,1972,5930,17
54,1972,5950,1
54,1972,5980,4
54,1972,6040,38
54,1972,6110,3
54,1972,6130,13
54,1972,6220,1
54,1972,6270,1
54,1972,6520,1
54,1972,6810,5
54,1972,6882,101
54,1972,7040,10
54,1972,7050,14
54,1972,7210,52
54,1972,7310,4
54,1972,7350,6
54,1972,7610,48
54,1972,7660,3
54,1973,2010,2
54,1973,2890,31
54,1973,3091,11
54,1973,3131,2
54,1973,3160,94
54,1973,3370,1
54,1973,3750,1
54,1973,3870,6
54,1973,3940,2
54,1973,4060,15
54,1973,4090,2
54,1973,4120,1
54,1973,4230,13
54,1973,4440,9
54,1973,4770,18
54,1973,4880,4
