statenum,Year,Aou,SpeciesTotal
55,1968,2730,1
55,1968,4740,46
55,1968,4860,5
55,1968,5011,6
55,1968,5100,4
55,1968,5190,2
55,1968,5620,11
55,1968,5730,1
55,1968,5738,25
55,1968,6220,4
55,1968,7020,42
55,1969,2730,20
55,1969,3160,5
55,1969,3250,4
55,1969,3370,2
55,1969,3490,2
55,1969,3600,1
55,1969,4130,1
55,1969,4740,44
55,1969,4860,4
55,1969,5011,9
55,1969,5100,15
55,1969,5620,8
55,1969,5738,23
55,1969,6220,2
55,1969,7020,20
55,1970,2730,4
55,1970,3370,1
55,1970,3550,2
55,1970,4740,73
55,1970,4860,7
55,1970,5011,15
55,1970,5100,11
55,1970,5620,74
55,1970,5738,55
55,1970,6220,2
55,1970,7020,21
55,1972,1320,6
55,1972,2730,3
55,1972,2882,8
55,1972,3160,88
55,1972,3250,3
55,1972,3370,2
55,1972,3550,2
55,1972,4470,1
55,1972,4570,1
55,1972,4740,30
55,1972,4860,8
55,1972,4930,3
55,1972,4980,11
55,1972,5011,4
55,1972,5100,16
55,1972,5620,9
55,1972,5730,3
55,1972,5738,12
55,1972,6220,4
55,1972,7020,3
55,1973,1320,10
55,1973,1410,2
55,1973,2730,12
55,1973,2882,3
55,1973,3160,9
55,1973,3250,2
55,1973,3370,2
55,1973,3490,3
55,1973,3550,1
55,1973,4570,1
55,1973,4740,22
55,1973,4860,4
55,1973,4980,23
55,1973,5011,15
55,1973,5100,10
55,1973,5600,4
55,1973,5620,6
55,1973,5730,17
55,1973,5738,5
55,1973,6170,3
55,1973,6220,3
55,1973,6560,3
55,1973,7020,4
55,1974,2730,6
55,1974,2882,6
55,1974,3160,34
55,1974,3250,3
55,1974,3370,1
55,1974,3550,1
55,1974,4210,2
55,1974,4470,3
55,1974,4740,33
55,1974,4860,14
55,1974,4980,11
55,1974,5011,6
55,1974,5100,41
55,1974,5620,9
55,1974,5730,2
55,1974,5738,6
55,1974,6220,2
55,1974,7020,4
55,1974,7610,2
55,2005,2730,5
55,2005,2882,5
55,2005,3131,9
55,2005,3160,11
55,2005,3250,2
55,2005,3420,1
55,2005,3550,3
55,2005,3600,1
55,2005,4200,2
55,2005,4470,3
55,2005,4740,34
55,2005,4860,15
55,2005,4930,85
55,2005,5011,55
55,2005,5080,1
55,2005,5100,3
55,2005,5520,4
55,2005,5620,7
55,2005,5730,17
55,2005,5738,26
55,2005,6220,3
55,2005,6882,10
55,2005,7020,6
55,2005,7030,1
55,2005,7150,2
55,2013,2580,2
55,2013,2640,10
55,2013,2730,7
55,2013,2882,6
55,2013,3160,10
55,2013,3250,1
55,2013,3370,1
55,2013,3490,1
55,2013,4200,8
55,2013,4740,76
55,2013,4860,24
55,2013,4880,3
55,2013,4930,1
55,2013,4950,2
55,2013,4980,1
55,2013,5011,148
55,2013,5080,1
55,2013,5100,9
55,2013,5190,1
55,2013,5520,16
55,2013,5620,2
55,2013,5730,43
55,2013,5738,79
55,2013,6220,8
55,2013,6520,1
55,2013,6830,1
55,2013,6882,2
55,2013,7020,15
55,2013,7150,5
55,2013,7610,3
55,2014,2640,10
55,2014,2730,3
55,2014,2882,3
55,2014,2940,1
55,2014,3131,3
55,2014,3160,24
55,2014,3600,1
55,2014,4200,1
55,2014,4470,1
55,2014,4740,61
55,2014,4750,2
55,2014,4860,19
55,2014,4930,1
55,2014,5011,72
55,2014,5080,1
55,2014,5100,23
55,2014,5190,4
55,2014,5520,9
55,2014,5730,14
55,2014,5738,61
55,2014,6130,1
55,2014,6220,2
55,2014,7020,5
55,2014,7030,1
55,2014,7150,13
55,2014,7610,2
55,1968,3160,8
55,1968,3370,1
55,1968,3780,1
55,1968,4130,1
55,1968,4740,35
55,1968,5011,23
55,1968,5100,7
55,1968,5400,1
55,1968,5620,12
55,1968,5738,1
55,1968,7020,17
55,1968,7610,1
55,1969,2630,2
55,1969,2730,10
55,1969,3090,4
55,1969,3160,7
55,1969,3490,1
55,1969,4130,1
55,1969,4691,2
55,1969,4740,86
55,1969,4860,9
55,1969,4930,4
55,1969,5011,18
55,1969,5100,4
55,1969,5190,1
55,1969,5620,33
55,1969,5738,15
55,1969,6150,2
55,1969,6220,7
55,1969,7020,18
55,1969,7190,3
55,1969,7610,12
55,1970,3090,4
55,1970,3160,9
55,1970,3370,1
55,1970,3420,2
55,1970,3600,1
55,1970,3780,2
55,1970,4620,2
55,1970,4691,1
55,1970,4740,106
55,1970,4750,1
55,1970,4860,6
55,1970,4950,1
55,1970,4980,1
55,1970,5011,18
55,1970,5100,11
55,1970,5620,56
55,1970,5738,43
55,1970,6120,21
55,1970,6220,1
55,1970,7020,28
55,1970,7610,4
55,1971,2882,1
55,1971,3090,6
55,1971,3160,8
55,1971,4691,1
55,1971,4740,17
55,1971,4750,3
55,1971,4860,6
55,1971,4950,2
55,1971,5011,11
55,1971,5100,30
55,1971,5620,14
55,1971,5738,11
55,1971,6120,1
55,1971,6170,2
55,1971,7020,35
55,1971,7150,1
55,1971,7610,4
55,1972,2730,3
55,1972,3090,32
55,1972,3160,21
55,1972,3250,1
55,1972,3370,3
55,1972,3490,1
55,1972,3550,1
55,1972,4740,62
55,1972,4750,1
55,1972,4860,1
55,1972,4930,3
55,1972,4980,4
55,1972,5011,13
55,1972,5100,11
55,1972,5620,15
55,1972,5738,12
55,1972,6130,14
55,1972,6170,18
55,1972,7020,3
55,1972,7610,2
55,1973,1320,2
55,1973,2730,9
55,1973,3090,18
55,1973,3160,17
55,1973,3370,1
55,1973,3490,1
55,1973,3550,2
55,1973,4470,3
55,1973,4570,2
55,1973,4740,41
55,1973,4860,1
55,1973,4980,3
55,1973,5011,5
55,1973,5100,12
55,1973,5540,3
55,1973,5620,7
55,1973,5730,6
55,1973,5738,11
55,1973,5900,2
55,1973,6120,5
55,1973,6130,4
55,1973,6170,14
55,1973,6220,3
55,1973,7020,4
55,1973,7610,6
55,1974,3090,18
55,1974,3160,34
55,1974,3250,6
55,1974,3370,2
55,1974,3490,3
55,1974,3550,2
55,1974,3600,4
55,1974,4210,9
55,1974,4250,5
55,1974,4470,2
55,1974,4740,35
55,1974,4750,8
55,1974,4860,4
55,1974,4970,3
55,1974,4980,5
55,1974,5011,16
55,1974,5100,15
55,1974,5600,2
55,1974,5620,2
55,1974,5730,1
55,1974,5738,6
55,1974,5810,2
55,1974,5900,1
55,1974,6130,10
55,1974,6150,7
55,1974,6170,18
55,1974,6220,3
55,1974,6830,3
55,1974,7020,9
55,1974,7150,3
55,1974,7540,2
55,1974,7610,5
55,1974,7670,2
55,1974,2060,3
55,1974,2730,8
55,1974,2881,7
55,1974,2882,4
55,1974,3160,20
55,1974,3310,1
55,1974,3370,2
55,1974,3420,1
55,1974,3490,2
55,1974,3550,1
55,1974,3600,1
55,1974,3780,2
55,1974,4200,1
55,1974,4740,4
55,1974,4750,22
55,1974,4860,4
55,1974,4930,3
55,1974,5011,28
55,1974,5100,66
55,1974,5400,12
55,1974,5620,71
55,1974,5960,1
55,1974,6120,12
55,1974,6220,2
55,1974,7020,13
55,1974,7610,11
55,1990,1410,1
55,1990,2060,3
55,1990,2240,3
55,1990,2580,1
55,1990,2630,1
55,1990,2730,4
55,1990,2882,3
55,1990,3160,9
55,1990,3310,1
55,1990,3370,1
55,1990,3480,1
55,1990,4130,1
55,1990,4180,1
55,1990,4200,2
55,1990,4660,1
55,1990,4691,34
55,1990,4740,17
55,1990,4750,1
55,1990,4860,13
55,1990,4880,4
55,1990,4950,11
55,1990,4970,5
55,1990,4980,13
55,1990,5011,178
55,1990,5100,26
55,1990,5400,58
55,1990,5520,1
55,1990,5620,150
55,1990,5738,8
55,1990,5900,1
55,1990,6120,12
55,1990,6170,1
55,1990,6220,2
55,1990,7020,124
