statenum,Year,Aou,SpeciesTotal
58,1966,2730,1
58,1966,3160,1
58,1966,4120,8
58,1966,4230,8
58,1966,4280,1
58,1966,4440,2
58,1966,4520,1
58,1966,4560,5
58,1966,4610,5
58,1966,4670,7
58,1966,4770,19
58,1966,4880,9
58,1966,4930,28
58,1966,4940,11
58,1966,4950,2
58,1966,4980,19
58,1966,5010,2
58,1966,5070,8
58,1966,5110,3
58,1966,5170,1
58,1966,5290,5
58,1966,5580,2
58,1966,5600,2
58,1966,5630,4
58,1966,5810,11
58,1966,5840,2
58,1966,5870,32
58,1966,5950,5
58,1966,5980,1
58,1966,6080,1
58,1966,6130,1
58,1966,6140,8
58,1966,6240,12
58,1966,6360,1
58,1966,6520,3
58,1966,6590,1
58,1966,6710,1
58,1966,6740,18
58,1966,6750,1
58,1966,6810,6
58,1966,6870,4
58,1966,7040,10
58,1966,7050,4
58,1966,7210,1
58,1966,7260,1
58,1966,7270,2
58,1966,7350,5
58,1966,7550,14
58,1966,7560,23
58,1966,7610,65
58,1966,7660,1
58,1967,1940,2
58,1967,2280,1
58,1967,3160,2
58,1967,3600,1
58,1967,3880,1
58,1967,3930,1
58,1967,3940,2
58,1967,4120,7
58,1967,4230,8
58,1967,4280,1
58,1967,4440,6
58,1967,4520,7
58,1967,4560,4
58,1967,4670,6
58,1967,4770,26
58,1967,4880,10
58,1967,4930,24
58,1967,4940,5
58,1967,4950,7
58,1967,4980,48
58,1967,5070,7
58,1967,5110,4
58,1967,5290,11
58,1967,5580,7
58,1967,5600,11
58,1967,5630,3
58,1967,5670,2
58,1967,5810,11
58,1967,5870,22
58,1967,5950,1
58,1967,6080,2
58,1967,6130,5
58,1967,6140,8
58,1967,6190,1
58,1967,6240,20
58,1967,6360,6
58,1967,6450,2
58,1967,6520,5
58,1967,6590,3
58,1967,6620,1
58,1967,6740,21
58,1967,6760,1
58,1967,6810,10
58,1967,6870,4
58,1967,6882,7
58,1967,7040,10
58,1967,7050,1
58,1967,7210,7
58,1967,7270,3
58,1967,7350,9
58,1967,7480,3
58,1967,7550,36
58,1967,7560,28
58,1967,7590,8
58,1967,7610,55
58,1968,2730,4
58,1968,3000,1
58,1968,3131,1
58,1968,3160,2
58,1968,3930,1
58,1968,3940,2
58,1968,4120,7
58,1968,4230,9
58,1968,4440,6
58,1968,4520,3
58,1968,4560,6
58,1968,4610,2
58,1968,4670,8
58,1968,4770,41
58,1968,4880,3
58,1968,4930,87
58,1968,4940,1
58,1968,4950,4
58,1968,4980,96
58,1968,5070,10
58,1968,5110,4
58,1968,5290,9
58,1968,5580,6
58,1968,5600,15
58,1968,5630,4
58,1968,5670,2
58,1968,5810,12
58,1968,5840,1
58,1968,5870,43
58,1968,6080,2
58,1968,6120,1
58,1968,6130,7
58,1968,6140,5
58,1968,6190,1
58,1968,6240,23
58,1968,6360,8
58,1968,6520,3
58,1968,6590,5
58,1968,6620,1
58,1968,6670,2
58,1968,6740,19
58,1968,6760,1
58,1968,6810,11
58,1968,6870,3
58,1968,6882,2
58,1968,7040,15
58,1968,7050,2
58,1968,7210,4
58,1968,7270,3
58,1968,7280,1
58,1968,7350,43
58,1968,7550,25
58,1968,7560,41
58,1968,7590,3
58,1968,7610,101
58,1968,7660,1
58,1969,1330,1
58,1969,1900,1
58,1969,2630,1
58,1969,2730,2
58,1969,3160,4
58,1969,3600,1
58,1969,3870,1
58,1969,3930,1
58,1969,3940,2
58,1969,4020,2
58,1969,4120,2
58,1969,4230,3
58,1969,4280,1
58,1969,4440,3
58,1969,4520,3
58,1969,4560,7
58,1969,4610,3
58,1969,4670,2
58,1969,4770,40
58,1969,4880,3
58,1969,4930,35
58,1969,4940,12
58,1969,4950,3
58,1969,4980,36
58,1969,5070,4
58,1969,5110,7
58,1969,5170,5
58,1969,5290,9
58,1969,5580,2
58,1969,5600,7
58,1969,5630,3
58,1969,5810,19
58,1969,5870,24
58,1969,5950,7
58,1969,6080,3
58,1969,6130,5
58,1969,6140,8
58,1969,6190,2
58,1969,6240,23
58,1969,6280,1
58,1969,6290,1
58,1969,6360,5
58,1969,6520,3
58,1969,6540,2
58,1969,6590,9
58,1969,6620,2
58,1969,6670,2
58,1969,6740,17
58,1969,6810,13
58,1969,6860,1
58,1969,6870,4
58,1969,6882,2
58,1969,7040,9
58,1969,7050,5
58,1969,7210,3
58,1969,7260,1
58,1969,7270,3
58,1969,7280,1
58,1969,7350,20
58,1969,7550,25
58,1969,7560,27
58,1969,7590,1
58,1969,7610,43
58,1970,2730,1
58,1970,3000,1
58,1970,3160,6
58,1970,3390,1
58,1970,3880,1
58,1970,3930,1
58,1970,4120,9
58,1970,4230,4
58,1970,4440,3
58,1970,4520,1
58,1970,4560,6
58,1970,4610,7
58,1970,4665,2
58,1970,4670,8
58,1970,4770,21
58,1970,4880,8
58,1970,4930,40
58,1970,4940,3
58,1970,4950,5
58,1970,4980,44
58,1970,5010,1
58,1970,5070,12
58,1970,5110,14
58,1970,5170,1
58,1970,5290,6
58,1970,5420,1
58,1970,5580,8
58,1970,5600,12
58,1970,5630,5
58,1970,5810,17
58,1970,5840,1
58,1970,5870,46
58,1970,5950,11
58,1970,5980,2
58,1970,6080,4
58,1970,6130,12
58,1970,6140,16
58,1970,6190,4
58,1970,6240,44
58,1970,6270,1
58,1970,6290,2
58,1970,6360,27
58,1970,6520,2
58,1970,6590,6
58,1970,6620,1
58,1970,6670,8
58,1970,6710,3
58,1970,6740,40
58,1970,6750,1
58,1970,6810,9
58,1970,6870,13
58,1970,6882,4
58,1970,7040,21
58,1970,7050,1
58,1970,7210,2
58,1970,7260,1
58,1970,7270,5
58,1970,7350,21
58,1970,7550,34
58,1970,7560,24
58,1970,7590,2
58,1970,7610,53
58,1970,7660,1
58,1971,1330,2
58,1971,2010,1
58,1971,2730,4
58,1971,3000,1
58,1971,3160,7
58,1971,3370,1
58,1971,3430,1
58,1971,3600,2
58,1971,3680,1
58,1971,3880,2
58,1971,3930,2
58,1971,3940,3
58,1971,4050,1
58,1971,4120,4
58,1971,4230,3
58,1971,4280,1
58,1971,4440,7
58,1971,4520,1
58,1971,4560,10
58,1971,4610,6
58,1971,4670,12
58,1971,4770,27
58,1971,4880,23
58,1971,4930,70
58,1971,4940,32
58,1971,4950,7
58,1971,4980,72
58,1971,5010,3
58,1971,5070,3
58,1971,5110,14
58,1971,5170,4
58,1971,5290,12
58,1971,5400,3
58,1971,5580,13
58,1971,5600,13
58,1971,5630,9
58,1971,5670,4
58,1971,5810,65
58,1971,5840,11
58,1971,5870,55
58,1971,5950,3
58,1971,5980,1
58,1971,6080,6
58,1971,6120,2
58,1971,6130,14
58,1971,6140,14
58,1971,6160,3
58,1971,6240,44
58,1971,6290,1
58,1971,6360,16
58,1971,6450,3
58,1971,6520,7
58,1971,6540,1
58,1971,6550,2
58,1971,6590,14
58,1971,6620,3
58,1971,6670,5
58,1971,6710,2
58,1971,6740,30
58,1971,6750,1
58,1971,6810,24
58,1971,6870,9
58,1971,6882,2
58,1971,7040,10
58,1971,7050,5
58,1971,7210,7
58,1971,7260,5
58,1971,7270,8
58,1971,7280,2
58,1971,7350,26
58,1971,7510,1
58,1971,7550,55
58,1971,7560,22
58,1971,7590,4
58,1971,7610,122
58,1971,7660,1
58,1972,1330,1
58,1972,1900,2
58,1972,1940,1
58,1972,2010,2
58,1972,2280,1
58,1972,2730,2
58,1972,3091,1
58,1972,3131,2
58,1972,3160,13
58,1972,3600,2
58,1972,3930,5
58,1972,3940,2
58,1972,4050,1
58,1972,4120,8
58,1972,4230,15
58,1972,4280,1
58,1972,4440,5
58,1972,4520,3
58,1972,4560,15
58,1972,4610,13
58,1972,4665,3
58,1972,4670,17
58,1972,4770,29
58,1972,4880,7
58,1972,4930,81
58,1972,4940,19
58,1972,4950,5
58,1972,4980,108
58,1972,5010,1
58,1972,5070,8
58,1972,5110,12
58,1972,5170,3
58,1972,5290,10
58,1972,5580,11
58,1972,5600,9
58,1972,5630,5
58,1972,5670,8
58,1972,5810,25
58,1972,5840,3
58,1972,5870,68
58,1972,5950,3
58,1972,6080,6
58,1972,6130,13
58,1972,6140,17
58,1972,6160,2
58,1972,6240,56
58,1972,6270,2
58,1972,6280,1
58,1972,6290,2
58,1972,6360,20
58,1972,6520,8
58,1972,6550,1
58,1972,6590,11
58,1972,6670,3
58,1972,6730,1
58,1972,6740,37
58,1972,6750,2
58,1972,6810,14
58,1972,6860,1
58,1972,6870,17
58,1972,6882,8
58,1972,7040,26
58,1972,7050,2
58,1972,7210,11
58,1972,7260,6
58,1972,7270,2
58,1972,7280,5
58,1972,7350,40
58,1972,7550,52
58,1972,7560,14
58,1972,7590,2
58,1972,7610,214
58,1973,1330,1
58,1973,2730,7
58,1973,3160,9
58,1973,3430,2
58,1973,3880,2
58,1973,3930,2
58,1973,3940,5
58,1973,4020,1
58,1973,4120,4
58,1973,4230,11
58,1973,4280,1
58,1973,4440,10
58,1973,4520,5
58,1973,4560,18
58,1973,4610,10
58,1973,4661,1
58,1973,4670,14
58,1973,4770,47
58,1973,4880,11
58,1973,4930,78
58,1973,4940,6
58,1973,4950,5
58,1973,4980,69
58,1973,5010,7
58,1973,5070,21
58,1973,5110,4
58,1973,5170,2
58,1973,5290,15
58,1973,5580,15
58,1973,5600,18
58,1973,5630,10
58,1973,5670,2
58,1973,5810,22
58,1973,5840,8
58,1973,5870,58
58,1973,5950,6
58,1973,5980,3
58,1973,6080,9
58,1973,6130,31
58,1973,6140,42
58,1973,6190,9
58,1973,6240,43
58,1973,6270,1
58,1973,6280,3
58,1973,6290,10
58,1973,6360,23
58,1973,6520,8
58,1973,6550,2
58,1973,6590,10
58,1973,6670,9
58,1973,6710,1
58,1973,6730,1
58,1973,6740,38
58,1973,6750,1
58,1973,6810,30
58,1973,6870,21
58,1973,6882,12
58,1973,7040,22
58,1973,7050,4
58,1973,7210,3
58,1973,7270,4
58,1973,7280,1
58,1973,7350,30
58,1973,7550,40
58,1973,7560,19
58,1973,7590,1
58,1973,7610,106
58,1973,7660,1
58,1974,1330,3
58,1974,1940,1
58,1974,2010,1
58,1974,2630,1
58,1974,2730,2
58,1974,3160,8
58,1974,3430,1
58,1974,3930,3
58,1974,3940,1
58,1974,4020,1
58,1974,4120,4
58,1974,4230,12
58,1974,4280,1
58,1974,4440,6
58,1974,4520,7
58,1974,4560,16
58,1974,4610,13
58,1974,4660,2
58,1974,4670,11
58,1974,4770,35
58,1974,4880,22
58,1974,4930,51
58,1974,4940,9
58,1974,4950,5
58,1974,4980,53
58,1974,5010,3
58,1974,5070,19
58,1974,5110,24
58,1974,5170,1
58,1974,5290,18
58,1974,5580,1
58,1974,5600,11
58,1974,5630,9
58,1974,5810,28
58,1974,5840,10
58,1974,5870,34
58,1974,5950,6
58,1974,5980,1
58,1974,6080,15
58,1974,6130,15
58,1974,6140,14
58,1974,6190,2
58,1974,6240,61
58,1974,6270,1
58,1974,6280,2
58,1974,6290,4
58,1974,6360,21
58,1974,6450,8
58,1974,6520,13
58,1974,6590,20
58,1974,6670,1
58,1974,6740,28
58,1974,6750,3
58,1974,6810,20
58,1974,6870,13
58,1974,6882,6
58,1974,7040,17
58,1974,7050,7
58,1974,7210,6
58,1974,7222,1
58,1974,7270,6
58,1974,7350,29
58,1974,7550,43
58,1974,7560,5
58,1974,7590,2
58,1974,7610,90
58,1975,1200,6
58,1975,2730,10
58,1975,3160,8
58,1975,3430,2
58,1975,3930,1
58,1975,4120,9
58,1975,4230,9
58,1975,4280,1
