statenum,Year,Aou,SpeciesTotal
66,1966,2730,3
66,1966,2890,32
66,1966,3091,4
66,1966,3131,55
66,1966,3160,19
66,1966,3250,1
66,1966,4230,2
66,1966,4440,1
66,1966,4520,1
66,1966,4660,1
66,1966,4740,9
66,1966,4770,1
66,1966,4880,8
66,1966,4930,79
66,1966,4950,3
66,1966,4980,56
66,1966,5010,8
66,1966,5011,8
66,1966,5110,24
66,1966,5290,7
66,1966,5400,21
66,1966,5810,43
66,1966,5930,4
66,1966,5980,5
66,1966,6110,8
66,1966,6130,3
66,1966,6240,3
66,1966,6882,159
66,1966,7050,1
66,1966,7210,1
66,1966,7270,1
66,1966,7310,3
66,1966,7550,2
66,1966,7610,23
66,1967,1440,2
66,1967,2730,3
66,1967,2890,14
66,1967,3091,2
66,1967,3131,65
66,1967,3160,22
66,1967,3250,1
66,1967,3370,1
66,1967,4060,2
66,1967,4120,1
66,1967,4230,8
66,1967,4440,1
66,1967,4520,1
66,1967,4610,2
66,1967,4740,13
66,1967,4770,5
66,1967,4880,8
66,1967,4930,129
66,1967,4950,9
66,1967,4980,66
66,1967,5010,6
66,1967,5011,2
66,1967,5110,43
66,1967,5290,2
66,1967,5400,13
66,1967,5420,6
66,1967,5600,2
66,1967,5630,4
66,1967,5810,22
66,1967,5930,7
66,1967,5980,4
66,1967,6110,5
66,1967,6130,6
66,1967,6240,4
66,1967,6270,2
66,1967,6882,124
66,1967,7210,2
66,1967,7310,4
66,1967,7610,22
66,1968,2630,1
66,1968,2730,11
66,1968,2890,49
66,1968,3091,2
66,1968,3131,29
66,1968,3160,13
66,1968,4060,1
66,1968,4120,4
66,1968,4230,6
66,1968,4280,1
66,1968,4520,3
66,1968,4740,22
66,1968,4770,8
66,1968,4880,14
66,1968,4930,100
66,1968,4940,8
66,1968,4950,6
66,1968,4980,145
66,1968,5010,23
66,1968,5011,10
66,1968,5070,1
66,1968,5110,37
66,1968,5290,4
66,1968,5420,19
66,1968,5600,1
66,1968,5630,11
66,1968,5810,75
66,1968,5870,3
66,1968,5930,8
66,1968,5980,7
66,1968,6110,29
66,1968,6130,16
66,1968,6160,18
66,1968,6240,1
66,1968,6270,1
66,1968,6810,1
