statenum,Year,Aou,SpeciesTotal
67,1967,2010,5
67,1967,2890,16
67,1967,3160,15
67,1967,3250,6
67,1967,3390,5
67,1967,3870,10
67,1967,3900,1
67,1967,3940,8
67,1967,4050,5
67,1967,4120,3
67,1967,4160,9
67,1967,4230,3
67,1967,4280,1
67,1967,4430,5
67,1967,4440,2
67,1967,4520,18
67,1967,4560,8
67,1967,4610,19
67,1967,4650,4
67,1967,4770,5
67,1967,4880,41
67,1967,4930,13
67,1967,4950,14
67,1967,4980,3
67,1967,5010,2
67,1967,5060,6
67,1967,5520,3
67,1967,5600,11
67,1967,5630,12
67,1967,5930,22
67,1967,5970,5
67,1967,5980,64
67,1967,6010,6
67,1967,6040,4
67,1967,6080,4
67,1967,6100,21
67,1967,6110,17
67,1967,6130,1
67,1967,6220,1
67,1967,6240,25
67,1967,6310,11
67,1967,6330,1
67,1967,6360,4
67,1967,6390,1
67,1967,6630,2
67,1967,6710,18
67,1967,6730,12
67,1967,6740,5
67,1967,6760,2
67,1967,6770,5
67,1967,6810,5
67,1967,6830,21
67,1967,6840,5
67,1967,6882,16
67,1967,7030,10
67,1967,7040,1
67,1967,7050,1
67,1967,7180,9
67,1967,7270,1
67,1967,7310,28
67,1967,7360,13
67,1967,7510,16
67,1967,7610,3
67,1967,7660,15
67,1968,2010,2
67,1968,2730,2
67,1968,2890,29
67,1968,3160,19
67,1968,3250,5
67,1968,3390,1
67,1968,3680,1
67,1968,3870,7
67,1968,3900,1
67,1968,3930,1
67,1968,3940,2
67,1968,4050,9
67,1968,4090,1
67,1968,4120,2
67,1968,4160,12
67,1968,4230,5
67,1968,4280,2
67,1968,4430,1
67,1968,4440,4
67,1968,4520,18
67,1968,4560,13
67,1968,4610,20
67,1968,4650,1
67,1968,4770,5
67,1968,4880,28
67,1968,4930,7
67,1968,4950,12
67,1968,4980,13
67,1968,5010,12
67,1968,5060,6
67,1968,5110,1
67,1968,5290,1
67,1968,5520,6
67,1968,5600,4
67,1968,5630,14
67,1968,5930,32
67,1968,5970,5
67,1968,5980,50
67,1968,6010,1
67,1968,6080,4
67,1968,6100,19
67,1968,6110,13
67,1968,6130,9
67,1968,6170,4
67,1968,6220,1
67,1968,6240,34
67,1968,6280,3
67,1968,6310,8
67,1968,6330,1
67,1968,6360,4
67,1968,6480,2
67,1968,6580,1
67,1968,6630,1
67,1968,6710,15
67,1968,6730,7
67,1968,6740,9
67,1968,6760,5
67,1968,6770,2
67,1968,6810,3
67,1968,6830,22
67,1968,6840,3
67,1968,6882,16
67,1968,7030,8
67,1968,7040,1
67,1968,7180,21
67,1968,7310,13
67,1968,7360,9
67,1968,7510,6
67,1968,7550,10
67,1968,7610,3
67,1968,7660,9
67,1969,2010,1
67,1969,2730,2
67,1969,2890,19
67,1969,3160,10
67,1969,3250,3
67,1969,3390,1
67,1969,3870,9
67,1969,3940,1
67,1969,4050,13
67,1969,4060,4
67,1969,4090,6
67,1969,4160,15
67,1969,4230,15
67,1969,4280,1
67,1969,4430,3
67,1969,4440,4
67,1969,4520,22
67,1969,4560,17
67,1969,4610,11
67,1969,4650,3
67,1969,4770,1
67,1969,4880,48
67,1969,4930,3
67,1969,4950,10
67,1969,4980,2
67,1969,5010,21
67,1969,5060,4
67,1969,5110,2
67,1969,5290,6
67,1969,5520,9
67,1969,5600,8
67,1969,5630,13
67,1969,5930,20
67,1969,5970,7
67,1969,5980,57
67,1969,6010,2
67,1969,6040,8
67,1969,6080,5
67,1969,6100,21
67,1969,6110,13
67,1969,6130,18
67,1969,6170,2
67,1969,6240,31
67,1969,6280,1
67,1969,6310,9
67,1969,6330,1
67,1969,6360,7
67,1969,6630,2
67,1969,6710,19
67,1969,6730,12
67,1969,6740,8
67,1969,6770,1
67,1969,6810,5
67,1969,6830,26
67,1969,6840,4
67,1969,6882,3
67,1969,7030,14
67,1969,7040,3
67,1969,7050,1
67,1969,7180,27
67,1969,7270,3
67,1969,7310,13
67,1969,7360,13
67,1969,7510,6
67,1969,7550,7
67,1969,7610,10
67,1969,7660,6
67,1970,2010,4
67,1970,2730,1
67,1970,2890,18
67,1970,3160,6
67,1970,3250,5
67,1970,3390,1
67,1970,3680,1
67,1970,3870,6
67,1970,4050,4
67,1970,4060,1
67,1970,4090,2
67,1970,4120,1
67,1970,4160,15
67,1970,4200,1
67,1970,4230,3
67,1970,4280,1
67,1970,4430,7
67,1970,4440,8
67,1970,4520,14
67,1970,4560,8
67,1970,4610,11
67,1970,4650,3
67,1970,4880,40
67,1970,4930,1
67,1970,4950,13
67,1970,4980,11
67,1970,5010,21
67,1970,5060,2
67,1970,5110,10
67,1970,5290,2
67,1970,5520,3
67,1970,5600,8
67,1970,5630,6
67,1970,5930,11
67,1970,5970,3
67,1970,5980,42
67,1970,6010,2
67,1970,6080,2
67,1970,6100,24
67,1970,6130,25
67,1970,6220,3
67,1970,6240,18
67,1970,6280,5
67,1970,6310,11
67,1970,6360,6
67,1970,6480,2
67,1970,6630,4
67,1970,6710,7
67,1970,6730,8
67,1970,6740,10
67,1970,6770,4
67,1970,6810,1
67,1970,6830,13
67,1970,6840,2
67,1970,6882,12
67,1970,7030,8
67,1970,7040,1
67,1970,7050,1
67,1970,7180,12
67,1970,7310,24
67,1970,7360,8
67,1970,7510,12
67,1970,7610,2
67,1970,7660,9
67,1971,2010,3
67,1971,2730,3
67,1971,2890,24
67,1971,3160,18
67,1971,3250,4
67,1971,3390,2
67,1971,3430,1
67,1971,3870,3
67,1971,3900,1
67,1971,3930,2
67,1971,3940,3
67,1971,4050,7
67,1971,4060,2
67,1971,4090,1
67,1971,4120,3
67,1971,4160,10
67,1971,4230,3
67,1971,4430,4
67,1971,4440,1
67,1971,4520,16
67,1971,4560,7
67,1971,4610,7
67,1971,4650,6
67,1971,4770,4
67,1971,4880,48
67,1971,4930,6
67,1971,4950,6
67,1971,4980,8
67,1971,5010,14
67,1971,5060,5
67,1971,5110,4
67,1971,5290,2
67,1971,5520,1
67,1971,5600,6
67,1971,5630,16
67,1971,5930,17
67,1971,5970,6
67,1971,5980,42
67,1971,6010,1
67,1971,6080,2
67,1971,6100,17
67,1971,6110,1
67,1971,6130,25
67,1971,6220,2
67,1971,6240,21
67,1971,6280,3
67,1971,6310,14
67,1971,6360,8
67,1971,6390,1
67,1971,6480,2
67,1971,6630,2
67,1971,6710,18
67,1971,6730,9
67,1971,6740,6
67,1971,6770,1
67,1971,6810,2
67,1971,6830,10
67,1971,6840,9
67,1971,6882,10
67,1971,7030,12
67,1971,7040,1
67,1971,7180,23
67,1971,7310,15
67,1971,7360,16
67,1971,7510,9
67,1971,7550,7
67,1971,7610,6
67,1971,7660,8
67,1972,1940,2
67,1972,2010,4
67,1972,2730,2
67,1972,2890,27
67,1972,3160,6
67,1972,3250,5
67,1972,3390,2
67,1972,3680,3
67,1972,3870,5
67,1972,3900,2
67,1972,3940,2
67,1972,4050,9
67,1972,4090,1
67,1972,4120,3
67,1972,4160,12
67,1972,4230,20
67,1972,4430,3
67,1972,4440,2
67,1972,4520,19
67,1972,4560,5
67,1972,4610,14
67,1972,4650,6
67,1972,4770,8
67,1972,4880,43
67,1972,4930,4
67,1972,4950,23
67,1972,4980,10
67,1972,5010,36
67,1972,5060,6
67,1972,5110,6
67,1972,5290,10
67,1972,5520,4
67,1972,5600,5
67,1972,5630,10
67,1972,5930,13
67,1972,5970,7
67,1972,5980,40
67,1972,6010,2
67,1972,6040,1
67,1972,6080,4
67,1972,6100,24
67,1972,6110,4
67,1972,6130,35
67,1972,6170,2
67,1972,6220,3
67,1972,6240,25
67,1972,6310,7
67,1972,6360,5
67,1972,6390,2
67,1972,6630,2
67,1972,6710,30
67,1972,6730,6
67,1972,6740,8
67,1972,6760,1
67,1972,6770,1
67,1972,6810,9
67,1972,6830,29
67,1972,6840,5
67,1972,6882,13
67,1972,7030,6
67,1972,7180,22
67,1972,7270,5
67,1972,7310,11
67,1972,7360,28
67,1972,7510,2
67,1972,7550,14
67,1972,7610,6
67,1972,7660,8
67,1973,2010,3
67,1973,2730,1
67,1973,2890,12
67,1973,3160,4
67,1973,3250,10
67,1973,3390,5
67,1973,3870,2
67,1973,3940,1
67,1973,4050,5
67,1973,4090,1
67,1973,4120,2
67,1973,4160,13
67,1973,4230,2
67,1973,4430,1
67,1973,4520,40
67,1973,4560,9
67,1973,4610,9
67,1973,4650,4
67,1973,4770,11
67,1973,4880,37
67,1973,4930,4
67,1973,4950,7
67,1973,4980,20
67,1973,5010,13
67,1973,5060,7
67,1973,5110,4
67,1973,5290,3
67,1973,5520,4
67,1973,5600,6
67,1973,5630,3
67,1973,5930,5
67,1973,5970,1
67,1973,5980,34
67,1973,6010,2
67,1973,6080,8
67,1973,6100,17
67,1973,6110,1
67,1973,6130,36
67,1973,6240,22
67,1973,6280,2
67,1973,6310,7
67,1973,6360,2
67,1973,6630,1
67,1973,6710,20
67,1973,6730,6
67,1973,6740,8
67,1973,6760,2
67,1973,6770,5
67,1973,6810,6
67,1973,6830,13
67,1973,6840,5
67,1973,6882,6
67,1973,7030,6
67,1973,7050,1
67,1973,7180,4
67,1973,7270,1
67,1973,7310,14
67,1973,7360,10
67,1973,7510,5
67,1973,7550,8
67,1973,7610,2
67,1973,7660,2
67,1974,2010,3
67,1974,2730,2
67,1974,2890,19
67,1974,3160,5
67,1974,3250,4
67,1974,3370,2
67,1974,3390,2
67,1974,3680,1
67,1974,3850,2
67,1974,3870,2
67,1974,4050,13
67,1974,4060,2
67,1974,4160,6
67,1974,4230,5
67,1974,4280,3
67,1974,4430,9
67,1974,4440,8
67,1974,4520,43
67,1974,4560,6
67,1974,4610,13
67,1974,4650,3
67,1974,4770,8
67,1974,4880,57
67,1974,4930,1
67,1974,4950,8
67,1974,4980,19
67,1974,5010,22
67,1974,5060,7
67,1974,5110,11
67,1974,5290,1
67,1974,5520,7
67,1974,5600,5
67,1974,5630,5
67,1974,5930,12
67,1974,5970,4
67,1974,5980,55
67,1974,6010,2
67,1974,6040,6
67,1974,6080,10
67,1974,6100,20
67,1974,6110,4
67,1974,6130,57
67,1974,6170,1
67,1974,6220,3
67,1974,6240,39
67,1974,6280,4
67,1974,6310,5
67,1974,6360,8
67,1974,6580,1
67,1974,6630,2
67,1974,6710,20
67,1974,6730,6
67,1974,6740,11
67,1974,6770,2
67,1974,6810,4
67,1974,6830,21
67,1974,6840,3
67,1974,6882,14
67,1974,7030,11
67,1974,7180,10
67,1974,7270,2
67,1974,7310,11
67,1974,7360,8
67,1974,7510,12
67,1974,7550,11
67,1974,7610,8
67,1974,7660,5
