statenum,Year,Aou,SpeciesTotal
69,1968,2971,1
69,1968,3000,1
69,1968,3160,4
69,1968,3250,5
69,1968,3750,1
69,1968,3940,2
69,1968,4130,6
69,1968,4590,1
69,1968,4641,23
69,1968,4660,51
69,1968,4780,4
69,1968,4880,11
69,1968,4930,1
69,1968,4950,11
69,1968,5100,2
69,1968,5140,2
69,1968,5170,2
69,1968,5190,1
69,1968,5290,6
69,1968,5540,30
69,1968,5671,24
69,1968,5810,5
69,1968,5880,9
69,1968,5960,1
69,1968,6070,4
69,1968,6130,1
69,1968,6140,5
69,1968,6240,1
69,1968,6270,7
69,1968,6450,6
69,1968,6460,28
69,1968,6520,6
69,1968,6560,3
69,1968,6650,7
69,1968,6800,3
69,1968,6850,13
69,1968,7210,1
69,1968,7221,6
69,1968,7260,1
69,1968,7280,3
69,1968,7350,2
69,1968,7430,9
69,1968,7480,17
69,1968,7580,23
69,1968,7610,20
69,1969,3120,2
69,1969,3940,1
69,1969,4330,1
69,1969,4590,7
69,1969,4641,22
69,1969,4660,68
69,1969,4780,3
69,1969,4880,19
69,1969,4930,1
69,1969,4950,2
69,1969,5100,1
69,1969,5540,38
69,1969,5671,24
69,1969,5810,6
69,1969,5880,5
69,1969,6070,19
69,1969,6140,19
69,1969,6150,3
69,1969,6240,5
69,1969,6270,29
69,1969,6460,34
69,1969,6520,7
69,1969,6560,4
69,1969,6650,9
69,1969,6850,10
69,1969,7210,6
69,1969,7280,4
69,1969,7410,8
69,1969,7430,3
69,1969,7480,12
69,1969,7580,103
69,1969,7610,13
69,1970,2971,4
69,1970,3000,1
69,1970,3120,1
69,1970,3160,3
69,1970,3940,1
69,1970,4130,1
69,1970,4330,3
69,1970,4590,4
69,1970,4641,24
69,1970,4660,65
69,1970,4780,7
69,1970,4880,21
69,1970,4950,10
69,1970,5100,7
69,1970,5330,2
69,1970,5540,39
69,1970,5671,32
69,1970,5810,10
69,1970,5880,8
69,1970,5960,3
69,1970,6070,12
69,1970,6130,4
69,1970,6150,6
69,1970,6190,3
69,1970,6270,14
69,1970,6460,37
69,1970,6520,2
69,1970,6650,25
69,1970,6800,8
69,1970,6850,9
69,1970,7210,4
69,1970,7221,2
69,1970,7260,1
69,1970,7280,1
69,1970,7350,6
69,1970,7410,19
69,1970,7430,3
69,1970,7480,15
69,1970,7580,74
69,1970,7610,13
69,1970,7630,1
69,1971,2971,7
69,1971,3000,1
69,1971,3160,2
69,1971,3930,2
69,1971,3940,2
69,1971,4130,3
69,1971,4590,6
69,1971,4641,13
69,1971,4660,67
69,1971,4780,7
69,1971,4880,24
69,1971,4950,2
69,1971,5100,4
69,1971,5140,1
69,1971,5290,4
69,1971,5540,44
69,1971,5671,31
69,1971,5810,9
69,1971,5880,1
69,1971,5960,1
69,1971,6070,9
69,1971,6140,6
69,1971,6150,1
69,1971,6240,2
69,1971,6270,18
69,1971,6291,1
69,1971,6450,4
69,1971,6460,25
69,1971,6520,3
69,1971,6560,13
69,1971,6650,15
69,1971,6810,1
69,1971,6850,6
69,1971,7210,13
69,1971,7221,2
69,1971,7260,3
69,1971,7350,4
69,1971,7430,2
69,1971,7480,20
69,1971,7580,74
69,1971,7610,18
69,1972,2971,1
69,1972,3000,1
69,1972,3160,4
69,1972,4030,1
69,1972,4050,1
69,1972,4130,2
69,1972,4200,2
69,1972,4330,3
69,1972,4590,10
69,1972,4641,23
69,1972,4660,49
69,1972,4780,6
69,1972,4860,1
69,1972,4880,20
69,1972,4930,1
69,1972,4950,11
69,1972,5100,24
69,1972,5170,2
69,1972,5210,13
69,1972,5290,2
69,1972,5330,33
69,1972,5540,33
69,1972,5671,49
69,1972,5810,17
69,1972,5880,3
69,1972,5960,3
69,1972,6070,11
69,1972,6130,3
69,1972,6270,7
69,1972,6460,20
69,1972,6520,4
69,1972,6560,2
69,1972,6650,21
69,1972,6800,3
69,1972,6810,1
69,1972,6850,13
69,1972,7190,1
69,1972,7210,18
69,1972,7221,7
69,1972,7350,2
69,1972,7410,7
69,1972,7480,25
69,1972,7580,82
69,1972,7610,10
69,1972,7630,2
69,1973,4590,1
69,1973,4641,13
69,1973,4660,17
69,1973,4780,1
69,1973,4880,6
69,1973,4930,1
69,1973,5100,7
69,1973,5190,1
69,1973,5290,7
69,1973,5330,1
69,1973,5540,13
69,1973,5671,11
69,1973,5810,1
69,1973,5880,5
69,1973,5960,1
69,1973,6070,6
69,1973,6150,2
69,1973,6270,11
69,1973,6460,23
69,1973,6520,2
69,1973,6560,9
69,1973,6650,10
69,1973,6800,2
69,1973,6850,9
69,1973,7210,5
69,1973,7221,3
69,1973,7350,1
69,1973,7480,18
69,1973,7580,33
69,1973,7610,4
69,1974,3940,2
69,1974,4200,1
69,1974,4330,1
69,1974,4590,2
69,1974,4641,15
69,1974,4660,38
69,1974,4780,6
69,1974,4860,1
69,1974,4880,11
69,1974,4930,1
69,1974,4950,2
69,1974,5140,1
69,1974,5170,1
69,1974,5190,1
69,1974,5290,6
69,1974,5540,12
69,1974,5671,24
69,1974,5810,4
69,1974,5880,4
69,1974,5960,1
69,1974,6070,1
69,1974,6130,1
69,1974,6140,2
69,1974,6150,4
69,1974,6270,13
69,1974,6460,21
69,1974,6520,2
69,1974,6560,1
69,1974,6650,4
69,1974,6680,6
69,1974,6690,3
69,1974,6800,4
69,1974,6850,13
69,1974,7221,6
69,1974,7260,1
69,1974,7280,2
69,1974,7350,7
69,1974,7480,13
69,1974,7580,45
69,1974,7610,6
69,1974,7630,1
69,1975,3900,1
69,1975,4130,1
69,1975,4200,1
69,1975,4330,1
69,1975,4590,3
69,1975,4641,18
69,1975,4660,43
69,1975,4780,3
69,1975,4860,2
69,1975,4880,17
69,1975,4950,5
69,1975,5140,3
69,1975,5290,1
69,1975,5330,3
69,1975,5540,17
69,1975,5671,22
69,1975,5810,11
69,1975,5880,4
69,1975,5960,1
69,1975,6070,3
69,1975,6120,2
69,1975,6130,4
69,1975,6140,3
69,1975,6190,2
69,1975,6240,1
69,1975,6270,16
69,1975,6450,1
69,1975,6460,23
69,1975,6520,5
69,1975,6560,2
69,1975,6650,24
69,1975,6800,1
69,1975,6850,21
69,1975,7210,5
69,1975,7221,10
69,1975,7350,4
69,1975,7410,2
69,1975,7480,19
69,1975,7580,67
69,1975,7610,11
69,1975,7630,2
69,1976,3120,2
69,1976,3160,1
69,1976,3250,1
69,1976,3940,1
69,1976,4050,1
69,1976,4130,4
69,1976,4330,1
69,1976,4590,7
69,1976,4620,1
69,1976,4641,12
69,1976,4660,42
69,1976,4780,11
69,1976,4880,26
69,1976,4930,3
69,1976,4950,4
69,1976,5140,3
69,1976,5170,3
69,1976,5210,1
69,1976,5290,2
69,1976,5540,15
69,1976,5600,1
69,1976,5671,26
69,1976,5810,8
69,1976,5880,3
69,1976,5960,3
69,1976,6070,3
69,1976,6130,3
69,1976,6140,1
69,1976,6170,3
69,1976,6270,10
69,1976,6291,2
69,1976,6450,1
69,1976,6460,20
69,1976,6520,1
69,1976,6560,1
69,1976,6650,24
69,1976,6800,4
69,1976,6810,1
69,1976,6850,16
69,1976,7190,1
69,1976,7210,4
69,1976,7221,12
69,1976,7350,3
69,1976,7410,2
69,1976,7480,17
69,1976,7580,54
69,1976,7610,11
69,1977,3120,1
69,1977,3900,2
69,1977,4050,1
69,1977,4130,3
69,1977,4330,1
69,1977,4590,6
69,1977,4620,4
69,1977,4641,24
69,1977,4660,29
69,1977,4780,13
69,1977,4880,23
69,1977,4950,6
69,1977,5140,5
69,1977,5170,1
69,1977,5540,11
69,1977,5600,2
69,1977,5671,16
69,1977,5810,11
69,1977,5880,2
69,1977,5960,2
69,1977,6070,3
69,1977,6130,2
69,1977,6150,2
69,1977,6270,9
69,1977,6291,1
69,1977,6450,2
69,1977,6460,14
69,1977,6650,10
69,1977,6690,4
69,1977,6800,7
69,1977,6850,15
69,1977,7210,13
69,1977,7221,3
69,1977,7280,3
69,1977,7350,2
69,1977,7480,12
69,1977,7580,45
69,1977,7610,13
69,1977,7630,1
69,1978,3000,1
69,1978,3120,1
69,1978,3900,2
69,1978,4130,1
69,1978,4330,1
69,1978,4590,1
69,1978,4641,14
69,1978,4660,19
69,1978,4780,13
69,1978,4860,2
69,1978,4880,23
69,1978,4950,2
69,1978,5100,2
69,1978,5140,3
69,1978,5540,10
69,1978,5671,8
69,1978,5810,12
69,1978,5880,1
69,1978,6070,3
69,1978,6130,1
69,1978,6150,2
69,1978,6270,16
69,1978,6291,1
69,1978,6450,1
69,1978,6460,19
69,1978,6650,11
69,1978,6690,2
69,1978,6800,8
69,1978,6850,10
69,1978,7210,8
69,1978,7221,14
69,1978,7410,2
69,1978,7480,12
69,1978,7580,31
69,1978,7610,8
69,1978,7630,1
69,1979,3120,1
69,1979,3160,1
69,1979,3940,1
69,1979,4130,4
69,1979,4330,1
69,1979,4590,1
69,1979,4641,13
69,1979,4660,16
69,1979,4780,10
69,1979,4880,16
69,1979,4950,3
69,1979,5100,2
69,1979,5140,3
69,1979,5210,2
69,1979,5290,6
69,1979,5540,6
69,1979,5671,14
69,1979,5810,12
69,1979,5880,4
69,1979,5960,1
69,1979,6070,1
69,1979,6130,2
69,1979,6190,2
69,1979,6270,19
69,1979,6291,1
69,1979,6460,21
69,1979,6560,10
69,1979,6650,16
69,1979,6850,11
69,1979,7210,6
69,1979,7221,3
69,1979,7280,2
69,1979,7350,2
69,1979,7410,3
69,1979,7480,4
69,1979,7580,46
69,1979,7610,17
69,1979,7630,1
69,1981,4130,1
69,1981,4200,1
69,1981,4590,1
69,1981,4620,1
69,1981,4641,22
69,1981,4660,5
69,1981,4780,5
69,1981,4880,16
69,1981,5170,1
69,1981,5290,1
69,1981,5540,6
69,1981,5671,5
69,1981,5810,8
69,1981,5880,1
69,1981,6070,1
69,1981,6130,2
69,1981,6150,3
69,1981,6291,1
69,1981,6450,1
69,1981,6460,15
69,1981,6560,6
69,1981,6650,9
69,1981,6690,2
69,1981,6800,2
69,1981,6850,15
69,1981,7190,1
69,1981,7210,3
69,1981,7221,13
69,1981,7280,4
69,1981,7350,2
69,1981,7480,11
69,1981,7580,41
69,1981,7610,10
69,1982,3120,1
69,1982,3900,1
69,1982,3940,1
69,1982,4030,1
69,1982,4330,1
69,1982,4590,1
69,1982,4620,1
69,1982,4641,36
69,1982,4660,12
69,1982,4780,11
69,1982,4880,29
69,1982,4930,2
69,1982,5170,2
69,1982,5210,1
69,1982,5290,5
69,1982,5330,1
69,1982,5540,10
69,1982,5600,1
69,1982,5671,7
69,1982,5810,12
69,1982,6070,6
69,1982,6120,2
69,1982,6130,6
69,1982,6150,3
69,1982,6190,3
69,1982,6270,1
69,1982,6291,19
69,1982,6450,1
69,1982,6460,20
69,1982,6560,1
69,1982,6650,14
69,1982,6680,1
69,1982,6690,2
69,1982,6850,24
69,1982,7210,2
69,1982,7221,16
69,1982,7260,1
69,1982,7280,1
69,1982,7350,1
69,1982,7480,11
69,1982,7580,45
69,1982,7610,14
69,1982,7630,1
69,1983,3120,2
69,1983,4130,2
69,1983,4330,1
69,1983,4590,2
69,1983,4620,1
69,1983,4641,21
69,1983,4660,13
69,1983,4780,9
69,1983,4880,24
69,1983,4950,1
69,1983,5140,2
69,1983,5170,1
69,1983,5290,2
69,1983,5330,1
69,1983,5540,8
69,1983,5671,13
69,1983,5810,15
69,1983,5880,4
69,1983,5960,3
69,1983,6070,2
69,1983,6120,2
69,1983,6130,2
69,1983,6150,2
69,1983,6190,4
69,1983,6270,4
69,1983,6450,2
69,1983,6460,17
69,1983,6650,24
69,1983,6800,1
69,1983,6850,26
69,1983,7210,4
69,1983,7221,11
69,1983,7280,2
69,1983,7410,9
69,1983,7480,2
69,1983,7580,41
69,1983,7610,16
69,1983,7630,4
69,1984,3900,1
69,1984,3930,1
69,1984,4330,1
69,1984,4590,5
69,1984,4620,2
69,1984,4641,28
69,1984,4660,15
69,1984,4780,6
69,1984,4860,3
69,1984,4880,21
69,1984,4950,2
69,1984,5140,40
69,1984,5170,2
69,1984,5290,7
69,1984,5330,2
69,1984,5540,23
69,1984,5671,5
69,1984,5810,19
69,1984,5880,2
69,1984,6140,3
69,1984,6150,24
69,1984,6170,2
69,1984,6270,15
69,1984,6450,1
69,1984,6460,23
69,1984,6650,7
69,1984,6800,4
69,1984,6810,1
69,1984,6850,24
69,1984,7210,3
69,1984,7221,10
69,1984,7280,2
69,1984,7350,3
69,1984,7480,5
69,1984,7580,48
69,1984,7610,17
69,1985,3940,2
69,1985,4030,1
69,1985,4050,3
69,1985,4130,1
69,1985,4330,4
69,1985,4590,1
69,1985,4620,1
69,1985,4641,33
69,1985,4660,10
69,1985,4780,5
69,1985,4880,18
69,1985,5140,10
69,1985,5170,1
69,1985,5290,1
69,1985,5330,2
69,1985,5540,9
69,1985,5671,17
