statenum,Year,Aou,SpeciesTotal
72,1970,1940,2
72,1970,2730,1
72,1970,3091,2
72,1970,3131,1
72,1970,3160,30
72,1970,3250,2
72,1970,3310,1
72,1970,3940,1
72,1970,4120,3
72,1970,4230,26
72,1970,4520,1
72,1970,4560,4
72,1970,4610,6
72,1970,4665,1
72,1970,4740,4
72,1970,4770,5
72,1970,4880,27
72,1970,4930,205
72,1970,4940,2
72,1970,4950,12
72,1970,4980,101
72,1970,5010,13
72,1970,5070,3
72,1970,5110,149
72,1970,5170,3
72,1970,5290,7
72,1970,5460,5
72,1970,5600,33
72,1970,5630,4
72,1970,5810,25
72,1970,5840,1
72,1970,5870,4
72,1970,5930,13
72,1970,5980,2
72,1970,6080,4
72,1970,6110,7
72,1970,6130,32
72,1970,6190,3
72,1970,6240,3
72,1970,6270,1
72,1970,6410,1
72,1970,6520,10
72,1970,6810,9
72,1970,6882,36
72,1970,7040,8
72,1970,7050,2
72,1970,7210,6
72,1970,7310,3
72,1970,7550,3
72,1970,7560,1
72,1970,7590,1
72,1970,7610,101
72,1971,2010,1
72,1971,2730,6
72,1971,3091,1
72,1971,3131,21
72,1971,3160,12
72,1971,3900,1
72,1971,4120,1
72,1971,4230,3
72,1971,4770,2
72,1971,4880,9
72,1971,4930,53
72,1971,4940,2
72,1971,4980,121
72,1971,5010,4
72,1971,5110,73
72,1971,5290,1
72,1971,5600,24
72,1971,5630,3
72,1971,5810,25
72,1971,5870,1
72,1971,5930,8
72,1971,5950,2
72,1971,6110,18
72,1971,6130,23
72,1971,6520,1
72,1971,6810,6
72,1971,6882,36
72,1971,7040,4
72,1971,7210,2
72,1971,7310,2
72,1971,7350,2
72,1971,7610,103
72,1972,1940,1
72,1972,2730,2
72,1972,3131,2
72,1972,3160,6
72,1972,3880,1
72,1972,4120,5
72,1972,4440,1
72,1972,4770,4
72,1972,4880,13
72,1972,4930,40
72,1972,4980,128
72,1972,5010,6
72,1972,5070,1
72,1972,5110,117
72,1972,5290,11
72,1972,5600,27
72,1972,5630,12
72,1972,5810,32
72,1972,5870,7
72,1972,5930,8
