statenum,Year,Aou,SpeciesTotal
80,1966,540,20
80,1966,580,16
80,1966,650,2
80,1966,1840,11
80,1966,1860,1
80,1966,1940,2
80,1966,1960,12
80,1966,1970,1
80,1966,1990,5
80,1966,2000,1
80,1966,2001,8
80,1966,2010,5
80,1966,2030,1
80,1966,2110,1
80,1966,2580,1
80,1966,2890,83
80,1966,3160,43
80,1966,3200,5
80,1966,3260,2
80,1966,3870,8
80,1966,3940,1
80,1966,4050,4
80,1966,4090,17
80,1966,4160,2
80,1966,4200,1
80,1966,4230,1
80,1966,4280,6
80,1966,4440,13
80,1966,4520,21
80,1966,4610,1
80,1966,4650,1
80,1966,4770,62
80,1966,4880,63
80,1966,4900,1
80,1966,4930,13
80,1966,4950,1
80,1966,4980,201
80,1966,5010,28
80,1966,5060,15
80,1966,5110,105
80,1966,5130,6
80,1966,5600,1
80,1966,5750,1
80,1966,5870,10
80,1966,5930,192
80,1966,5970,1
80,1966,5980,9
80,1966,6010,16
80,1966,6100,19
80,1966,6110,28
80,1966,6220,10
80,1966,6240,2
80,1966,6310,8
80,1966,6480,8
80,1966,6810,3
80,1966,6830,4
80,1966,6882,24
80,1966,7030,119
80,1966,7050,21
80,1966,7180,36
80,1966,7250,17
80,1966,7310,4
80,1966,7360,11
80,1966,7510,1
80,1966,7660,1
80,1967,510,1
80,1967,650,1
80,1967,1440,2
80,1967,1840,2
80,1967,1940,2
80,1967,1960,10
80,1967,1970,2
80,1967,2000,2
80,1967,2001,5
80,1967,2010,2
80,1967,2020,1
80,1967,2110,5
80,1967,2890,71
80,1967,3160,26
80,1967,3260,1
80,1967,3370,1
80,1967,3870,2
80,1967,3930,2
80,1967,4090,15
80,1967,4160,1
80,1967,4230,7
80,1967,4280,2
80,1967,4440,4
80,1967,4520,17
80,1967,4650,1
80,1967,4770,45
80,1967,4880,31
80,1967,4930,5
80,1967,4980,111
80,1967,5010,7
80,1967,5060,13
80,1967,5110,41
80,1967,5130,2
80,1967,5630,1
80,1967,5870,3
80,1967,5930,173
80,1967,5970,1
80,1967,5980,5
80,1967,6010,15
80,1967,6100,13
80,1967,6110,22
80,1967,6130,16
80,1967,6220,7
80,1967,6240,7
80,1967,6310,1
80,1967,6480,15
80,1967,6630,2
80,1967,6810,10
