statenum,Year,Aou,SpeciesTotal
81,1967,590,7
81,1967,1320,1
81,1967,1400,8
81,1967,1420,2
81,1967,1430,2
81,1967,2210,1
81,1967,2730,1
81,1967,3091,76
81,1967,3160,33
81,1967,3370,1
81,1967,3600,1
81,1967,3880,1
81,1967,4060,12
81,1967,4120,7
81,1967,4440,9
81,1967,4470,6
81,1967,4740,5
81,1967,4770,21
81,1967,4880,12
81,1967,4930,19
81,1967,4940,3
81,1967,4950,38
81,1967,4970,11
81,1967,4980,141
81,1967,5011,173
81,1967,5110,219
81,1967,5290,3
81,1967,5810,1
81,1967,5950,1
81,1967,6040,13
81,1967,6050,3
81,1967,6110,6
81,1967,6130,24
81,1967,6170,5
81,1967,6270,1
81,1967,6810,20
81,1967,6882,98
81,1967,7040,2
81,1967,7050,6
81,1967,7210,2
81,1967,7250,1
81,1967,7610,13
81,1968,2730,5
81,1968,3091,59
81,1968,3160,54
81,1968,3310,1
81,1968,3600,2
81,1968,3870,1
81,1968,4060,18
81,1968,4120,8
81,1968,4440,5
81,1968,4470,6
81,1968,4560,1
81,1968,4740,4
81,1968,4770,14
81,1968,4880,6
81,1968,4930,39
81,1968,4950,16
81,1968,4980,75
81,1968,5011,170
81,1968,5070,2
81,1968,5110,316
81,1968,5290,13
81,1968,5400,2
81,1968,5610,1
81,1968,5810,1
81,1968,6040,56
81,1968,6050,22
81,1968,6110,1
81,1968,6130,22
81,1968,6810,22
81,1968,6882,105
81,1968,7040,2
81,1968,7050,11
81,1968,7210,6
81,1968,7610,24
81,1969,1320,4
81,1969,1350,2
81,1969,1400,9
81,1969,1420,3
81,1969,1430,3
81,1969,1460,1
81,1969,2210,1
81,1969,2240,3
81,1969,2610,10
81,1969,2730,25
81,1969,3091,40
81,1969,3160,55
81,1969,3600,3
81,1969,3750,1
81,1969,4060,13
81,1969,4120,10
81,1969,4230,1
81,1969,4440,3
81,1969,4470,6
81,1969,4740,3
81,1969,4770,2
81,1969,4880,21
81,1969,4930,54
81,1969,4940,2
81,1969,4950,38
81,1969,4970,11
81,1969,4980,74
81,1969,5011,177
81,1969,5060,1
81,1969,5070,1
81,1969,5110,323
81,1969,5290,1
81,1969,5400,6
81,1969,5460,2
81,1969,5600,1
81,1969,5810,5
81,1969,5970,3
81,1969,6040,61
81,1969,6050,38
81,1969,6110,1
81,1969,6130,29
81,1969,6170,1
81,1969,6220,2
81,1969,6810,35
81,1969,6882,85
81,1969,7050,7
81,1969,7250,1
81,1969,7610,35
81,1970,1320,8
81,1970,1400,7
81,1970,1430,1
81,1970,2610,1
81,1970,2730,15
81,1970,3091,44
81,1970,3160,46
81,1970,3310,1
81,1970,3370,1
81,1970,3670,1
81,1970,3880,2
81,1970,4060,10
81,1970,4120,11
81,1970,4230,1
81,1970,4440,10
81,1970,4470,3
81,1970,4770,1
81,1970,4880,13
81,1970,4930,43
81,1970,4940,4
81,1970,4950,34
81,1970,4970,14
81,1970,4980,125
81,1970,5011,192
81,1970,5110,209
81,1970,5290,3
81,1970,5400,1
81,1970,5460,5
81,1970,5810,3
81,1970,6040,65
81,1970,6050,19
81,1970,6120,2
81,1970,6130,26
81,1970,6160,1
81,1970,6270,2
81,1970,6810,28
81,1970,6882,97
81,1970,7050,2
81,1970,7210,1
81,1970,7610,26
81,1971,590,9
81,1971,1320,1
81,1971,1400,4
81,1971,1430,2
81,1971,2210,3
81,1971,2610,3
81,1971,2730,16
81,1971,2881,2
81,1971,3091,60
81,1971,3160,35
81,1971,3600,1
81,1971,4060,5
81,1971,4120,13
81,1971,4440,5
81,1971,4470,3
81,1971,4560,1
81,1971,4660,1
81,1971,4740,1
81,1971,4770,2
81,1971,4880,6
81,1971,4930,61
81,1971,4940,8
81,1971,4950,59
81,1971,4970,4
81,1971,4980,67
81,1971,5011,153
81,1971,5070,1
81,1971,5110,179
81,1971,5290,2
81,1971,5400,2
81,1971,5420,1
81,1971,5460,1
81,1971,5810,4
81,1971,5970,2
81,1971,6040,44
81,1971,6130,18
81,1971,6270,3
81,1971,6810,31
81,1971,6882,58
81,1971,7050,3
81,1971,7210,2
81,1971,7610,25
81,1972,1320,5
81,1972,1370,2
81,1972,1400,4
81,1972,1430,6
81,1972,2210,8
81,1972,2610,2
81,1972,2730,33
81,1972,3091,52
81,1972,3131,1
81,1972,3160,59
81,1972,3600,2
81,1972,3880,1
81,1972,3940,1
81,1972,4060,9
81,1972,4120,7
81,1972,4440,15
81,1972,4470,7
81,1972,4770,2
81,1972,4880,9
81,1972,4930,31
81,1972,4940,3
81,1972,4950,49
81,1972,4970,9
81,1972,4980,142
81,1972,5011,135
81,1972,5070,2
81,1972,5110,319
81,1972,5290,5
81,1972,5400,1
81,1972,5460,1
81,1972,5600,1
81,1972,5810,8
81,1972,6040,101
81,1972,6130,60
81,1972,6220,3
81,1972,6520,1
81,1972,6810,27
81,1972,6882,109
81,1972,7040,1
81,1972,7050,5
81,1972,7210,4
81,1972,7240,1
81,1972,7610,13
81,1973,60,1
81,1973,590,2
81,1973,1320,6
81,1973,1350,1
81,1973,1390,1
81,1973,1400,17
81,1973,1430,3
81,1973,1670,1
81,1973,2210,7
81,1973,2610,11
81,1973,2730,23
81,1973,2890,2
81,1973,3091,51
81,1973,3131,21
81,1973,3160,43
81,1973,3310,1
81,1973,3880,2
81,1973,3940,1
81,1973,4060,6
81,1973,4120,6
81,1973,4440,4
81,1973,4470,6
81,1973,4660,1
81,1973,4740,4
81,1973,4770,2
81,1973,4880,5
81,1973,4930,91
81,1973,4940,14
81,1973,4950,69
81,1973,4970,45
81,1973,4980,163
81,1973,5011,152
81,1973,5060,3
81,1973,5070,2
81,1973,5110,89
81,1973,5290,8
81,1973,5400,17
81,1973,5420,2
81,1973,5460,15
81,1973,5810,6
81,1973,5840,1
81,1973,5970,3
81,1973,6040,35
81,1973,6050,2
81,1973,6110,7
81,1973,6130,64
81,1973,6270,1
81,1973,6810,32
81,1973,6882,57
81,1973,7210,6
81,1973,7250,5
81,1973,7610,34
81,1974,590,30
81,1974,1320,22
81,1974,1400,1
81,1974,1430,11
81,1974,1460,5
81,1974,1490,3
81,1974,1900,1
81,1974,2010,1
81,1974,2210,1
81,1974,2610,9
81,1974,2730,25
81,1974,2881,1
81,1974,3091,18
81,1974,3131,8
81,1974,3160,42
81,1974,3370,1
81,1974,4060,6
81,1974,4120,12
81,1974,4440,7
81,1974,4470,10
81,1974,4740,4
81,1974,4770,3
