statenum,Year,Aou,SpeciesTotal
87,1966,3000,2
87,1966,3930,1
87,1966,3940,12
87,1966,4020,1
87,1966,4050,1
87,1966,4120,13
87,1966,4230,5
87,1966,4440,4
87,1966,4560,10
87,1966,4610,12
87,1966,4670,11
87,1966,4770,15
87,1966,4880,15
87,1966,4930,3
87,1966,4940,2
87,1966,4950,3
87,1966,4980,11
87,1966,5010,1
87,1966,5070,1
87,1966,5110,9
87,1966,5290,3
87,1966,5580,27
87,1966,5600,7
87,1966,5630,4
87,1966,5670,5
87,1966,5810,20
87,1966,5870,15
87,1966,5950,4
87,1966,5980,3
87,1966,6080,12
87,1966,6130,10
87,1966,6140,11
87,1966,6170,1
87,1966,6190,1
87,1966,6240,28
87,1966,6270,5
87,1966,6360,2
87,1966,6520,6
87,1966,6590,14
87,1966,6670,3
87,1966,6740,33
87,1966,6810,3
87,1966,6870,2
87,1966,6882,1
87,1966,7040,8
87,1966,7050,1
87,1966,7210,1
87,1966,7222,1
87,1966,7270,2
87,1966,7350,10
87,1966,7550,41
87,1966,7560,23
87,1966,7610,34
87,1966,7660,1
87,1967,1330,1
87,1967,2730,1
87,1967,3160,3
87,1967,3330,1
87,1967,3900,1
87,1967,3930,1
87,1967,3940,2
87,1967,4020,5
87,1967,4120,4
87,1967,4230,3
87,1967,4280,1
87,1967,4440,2
87,1967,4560,18
87,1967,4610,4
87,1967,4670,10
87,1967,4770,18
87,1967,4880,8
87,1967,4930,14
87,1967,4940,2
87,1967,4980,15
87,1967,5010,2
87,1967,5070,2
87,1967,5110,3
87,1967,5170,4
87,1967,5290,10
87,1967,5580,16
87,1967,5600,11
87,1967,5630,2
87,1967,5670,5
87,1967,5810,25
87,1967,5840,2
87,1967,5870,13
87,1967,5950,6
87,1967,6080,8
87,1967,6130,7
87,1967,6140,2
87,1967,6160,11
87,1967,6190,2
87,1967,6240,28
87,1967,6270,1
87,1967,6290,2
87,1967,6360,1
87,1967,6520,3
87,1967,6540,1
87,1967,6590,13
87,1967,6620,2
87,1967,6670,3
87,1967,6740,29
87,1967,6810,13
87,1967,6860,2
87,1967,6870,7
87,1967,6882,7
87,1967,7040,7
87,1967,7210,1
87,1967,7222,2
87,1967,7350,15
87,1967,7550,25
87,1967,7560,11
87,1967,7590,3
87,1967,7610,35
87,1968,1330,2
87,1968,3160,1
87,1968,3880,1
87,1968,3900,1
87,1968,3940,1
87,1968,4020,2
87,1968,4120,6
87,1968,4230,4
87,1968,4280,1
87,1968,4520,4
87,1968,4560,14
87,1968,4610,5
87,1968,4661,2
87,1968,4670,15
87,1968,4770,21
87,1968,4880,9
87,1968,4930,35
87,1968,4950,2
87,1968,4980,19
87,1968,5070,5
87,1968,5110,10
87,1968,5170,4
87,1968,5290,9
87,1968,5580,16
87,1968,5600,13
87,1968,5670,3
87,1968,5810,15
87,1968,5870,10
87,1968,5950,2
87,1968,5980,3
87,1968,6080,7
87,1968,6120,6
87,1968,6130,5
87,1968,6140,5
87,1968,6160,3
87,1968,6190,3
87,1968,6240,32
87,1968,6360,2
87,1968,6520,10
87,1968,6540,1
87,1968,6590,6
87,1968,6670,5
87,1968,6740,19
87,1968,6810,4
87,1968,6870,12
87,1968,6882,2
87,1968,7040,8
87,1968,7210,1
87,1968,7222,2
87,1968,7270,1
87,1968,7280,2
87,1968,7350,15
87,1968,7550,32
87,1968,7560,14
87,1968,7590,1
87,1968,7610,42
87,1968,7660,1
87,1969,3160,2
87,1969,3930,1
87,1969,3940,2
87,1969,4020,3
87,1969,4050,1
87,1969,4120,2
87,1969,4230,3
87,1969,4280,1
87,1969,4440,3
87,1969,4520,6
87,1969,4560,9
87,1969,4610,10
87,1969,4670,11
87,1969,4770,26
87,1969,4880,3
87,1969,4930,22
87,1969,4940,1
87,1969,4980,18
87,1969,5070,3
87,1969,5110,5
87,1969,5290,12
87,1969,5580,18
87,1969,5600,8
87,1969,5630,2
87,1969,5670,10
87,1969,5810,26
87,1969,5870,7
87,1969,5950,1
87,1969,5980,1
87,1969,6080,2
87,1969,6130,12
87,1969,6140,9
87,1969,6160,8
87,1969,6170,2
87,1969,6190,5
87,1969,6240,35
87,1969,6270,1
87,1969,6450,1
87,1969,6520,7
87,1969,6540,1
87,1969,6590,1
87,1969,6620,1
87,1969,6670,1
87,1969,6740,18
87,1969,6810,18
87,1969,6870,7
87,1969,6882,8
87,1969,7040,4
87,1969,7050,3
87,1969,7210,3
87,1969,7222,3
87,1969,7270,3
87,1969,7350,10
87,1969,7550,46
87,1969,7560,5
87,1969,7590,2
87,1969,7610,29
87,1969,7660,2
87,1970,2280,3
87,1970,2730,1
87,1970,3160,5
87,1970,3930,1
87,1970,3940,2
87,1970,4020,16
87,1970,4120,2
87,1970,4230,4
87,1970,4440,1
87,1970,4520,1
87,1970,4560,8
87,1970,4610,10
87,1970,4670,9
87,1970,4770,17
87,1970,4880,11
87,1970,4930,30
87,1970,4950,9
87,1970,4980,20
87,1970,5010,2
87,1970,5070,5
87,1970,5110,4
87,1970,5170,1
87,1970,5290,4
87,1970,5580,15
87,1970,5600,6
87,1970,5630,3
87,1970,5670,5
87,1970,5810,27
87,1970,5870,11
87,1970,5950,3
87,1970,5980,3
87,1970,6080,6
87,1970,6130,8
87,1970,6140,12
87,1970,6240,32
87,1970,6270,1
87,1970,6520,3
87,1970,6590,14
87,1970,6670,1
87,1970,6740,22
87,1970,6750,2
87,1970,6810,5
87,1970,6870,8
87,1970,6882,9
87,1970,7040,16
87,1970,7050,1
87,1970,7210,5
87,1970,7222,6
87,1970,7270,2
87,1970,7350,12
87,1970,7550,29
87,1970,7560,9
87,1970,7590,1
87,1970,7610,35
87,1970,7660,1
87,1971,2280,2
87,1971,3930,3
87,1971,3940,1
87,1971,4020,9
87,1971,4120,8
87,1971,4440,2
87,1971,4520,1
87,1971,4560,13
87,1971,4610,6
87,1971,4661,2
87,1971,4670,9
87,1971,4770,15
87,1971,4880,8
87,1971,4930,11
87,1971,4940,2
87,1971,4980,12
87,1971,5070,3
87,1971,5110,3
87,1971,5290,8
87,1971,5580,13
87,1971,5600,15
87,1971,5630,6
87,1971,5670,1
87,1971,5810,28
87,1971,5870,14
87,1971,5950,4
87,1971,5980,1
87,1971,6080,4
87,1971,6130,8
87,1971,6140,16
87,1971,6240,38
87,1971,6270,1
87,1971,6360,1
87,1971,6520,2
87,1971,6540,1
87,1971,6590,11
87,1971,6740,18
87,1971,6810,3
87,1971,6870,9
87,1971,6882,2
87,1971,7040,4
87,1971,7050,3
87,1971,7210,3
87,1971,7222,2
87,1971,7280,2
87,1971,7350,12
87,1971,7550,34
87,1971,7560,15
87,1971,7580,1
87,1971,7610,54
87,1972,1320,1
87,1972,2300,1
87,1972,3000,1
87,1972,3160,1
87,1972,3930,2
87,1972,3940,3
87,1972,4020,2
87,1972,4120,4
87,1972,4230,5
87,1972,4280,1
87,1972,4440,3
87,1972,4520,2
87,1972,4560,9
87,1972,4610,6
87,1972,4670,4
87,1972,4770,4
87,1972,4880,6
87,1972,4930,13
87,1972,4950,6
87,1972,4980,29
87,1972,5070,7
87,1972,5110,3
87,1972,5170,2
87,1972,5580,15
87,1972,5600,15
87,1972,5630,4
87,1972,5670,2
87,1972,5810,24
87,1972,5870,8
87,1972,5950,5
87,1972,5980,1
87,1972,6080,3
87,1972,6120,1
87,1972,6130,9
87,1972,6140,8
87,1972,6160,3
87,1972,6240,31
87,1972,6290,1
87,1972,6360,2
87,1972,6540,1
87,1972,6550,1
87,1972,6590,15
87,1972,6740,24
87,1972,6810,2
87,1972,6870,9
87,1972,6882,4
87,1972,7040,11
87,1972,7210,2
87,1972,7222,1
87,1972,7270,1
87,1972,7350,6
87,1972,7550,31
87,1972,7560,9
87,1972,7590,5
87,1972,7610,55
87,1972,7660,1
87,1973,1330,3
87,1973,3900,1
87,1973,3930,2
87,1973,3940,2
87,1973,4020,3
87,1973,4120,2
87,1973,4230,4
87,1973,4440,1
87,1973,4520,7
87,1973,4560,13
87,1973,4610,6
87,1973,4661,1
87,1973,4670,7
87,1973,4770,17
87,1973,4880,3
87,1973,4930,26
87,1973,4950,1
87,1973,4980,10
87,1973,5070,9
87,1973,5110,5
87,1973,5290,6
87,1973,5580,12
87,1973,5600,9
87,1973,5630,3
87,1973,5670,2
87,1973,5810,25
87,1973,5870,8
87,1973,5950,10
87,1973,5980,2
87,1973,6080,13
87,1973,6130,3
87,1973,6140,2
87,1973,6240,30
87,1973,6290,1
87,1973,6520,2
87,1973,6540,3
87,1973,6590,11
87,1973,6670,7
87,1973,6740,14
87,1973,6810,13
87,1973,6870,7
87,1973,6882,3
87,1973,7040,3
87,1973,7050,1
87,1973,7210,2
87,1973,7222,3
87,1973,7270,1
87,1973,7280,3
87,1973,7350,12
87,1973,7550,31
87,1973,7560,11
87,1973,7610,35
87,1974,3160,3
87,1974,3930,2
87,1974,3940,5
87,1974,4020,9
87,1974,4120,1
87,1974,4520,2
87,1974,4560,3
87,1974,4610,5
87,1974,4670,10
87,1974,4770,9
87,1974,4880,3
87,1974,4930,35
87,1974,4950,3
87,1974,4980,12
87,1974,5070,4
87,1974,5110,5
87,1974,5170,2
87,1974,5290,5
87,1974,5580,10
87,1974,5600,3
87,1974,5630,3
87,1974,5810,22
87,1974,5870,8
87,1974,5950,4
