statenum,Year,Aou,SpeciesTotal
88,1977,2010,1
88,1977,2730,8
88,1977,2890,27
88,1977,3131,51
88,1977,3160,30
88,1977,3430,1
88,1977,3870,10
88,1977,3900,2
88,1977,3930,1
88,1977,3940,6
88,1977,4050,3
88,1977,4090,6
88,1977,4120,6
88,1977,4171,1
88,1977,4200,4
88,1977,4230,8
88,1977,4440,2
88,1977,4520,16
88,1977,4560,2
88,1977,4610,13
88,1977,4650,4
88,1977,4770,8
88,1977,4880,32
88,1977,4900,2
88,1977,4930,84
88,1977,4950,10
88,1977,4980,71
88,1977,5010,41
88,1977,5060,1
88,1977,5070,6
88,1977,5110,121
88,1977,5290,20
88,1977,5400,2
88,1977,5460,7
88,1977,5600,18
88,1977,5630,19
88,1977,5810,26
88,1977,5870,22
88,1977,5930,33
88,1977,5970,1
88,1977,5980,43
88,1977,6080,5
88,1977,6120,1
88,1977,6130,24
88,1977,6240,3
88,1977,6270,1
88,1977,6280,1
88,1977,6390,2
88,1977,6710,2
88,1977,6760,3
88,1977,6810,3
88,1977,6830,6
88,1977,6840,1
88,1977,6882,77
88,1977,7030,30
88,1977,7040,8
88,1977,7050,11
88,1977,7180,8
88,1977,7190,1
88,1977,7210,11
88,1977,7270,4
88,1977,7310,16
88,1977,7350,1
88,1977,7360,5
88,1977,7510,4
88,1977,7550,16
88,1977,7610,55
88,1977,7660,6
88,1978,1320,1
88,1978,2010,3
88,1978,2730,3
88,1978,2890,16
88,1978,3131,13
88,1978,3160,27
88,1978,3250,3
88,1978,3600,3
88,1978,3870,11
88,1978,3900,1
88,1978,3940,2
88,1978,4050,3
88,1978,4060,1
88,1978,4090,9
88,1978,4120,14
88,1978,4171,4
88,1978,4200,1
88,1978,4230,4
88,1978,4440,5
88,1978,4520,14
88,1978,4560,5
88,1978,4610,11
88,1978,4650,5
88,1978,4770,19
88,1978,4880,42
88,1978,4900,1
88,1978,4930,49
88,1978,4950,13
88,1978,4980,77
88,1978,5010,38
88,1978,5070,9
88,1978,5110,109
88,1978,5290,20
88,1978,5400,2
88,1978,5460,6
88,1978,5600,30
88,1978,5630,14
88,1978,5810,13
88,1978,5870,13
88,1978,5930,20
88,1978,5970,3
88,1978,5980,43
88,1978,6080,7
88,1978,6130,21
88,1978,6190,1
88,1978,6240,2
88,1978,6270,2
88,1978,6280,2
88,1978,6390,1
88,1978,6520,1
88,1978,6710,1
88,1978,6730,2
88,1978,6740,1
88,1978,6760,4
88,1978,6810,1
88,1978,6830,5
88,1978,6882,83
88,1978,7030,14
88,1978,7040,8
88,1978,7050,11
88,1978,7180,3
88,1978,7210,9
88,1978,7310,19
88,1978,7350,1
88,1978,7360,2
88,1978,7510,2
88,1978,7550,11
88,1978,7610,58
88,1978,7660,4
88,1980,2610,2
88,1980,2730,8
88,1980,2890,42
88,1980,3100,1
88,1980,3160,23
88,1980,3250,3
88,1980,3370,1
88,1980,3870,4
88,1980,3880,1
88,1980,3940,1
88,1980,4050,7
88,1980,4090,4
88,1980,4120,10
88,1980,4230,14
88,1980,4280,1
88,1980,4440,9
88,1980,4520,19
88,1980,4560,3
88,1980,4610,15
88,1980,4650,7
88,1980,4770,9
88,1980,4880,62
88,1980,4900,2
88,1980,4930,75
88,1980,4950,8
88,1980,4980,26
88,1980,5010,55
88,1980,5070,10
88,1980,5110,127
88,1980,5190,2
88,1980,5290,19
88,1980,5400,2
88,1980,5460,10
88,1980,5600,24
88,1980,5630,19
88,1980,5810,15
88,1980,5870,16
88,1980,5930,18
88,1980,5970,3
88,1980,5980,55
88,1980,6080,8
88,1980,6130,30
88,1980,6220,1
88,1980,6240,1
88,1980,6270,4
88,1980,6390,3
88,1980,6520,1
88,1980,6710,4
88,1980,6810,2
88,1980,6830,1
88,1980,6882,33
88,1980,7030,21
88,1980,7040,6
88,1980,7050,12
88,1980,7180,2
88,1980,7210,2
88,1980,7270,1
88,1980,7310,8
88,1980,7360,4
88,1980,7510,2
88,1980,7550,5
88,1980,7610,39
88,1980,7660,15
88,1981,1320,1
88,1981,1440,1
88,1981,2010,1
88,1981,2280,1
88,1981,2610,3
88,1981,2730,7
88,1981,2890,46
88,1981,3131,6
88,1981,3160,26
88,1981,3250,1
88,1981,3600,3
88,1981,3870,4
88,1981,3930,2
88,1981,3940,5
88,1981,4050,2
88,1981,4060,1
88,1981,4090,2
88,1981,4120,5
88,1981,4171,2
88,1981,4200,1
88,1981,4230,12
88,1981,4280,2
88,1981,4440,6
88,1981,4520,9
88,1981,4560,9
88,1981,4610,10
88,1981,4650,2
88,1981,4740,4
88,1981,4770,10
88,1981,4880,50
88,1981,4900,1
88,1981,4930,204
88,1981,4950,13
88,1981,4980,33
88,1981,5010,59
88,1981,5060,1
88,1981,5070,8
88,1981,5110,212
88,1981,5290,21
88,1981,5400,1
88,1981,5460,14
88,1981,5600,20
88,1981,5630,33
88,1981,5810,7
88,1981,5870,11
88,1981,5930,18
88,1981,5970,2
88,1981,5980,51
88,1981,6080,2
88,1981,6110,1
88,1981,6130,40
88,1981,6140,1
88,1981,6220,1
88,1981,6240,1
88,1981,6280,1
88,1981,6360,1
88,1981,6390,1
88,1981,6710,3
88,1981,6760,3
88,1981,6810,3
88,1981,6830,13
88,1981,6840,1
88,1981,6882,75
88,1981,7030,18
88,1981,7040,7
88,1981,7050,6
88,1981,7180,1
88,1981,7210,3
88,1981,7270,2
88,1981,7310,17
88,1981,7350,2
88,1981,7360,11
88,1981,7510,3
88,1981,7550,16
88,1981,7560,1
88,1981,7610,31
88,1981,7660,10
88,1982,1940,1
88,1982,2010,1
88,1982,2730,7
88,1982,2890,29
88,1982,3131,11
88,1982,3160,35
88,1982,3250,5
88,1982,3600,2
88,1982,3730,1
88,1982,3870,1
88,1982,3940,5
88,1982,4050,1
88,1982,4090,5
88,1982,4120,7
88,1982,4171,2
88,1982,4230,4
88,1982,4280,2
88,1982,4440,8
88,1982,4520,9
88,1982,4560,9
88,1982,4610,13
88,1982,4650,4
88,1982,4740,1
88,1982,4770,5
88,1982,4880,69
88,1982,4930,70
88,1982,4950,7
88,1982,4980,24
88,1982,5010,50
88,1982,5060,2
88,1982,5070,5
88,1982,5110,232
88,1982,5290,27
88,1982,5460,17
88,1982,5600,16
88,1982,5630,36
88,1982,5810,9
88,1982,5870,10
88,1982,5930,22
88,1982,5980,34
88,1982,6080,1
88,1982,6120,3
88,1982,6130,44
88,1982,6140,2
88,1982,6170,3
88,1982,6240,1
88,1982,6710,1
88,1982,6740,1
88,1982,6760,2
88,1982,6810,2
88,1982,6830,10
88,1982,6882,116
88,1982,7030,38
88,1982,7040,3
88,1982,7050,5
88,1982,7180,2
88,1982,7210,6
88,1982,7270,3
88,1982,7310,8
88,1982,7510,4
88,1982,7550,10
88,1982,7610,36
88,1982,7660,13
88,1983,1440,1
88,1983,1940,1
88,1983,2010,1
88,1983,2730,2
88,1983,2890,38
88,1983,3131,17
88,1983,3160,38
88,1983,3250,1
88,1983,3600,1
88,1983,3870,5
88,1983,3900,1
88,1983,3930,2
88,1983,3940,5
88,1983,4050,5
88,1983,4060,1
88,1983,4090,6
88,1983,4120,6
88,1983,4230,6
88,1983,4280,1
88,1983,4440,4
88,1983,4520,10
88,1983,4560,7
88,1983,4610,14
88,1983,4650,7
88,1983,4740,2
88,1983,4770,7
88,1983,4880,71
88,1983,4900,32
88,1983,4930,102
88,1983,4950,10
88,1983,4980,55
88,1983,5010,53
88,1983,5070,8
88,1983,5110,84
88,1983,5190,1
88,1983,5290,26
88,1983,5460,18
88,1983,5600,11
88,1983,5630,26
88,1983,5810,8
88,1983,5870,9
88,1983,5930,21
88,1983,5970,1
88,1983,5980,32
88,1983,6080,2
88,1983,6120,6
88,1983,6130,61
88,1983,6170,6
88,1983,6270,1
88,1983,6520,1
88,1983,6710,1
88,1983,6730,1
88,1983,6760,2
88,1983,6810,1
88,1983,6830,16
88,1983,6882,47
88,1983,7030,22
88,1983,7040,6
88,1983,7050,5
88,1983,7180,4
88,1983,7210,3
88,1983,7270,3
88,1983,7310,16
88,1983,7360,2
88,1983,7510,6
88,1983,7550,6
88,1983,7610,44
88,1983,7660,5
88,1984,1320,1
88,1984,2010,1
88,1984,2610,1
88,1984,2730,8
88,1984,2890,30
88,1984,3091,1
88,1984,3131,2
88,1984,3160,20
88,1984,3250,4
88,1984,3370,1
88,1984,3600,2
88,1984,3870,3
88,1984,3940,3
88,1984,4050,2
88,1984,4090,7
88,1984,4120,6
88,1984,4230,1
88,1984,4280,1
88,1984,4440,3
88,1984,4520,14
88,1984,4560,7
88,1984,4610,10
