statenum,Year,Aou,SpeciesTotal
91,1966,1440,1
91,1966,2300,3
91,1966,2730,3
91,1966,3160,2
91,1966,3880,1
91,1966,3930,3
91,1966,4120,7
91,1966,4230,1
91,1966,4440,1
91,1966,4520,3
91,1966,4560,4
91,1966,4610,1
91,1966,4661,3
91,1966,4670,7
91,1966,4860,2
91,1966,4880,8
91,1966,4930,19
91,1966,4940,2
91,1966,4950,12
91,1966,4980,6
91,1966,5010,1
91,1966,5011,1
91,1966,5070,2
91,1966,5290,9
91,1966,5420,6
91,1966,5580,19
91,1966,5600,4
91,1966,5610,7
91,1966,5810,31
91,1966,5870,3
91,1966,5950,3
91,1966,5980,8
91,1966,6120,6
91,1966,6140,9
91,1966,6190,18
91,1966,6240,20
91,1966,6360,1
91,1966,6450,8
91,1966,6520,3
91,1966,6590,6
91,1966,6620,2
91,1966,6740,21
91,1966,6790,10
91,1966,6810,28
91,1966,6870,1
91,1966,7040,2
91,1966,7050,1
91,1966,7210,8
91,1966,7240,1
91,1966,7560,27
91,1966,7590,2
91,1966,7610,24
91,1966,7660,1
91,1967,1940,1
91,1967,2300,11
91,1967,2730,5
91,1967,3000,7
91,1967,3160,6
91,1967,3370,1
91,1967,3600,1
91,1967,3880,1
91,1967,3930,1
91,1967,4020,2
91,1967,4120,27
91,1967,4440,1
91,1967,4520,28
91,1967,4610,3
91,1967,4661,29
91,1967,4670,20
91,1967,4770,23
91,1967,4860,5
91,1967,4880,30
91,1967,4930,22
91,1967,4940,9
91,1967,4950,23
91,1967,4980,11
91,1967,5010,6
91,1967,5011,7
91,1967,5070,3
91,1967,5100,10
91,1967,5290,31
91,1967,5420,23
91,1967,5580,24
91,1967,5600,3
91,1967,5610,15
91,1967,5810,27
91,1967,5950,11
91,1967,6080,2
91,1967,6110,5
91,1967,6120,31
91,1967,6130,1
91,1967,6140,12
91,1967,6160,2
91,1967,6190,7
91,1967,6240,22
91,1967,6290,1
91,1967,6420,2
91,1967,6450,32
91,1967,6520,5
91,1967,6590,14
91,1967,6620,2
91,1967,6670,5
91,1967,6740,44
91,1967,6790,31
91,1967,6810,37
91,1967,6870,9
91,1967,7040,13
91,1967,7050,14
91,1967,7210,10
91,1967,7240,15
91,1967,7270,1
91,1967,7280,1
91,1967,7350,1
91,1967,7550,9
91,1967,7560,50
91,1967,7590,2
91,1967,7610,26
91,1967,7660,1
91,1968,2140,2
91,1968,2300,15
91,1968,2730,8
91,1968,3000,3
91,1968,3160,5
91,1968,3310,1
91,1968,3880,3
91,1968,3900,2
91,1968,3930,1
91,1968,4020,1
91,1968,4120,21
91,1968,4230,2
91,1968,4440,5
91,1968,4520,20
91,1968,4590,3
91,1968,4610,2
91,1968,4630,1
91,1968,4661,28
91,1968,4670,15
91,1968,4770,22
91,1968,4880,23
91,1968,4930,1
91,1968,4950,37
91,1968,4980,5
91,1968,5010,4
91,1968,5011,5
91,1968,5070,1
91,1968,5290,30
91,1968,5420,13
91,1968,5580,32
91,1968,5600,5
91,1968,5610,6
91,1968,5810,35
91,1968,5840,5
91,1968,5870,2
91,1968,5950,13
91,1968,6080,6
91,1968,6120,15
91,1968,6130,12
91,1968,6140,12
91,1968,6160,1
91,1968,6190,11
91,1968,6240,17
91,1968,6360,3
91,1968,6420,8
91,1968,6450,20
91,1968,6520,13
91,1968,6590,14
91,1968,6620,6
91,1968,6670,1
91,1968,6740,48
91,1968,6790,8
91,1968,6810,41
91,1968,6870,6
91,1968,7040,9
91,1968,7050,11
91,1968,7210,9
91,1968,7240,14
91,1968,7280,3
91,1968,7350,4
91,1968,7550,6
91,1968,7560,52
91,1968,7590,2
91,1968,7610,22
91,1969,1400,1
91,1969,1940,1
91,1969,2280,1
91,1969,2300,5
91,1969,2610,1
91,1969,2730,2
91,1969,3000,8
91,1969,3310,2
91,1969,3900,2
91,1969,3940,1
91,1969,4020,3
91,1969,4120,3
91,1969,4440,2
91,1969,4520,17
91,1969,4560,2
91,1969,4590,1
91,1969,4661,13
91,1969,4670,11
91,1969,4770,9
91,1969,4860,5
91,1969,4880,13
91,1969,4930,3
91,1969,4940,2
91,1969,4950,16
91,1969,4980,11
91,1969,5010,3
91,1969,5011,5
