statenum,Year,Aou,SpeciesTotal
92,1982,1320,2
92,1982,1390,1
92,1982,1490,8
92,1982,1520,7
92,1982,1720,4
92,1982,2060,2
92,1982,2240,1
92,1982,2300,13
92,1982,2630,11
92,1982,2730,11
92,1982,3370,2
92,1982,3600,2
92,1982,4130,6
92,1982,4200,5
92,1982,4590,3
92,1982,4679,4
92,1982,4750,5
92,1982,4860,7
92,1982,4880,1
92,1982,4930,4
92,1982,4970,4
92,1982,4980,8
92,1982,5011,19
92,1982,5100,11
92,1982,5180,2
92,1982,5330,13
92,1982,5400,31
92,1982,5420,14
92,1982,5540,9
92,1982,5600,29
92,1982,5620,24
92,1982,5810,2
92,1982,5830,9
92,1982,5900,8
92,1982,6120,115
92,1982,6140,6
92,1982,6150,11
92,1982,6160,30
92,1982,6170,4
92,1982,6270,20
92,1982,6560,16
92,1982,6810,4
92,1982,7020,2
92,1982,7210,1
92,1982,7280,1
92,1982,7490,3
92,1982,7580,4
92,1982,7590,2
92,1982,7610,31
92,1982,7680,1
92,1988,1320,3
92,1988,1370,2
92,1988,1390,3
92,1988,1430,1
92,1988,1810,1
92,1988,1940,1
92,1988,2210,2
92,1988,2630,4
92,1988,2730,1
92,1988,3600,1
92,1988,4130,6
92,1988,4200,2
92,1988,4620,2
92,1988,4660,2
92,1988,4750,10
92,1988,4860,1
92,1988,4910,1
92,1988,4930,4
92,1988,4950,2
92,1988,4970,16
92,1988,4980,1
92,1988,5011,22
92,1988,5100,22
92,1988,5180,2
92,1988,5330,5
92,1988,5400,3
92,1988,5420,33
92,1988,5460,2
92,1988,5540,2
92,1988,5600,19
92,1988,5610,2
92,1988,5671,10
92,1988,5810,7
92,1988,5880,1
92,1988,6120,75
92,1988,6140,2
92,1988,6270,5
92,1988,6560,5
92,1988,6810,3
92,1988,7020,2
92,1988,7040,3
92,1988,7210,2
92,1988,7380,3
92,1988,7480,1
92,1988,7490,10
92,1988,7590,3
92,1988,7610,22
92,1988,7680,2
92,1989,1320,4
92,1989,1940,2
92,1989,2300,1
92,1989,2630,6
92,1989,4130,2
92,1989,4660,2
92,1989,4680,1
92,1989,4750,1
92,1989,4780,1
92,1989,4860,3
92,1989,4910,7
92,1989,4930,5
92,1989,4970,2
92,1989,4980,1
92,1989,5011,16
92,1989,5100,26
92,1989,5330,3
92,1989,5400,3
92,1989,5420,16
92,1989,5600,11
92,1989,5620,9
92,1989,5671,5
92,1989,5810,8
92,1989,5880,1
92,1989,5900,3
92,1989,6120,222
92,1989,6160,50
92,1989,6270,5
92,1989,6560,8
92,1989,6800,1
92,1989,7150,1
92,1989,7210,1
92,1989,7280,1
92,1989,7380,2
92,1989,7490,5
92,1989,7580,1
92,1989,7590,1
92,1989,7610,29
92,1989,7680,1
92,1990,1320,3
92,1990,1370,5
92,1990,1430,1
92,1990,1520,1
92,1990,2300,1
92,1990,2630,6
92,1990,2730,5
92,1990,3930,1
92,1990,4130,2
92,1990,4660,5
92,1990,4860,5
92,1990,4930,2
92,1990,4970,3
92,1990,4980,1
92,1990,5011,7
92,1990,5100,14
92,1990,5330,15
92,1990,5420,19
92,1990,5600,11
92,1990,5610,3
92,1990,5620,5
92,1990,5671,5
92,1990,5810,3
92,1990,5880,2
92,1990,5900,5
92,1990,5990,1
92,1990,6120,141
92,1990,6140,1
92,1990,6150,5
92,1990,6270,3
92,1990,6520,1
92,1990,6560,13
92,1990,6800,1
92,1990,6810,1
92,1990,7210,3
92,1990,7280,1
92,1990,7380,5
92,1990,7480,1
92,1990,7490,13
92,1990,7590,3
92,1990,7610,20
92,1990,7680,4
92,1991,1320,3
92,1991,1390,2
92,1991,1430,1
92,1991,2300,3
92,1991,2630,6
92,1991,3940,1
92,1991,4130,1
92,1991,4590,5
92,1991,4660,3
92,1991,4680,2
92,1991,4750,1
92,1991,4860,2
92,1991,4910,1
92,1991,4930,2
92,1991,4970,3
92,1991,4980,2
92,1991,5011,4
92,1991,5100,14
92,1991,5180,2
92,1991,5290,1
92,1991,5330,7
92,1991,5400,2
92,1991,5420,23
92,1991,5540,2
92,1991,5600,26
92,1991,5610,3
92,1991,5620,6
92,1991,5671,7
92,1991,5810,6
92,1991,5830,1
