AOU	English_Common_Name	French_Common_Name	Spanish_Common_Name	Order	Family	Genus	Species
1770	Black-bellied Whistling-Duck	Dendrocygne à ventre noir	Dendrocygna autumnalis	Anseriformes	Anatidae	Dendrocygna	autumnalis
1780	Fulvous Whistling-Duck	Dendrocygne fauve	Dendrocygna bicolor	Anseriformes	Anatidae	Dendrocygna	bicolor
1710	Greater White-fronted Goose	Oie rieuse	Anser albifrons	Anseriformes	Anatidae	Anser	albifrons
1760	Emperor Goose	Oie empereur	Chen canagica	Anseriformes	Anatidae	Chen	canagica
1690	Snow Goose	Oie des neiges	Chen caerulescens	Anseriformes	Anatidae	Chen	caerulescens
1691	(Blue Goose) Snow Goose	Oie des neiges (forme bleue)	Chen caerulescens (blue form)	Anseriformes	Anatidae	Chen	caerulescens (blue form)
1700	Ross's Goose	Oie de Ross	Chen rossii	Anseriformes	Anatidae	Chen	rossii
1730	Brant	Bernache cravant	Branta bernicla	Anseriformes	Anatidae	Branta	bernicla
1740	(Black Brant) Brant	Bernache cravant (groupe nigricans)	Branta bernicla nigricans	Anseriformes	Anatidae	Branta	bernicla nigricans
1725	Cackling Goose	Bernache de Hutchins	Branta hutchinsii	Anseriformes	Anatidae	Branta	hutchinsii
1720	Canada Goose	Bernache du Canada	Branta canadensis	Anseriformes	Anatidae	Branta	canadensis
1782	Mute Swan	Cygne tuberculé	Cygnus olor	Anseriformes	Anatidae	Cygnus	olor
1810	Trumpeter Swan	Cygne trompette	Cygnus buccinator	Anseriformes	Anatidae	Cygnus	buccinator
1800	Tundra Swan	Cygne siffleur	Cygnus columbianus	Anseriformes	Anatidae	Cygnus	columbianus
10210	Muscovy Duck	Canard musqué	Cairina moschata	Anseriformes	Anatidae	Cairina	moschata
1440	Wood Duck	Canard branchu	Aix sponsa	Anseriformes	Anatidae	Aix	sponsa
1350	Gadwall	Canard chipeau	Anas strepera	Anseriformes	Anatidae	Anas	strepera
1360	Eurasian Wigeon	Canard siffleur	Anas penelope	Anseriformes	Anatidae	Anas	penelope
1370	American Wigeon	Canard d'Amérique	Anas americana	Anseriformes	Anatidae	Anas	americana
