statenum,Year,Aou,SpeciesTotal
17,1970,1320,6
17,1970,1350,2
17,1970,2300,9
17,1970,2630,1
17,1970,2640,1
17,1970,2730,2
17,1970,3160,25
17,1970,3310,5
17,1970,3370,1
17,1970,3490,2
17,1970,3520,1
17,1970,3600,2
17,1970,3940,1
17,1970,4130,1
17,1970,4200,1
17,1970,4470,2
17,1970,4620,1
17,1970,4740,14
17,1970,4750,20
17,1970,4780,5
17,1970,4860,1
17,1970,4930,5
17,1970,4950,1
17,1970,4970,2
17,1970,4980,12
17,1970,5011,45
17,1970,5080,2
17,1970,5100,14
17,1970,5190,3
17,1970,5540,2
17,1970,5810,49
17,1970,6120,13
17,1970,6130,4
17,1970,6882,1
17,1970,7050,11
17,1970,7610,28
17,1970,7680,4
17,1971,1320,2
17,1971,1400,1
17,1971,1410,2
17,1971,2300,3
17,1971,2730,5
17,1971,3160,46
17,1971,3310,1
17,1971,3600,2
17,1971,4130,2
17,1971,4320,1
17,1971,4470,7
17,1971,4740,1
17,1971,4750,6
17,1971,4840,2
17,1971,4860,1
17,1971,4930,5
17,1971,4970,1
17,1971,4980,31
17,1971,5011,49
17,1971,5080,1
17,1971,5100,16
17,1971,5400,4
17,1971,5600,6
17,1971,5810,38
17,1971,6130,13
17,1971,6220,1
17,1971,7050,1
17,1971,7610,26
17,1972,2730,5
17,1972,3090,30
17,1972,3160,36
17,1972,3250,2
17,1972,3310,1
17,1972,3370,1
17,1972,3420,2
17,1972,3600,1
17,1972,4470,6
17,1972,4570,1
17,1972,4620,2
17,1972,4740,5
17,1972,4750,40
17,1972,4930,1
17,1972,4950,3
17,1972,4970,2
17,1972,4980,12
17,1972,5011,29
17,1972,5100,21
17,1972,5190,1
17,1972,5400,6
17,1972,5620,17
17,1972,5810,43
17,1972,6120,8
17,1972,6130,15
17,1972,6170,13
17,1972,6882,2
17,1972,7020,29
17,1972,7331,9
17,1972,7610,9
17,1973,1320,2
17,1973,1350,1
17,1973,2140,1
17,1973,2300,3
17,1973,2730,3
17,1973,3090,4
17,1973,3160,70
17,1973,3250,2
17,1973,3310,2
17,1973,3370,2
17,1973,3490,1
17,1973,4200,2
17,1973,4470,4
17,1973,4570,3
17,1973,4691,1
17,1973,4740,2
17,1973,4750,20
17,1973,4810,1
17,1973,4930,4
17,1973,4970,2
17,1973,4980,21
17,1973,5011,61
17,1973,5080,1
17,1973,5100,23
17,1973,5520,6
17,1973,5600,1
17,1973,5620,64
17,1973,5810,19
17,1973,6120,10
17,1973,6130,1
17,1973,6170,2
17,1973,6220,2
17,1973,6882,5
17,1973,7020,22
17,1973,7150,1
17,1973,7190,6
17,1973,7610,12
17,1974,1320,3
17,1974,1410,1
17,1974,2240,6
17,1974,2300,4
17,1974,2730,4
17,1974,3160,70
17,1974,3310,2
17,1974,3370,1
17,1974,3490,1
17,1974,3600,2
17,1974,3670,2
17,1974,4130,1
17,1974,4570,4
17,1974,4660,2
17,1974,4691,2
17,1974,4740,4
17,1974,4750,10
17,1974,4930,1
17,1974,4950,2
17,1974,4980,21
17,1974,5011,75
17,1974,5100,14
17,1974,5190,12
17,1974,5400,18
17,1974,5600,4
17,1974,5620,39
17,1974,5730,5
17,1974,5810,2
17,1974,5900,1
17,1974,6050,2
17,1974,6120,8
17,1974,6130,2
17,1974,6292,1
17,1974,6520,3
17,1974,6882,8
17,1974,7020,21
17,1974,7150,3
17,1974,7190,7
17,1974,7331,2
17,1974,7510,1
17,1974,7610,7
17,1974,7680,2
17,1975,1320,3
17,1975,2300,1
17,1975,2730,3
17,1975,3090,3
17,1975,3160,62
17,1975,3310,1
17,1975,4130,1
17,1975,4180,1
17,1975,4200,4
17,1975,4470,2
17,1975,4570,5
17,1975,4740,3
17,1975,4750,13
17,1975,4930,10
17,1975,4980,11
17,1975,5011,25
17,1975,5080,1
17,1975,5100,11
17,1975,5190,4
17,1975,5400,11
17,1975,5600,2
17,1975,5620,46
17,1975,5738,26
17,1975,5810,1
17,1975,5880,2
17,1975,6120,1
17,1975,6130,5
17,1975,6140,2
17,1975,6220,1
17,1975,6520,2
17,1975,6882,7
17,1975,7020,15
17,1975,7510,1
17,1975,7610,7
17,1975,7680,1
17,1976,1410,2
17,1976,2300,4
17,1976,2730,4
17,1976,3090,2
17,1976,3160,89
17,1976,3310,3
17,1976,3370,1
17,1976,4130,3
17,1976,4470,3
17,1976,4570,3
17,1976,4740,2
17,1976,4750,39
17,1976,4930,5
17,1976,4970,1
17,1976,4980,12
17,1976,5011,37
17,1976,5100,14
17,1976,5190,6
17,1976,5400,1
17,1976,5600,2
17,1976,5620,39
17,1976,5738,4
17,1976,5810,2
17,1976,5900,12
17,1976,6120,1
17,1976,6130,8
17,1976,6170,4
17,1976,6220,4
17,1976,6520,1
17,1976,6882,11
17,1976,7020,21
17,1976,7150,1
17,1976,7190,1
17,1976,7610,9
17,1976,7680,2
17,1978,1320,4
17,1978,2300,3
17,1978,2730,4
17,1978,3160,84
17,1978,3310,2
17,1978,3600,1
17,1978,4200,1
17,1978,4470,1
17,1978,4570,5
17,1978,4740,5
17,1978,4750,8
17,1978,4930,5
17,1978,4950,2
17,1978,4970,1
17,1978,4980,14
17,1978,5011,47
17,1978,5100,14
17,1978,5190,4
17,1978,5400,3
17,1978,5600,1
17,1978,5620,42
17,1978,5738,12
17,1978,5810,2
17,1978,5900,11
17,1978,6120,1
17,1978,6130,4
17,1978,6220,1
17,1978,6520,1
17,1978,6882,4
17,1978,7020,43
17,1978,7190,1
17,1978,7331,4
17,1978,7610,7
17,1978,7680,10
17,1982,1320,1
17,1982,1400,2
17,1982,1940,1
17,1982,2300,3
17,1982,2730,12
17,1982,3160,60
17,1982,3250,1
17,1982,3310,1
17,1982,3370,4
17,1982,3490,1
17,1982,3600,2
17,1982,4130,4
17,1982,4200,1
17,1982,4470,1
17,1982,4570,5
17,1982,4740,4
17,1982,4750,43
17,1982,4920,5
17,1982,4930,28
17,1982,4950,3
17,1982,4970,3
17,1982,4980,17
17,1982,5011,71
17,1982,5100,25
17,1982,5400,6
17,1982,5540,1
17,1982,5620,82
17,1982,5738,10
17,1982,5880,2
17,1982,5900,40
17,1982,6120,9
17,1982,6130,17
17,1982,6140,1
17,1982,6220,4
17,1982,6520,2
17,1982,6882,22
17,1982,7020,20
17,1982,7150,2
17,1982,7430,5
17,1982,7610,23
17,1982,7680,9
17,1985,2300,9
17,1985,2630,1
17,1985,2730,2
17,1985,3160,48
17,1985,3370,1
17,1985,3600,1
17,1985,4130,1
17,1985,4200,5
17,1985,4620,1
17,1985,4740,3
17,1985,4750,11
17,1985,4860,1
17,1985,4950,1
17,1985,4970,4
17,1985,4980,13
17,1985,5011,72
17,1985,5080,2
17,1985,5100,24
17,1985,5110,1
17,1985,5190,11
17,1985,5330,10
17,1985,5600,6
17,1985,5620,15
17,1985,5738,21
17,1985,5900,4
17,1985,6120,50
17,1985,6130,10
17,1985,6150,2
17,1985,6520,1
17,1985,6810,2
17,1985,6850,1
17,1985,6882,1
17,1985,7020,3
17,1985,7150,2
17,1985,7610,16
17,1985,7680,1
17,1987,1320,4
17,1987,1940,1
17,1987,2210,1
17,1987,2240,2
17,1987,2300,1
17,1987,2730,6
17,1987,3090,7
17,1987,3160,30
17,1987,3250,13
17,1987,3490,1
17,1987,3600,3
17,1987,4130,2
17,1987,4200,8
17,1987,4470,5
17,1987,4570,3
17,1987,4750,5
17,1987,4880,1
17,1987,4950,12
17,1987,4970,6
17,1987,4980,37
17,1987,5011,84
17,1987,5100,26
17,1987,5110,4
17,1987,5190,1
17,1987,5400,35
17,1987,5600,8
17,1987,5620,23
17,1987,5810,16
17,1987,5900,1
17,1987,6130,8
17,1987,6170,11
17,1987,6220,3
17,1987,7020,33
17,1987,7610,38
17,1987,7680,8
17,1988,1320,2
17,1988,1940,1
17,1988,2300,6
17,1988,2730,3
17,1988,3160,33
17,1988,3250,3
17,1988,3310,1
17,1988,3370,1
17,1988,3600,1
17,1988,4130,4
17,1988,4200,3
17,1988,4570,9
17,1988,4640,1
17,1988,4750,10
17,1988,4920,3
17,1988,4980,33
17,1988,5011,88
17,1988,5100,12
17,1988,5110,4
17,1988,5190,3
17,1988,5400,17
17,1988,5520,1
17,1988,5600,20
17,1988,5620,2
17,1988,5810,38
17,1988,6130,8
17,1988,6170,14
17,1988,6220,1
17,1988,6520,5
17,1988,6882,3
17,1988,7020,22
17,1988,7610,20
17,1989,1320,3
17,1989,1350,2
17,1989,1390,1
17,1989,1940,2
17,1989,2300,1
17,1989,2730,5
17,1989,3160,21
17,1989,3250,2
17,1989,3600,2
17,1989,4130,4
17,1989,4200,6
17,1989,4570,1
17,1989,4750,17
17,1989,4920,22
17,1989,4970,1
17,1989,4980,10
17,1989,5011,155
17,1989,5100,42
17,1989,5190,5
17,1989,5400,75
17,1989,5600,11
17,1989,5810,8
17,1989,6050,1
17,1989,6130,7
17,1989,6170,7
17,1989,6520,2
17,1989,6882,2
17,1989,7020,64
17,1989,7610,22
17,1989,7680,13
17,1990,1320,2
17,1990,1720,36
17,1990,2300,4
17,1990,2630,2
17,1990,2730,5
17,1990,3160,41
17,1990,3250,6
17,1990,3370,1
17,1990,3600,2
17,1990,4130,4
17,1990,4200,4
17,1990,4470,4
17,1990,4570,2
17,1990,4740,2
17,1990,4750,23
17,1990,4930,1
17,1990,4970,3
17,1990,4980,12
17,1990,5011,134
17,1990,5100,23
17,1990,5110,5
17,1990,5400,198
17,1990,5600,19
17,1990,5620,7
17,1990,5738,1
17,1990,5810,24
17,1990,6070,1
17,1990,6120,10
17,1990,6130,24
17,1990,6520,4
17,1990,7020,132
17,1990,7610,44
17,1990,7680,15
17,1991,1720,20
17,1991,2300,6
17,1991,2730,9
17,1991,3160,76
17,1991,3250,6
17,1991,3370,1
17,1991,3490,1
17,1991,3600,1
17,1991,4130,1
17,1991,4200,6
17,1991,4470,2
17,1991,4570,2
17,1991,4750,10
17,1991,4930,3
17,1991,4970,5
17,1991,4980,20
17,1991,5011,173
17,1991,5100,18
17,1991,5110,5
17,1991,5400,149
17,1991,5520,1
17,1991,5600,13
17,1991,5810,25
17,1991,5900,2
17,1991,6070,1
17,1991,6120,31
17,1991,6130,22
17,1991,6220,1
17,1991,6520,2
17,1991,7020,118
17,1991,7331,1
17,1991,7610,32
17,1991,7680,2
17,1992,2300,6
17,1992,2730,5
17,1992,3160,28
17,1992,3420,1
17,1992,3600,2
17,1992,3900,1
17,1992,4130,1
17,1992,4200,4
17,1992,4470,5
17,1992,4540,1
17,1992,4570,7
17,1992,4620,1
17,1992,4691,2
17,1992,4740,5
17,1992,4750,14
17,1992,4810,1
17,1992,4930,32
17,1992,4950,14
17,1992,4970,38
17,1992,4980,28
17,1992,5011,61
17,1992,5080,1
17,1992,5100,22
17,1992,5190,8
17,1992,5400,54
17,1992,5520,1
17,1992,5600,5
17,1992,5620,35
17,1992,5738,10
17,1992,5810,2
17,1992,5900,20
17,1992,6120,12
17,1992,6130,5
17,1992,6520,5
17,1992,6810,2
17,1992,6882,9
17,1992,7020,72
17,1992,7150,1
17,1992,7190,9
17,1992,7210,2
17,1992,7250,1
17,1992,7510,1
17,1992,7610,32
17,1992,7680,15
17,1993,1320,1
17,1993,1390,2
17,1993,2300,8
17,1993,2630,1
17,1993,2730,12
17,1993,3090,2
17,1993,3160,32
17,1993,3490,1
17,1993,4130,1
17,1993,4200,5
17,1993,4470,2
17,1993,4540,2
17,1993,4570,7
17,1993,4740,7
17,1993,4750,8
17,1993,4810,1
17,1993,4930,16
17,1993,4950,19
17,1993,4970,2
17,1993,4980,18
17,1993,5011,57
17,1993,5080,3
17,1993,5100,19
17,1993,5110,4
17,1993,5190,11
17,1993,5400,27
17,1993,5600,2
17,1993,5620,53
17,1993,5738,20
17,1993,5900,32
17,1993,6120,21
17,1993,6130,14
17,1993,6220,2
17,1993,6520,5
17,1993,6810,3
17,1993,6882,15
17,1993,7020,52
17,1993,7150,7
17,1993,7190,15
17,1993,7510,4
17,1993,7610,23
17,1993,7680,14
17,1994,1320,5
17,1994,2300,7
17,1994,2730,9
17,1994,3090,1
17,1994,3160,38
17,1994,3250,4
17,1994,3310,1
17,1994,3370,1
17,1994,3490,1
17,1994,3600,2
17,1994,4130,1
17,1994,4200,2
17,1994,4470,4
17,1994,4540,6
17,1994,4570,6
17,1994,4691,1
17,1994,4740,9
17,1994,4750,19
17,1994,4930,36
17,1994,4950,3
17,1994,4970,8
17,1994,4980,23
17,1994,5011,52
17,1994,5080,2
17,1994,5100,14
17,1994,5110,5
17,1994,5190,21
17,1994,5400,61
17,1994,5520,1
17,1994,5600,5
17,1994,5620,36
17,1994,5738,23
17,1994,5900,20
17,1994,6120,11
17,1994,6130,12
17,1994,6160,6
17,1994,6520,4
17,1994,6810,2
17,1994,6882,6
17,1994,7020,54
17,1994,7150,4
17,1994,7190,13
17,1994,7210,1
17,1994,7250,2
17,1994,7510,5
17,1994,7610,16
17,1994,7680,21
17,1995,2140,1
17,1995,2300,1
17,1995,2630,2
17,1995,2730,18
17,1995,3160,30
17,1995,3490,1
17,1995,3600,2
17,1995,4130,2
17,1995,4200,4
17,1995,4470,4
17,1995,4540,3
17,1995,4570,8
17,1995,4691,4
17,1995,4740,13
17,1995,4750,7
17,1995,4810,1
17,1995,4860,1
17,1995,4930,13
17,1995,4950,19
17,1995,4970,1
17,1995,4980,14
17,1995,5011,87
17,1995,5080,3
17,1995,5100,36
17,1995,5110,3
17,1995,5190,11
17,1995,5290,1
17,1995,5400,51
17,1995,5600,6
17,1995,5620,61
17,1995,5690,1
17,1995,5738,20
17,1995,5810,2
17,1995,5900,24
17,1995,5970,1
17,1995,5990,1
17,1995,6050,4
17,1995,6120,10
17,1995,6130,8
17,1995,6220,1
17,1995,6292,1
17,1995,6520,6
17,1995,6810,3
17,1995,6882,12
17,1995,7020,48
17,1995,7150,1
17,1995,7190,17
17,1995,7210,1
17,1995,7250,1
17,1995,7510,5
17,1995,7610,32
17,1995,7680,16
17,1996,1320,3
17,1996,1720,1
17,1996,2300,9
17,1996,2730,3
17,1996,3160,45
17,1996,3250,7
17,1996,3480,1
17,1996,3600,1
17,1996,4130,2
17,1996,4200,5
17,1996,4470,2
17,1996,4570,4
17,1996,4620,1
17,1996,4691,5
17,1996,4740,2
17,1996,4750,11
17,1996,4930,4
17,1996,4950,6
17,1996,4970,1
17,1996,4980,19
17,1996,5011,55
17,1996,5080,1
17,1996,5100,3
17,1996,5110,4
17,1996,5190,5
17,1996,5290,1
17,1996,5400,32
17,1996,5420,2
17,1996,5520,8
17,1996,5600,8
17,1996,5620,25
17,1996,5738,11
17,1996,5880,1
17,1996,5900,3
17,1996,6130,1
17,1996,6220,2
17,1996,6882,30
17,1996,7020,18
17,1996,7190,13
17,1996,7510,5
17,1996,7610,16
17,1996,7680,4
17,1997,1320,3
17,1997,2300,5
17,1997,2730,9
17,1997,3160,56
17,1997,3250,3
17,1997,3490,3
17,1997,3600,2
17,1997,4130,3
17,1997,4200,2
17,1997,4470,4
17,1997,4570,3
17,1997,4620,3
17,1997,4691,2
17,1997,4740,5
17,1997,4750,4
17,1997,4930,9
17,1997,4950,21
17,1997,4980,9
17,1997,5011,130
17,1997,5080,2
17,1997,5100,38
17,1997,5110,1
17,1997,5190,26
17,1997,5400,46
17,1997,5420,1
17,1997,5520,4
17,1997,5600,8
17,1997,5620,65
17,1997,5738,19
17,1997,5810,2
17,1997,5900,24
17,1997,6120,2
17,1997,6130,11
17,1997,6170,2
17,1997,6220,3
17,1997,6520,2
17,1997,6810,2
17,1997,6882,20
17,1997,7020,36
17,1997,7190,8
17,1997,7510,4
17,1997,7610,11
17,1997,7680,3
17,1998,1320,1
17,1998,2300,7
17,1998,2730,7
17,1998,3160,43
17,1998,3250,1
17,1998,3420,1
17,1998,3600,1
17,1998,4130,2
17,1998,4200,1
17,1998,4470,9
17,1998,4540,2
17,1998,4570,3
17,1998,4691,3
17,1998,4740,10
17,1998,4750,6
17,1998,4860,1
17,1998,4930,15
17,1998,4950,26
17,1998,4980,9
17,1998,5011,91
17,1998,5080,1
17,1998,5100,52
17,1998,5290,3
17,1998,5400,42
17,1998,5600,4
17,1998,5620,58
17,1998,5738,14
17,1998,5900,12
17,1998,6130,11
17,1998,6140,3
17,1998,6150,2
17,1998,6160,7
17,1998,6220,2
17,1998,6292,2
17,1998,6520,4
17,1998,6882,10
17,1998,7020,26
17,1998,7150,1
17,1998,7190,17
17,1998,7610,15
17,1998,7680,7
17,1999,1350,2
17,1999,1940,1
17,1999,2140,2
17,1999,2300,8
17,1999,2730,4
17,1999,3160,32
17,1999,3250,1
17,1999,3420,1
17,1999,3490,2
17,1999,3600,3
17,1999,4130,1
17,1999,4470,5
17,1999,4570,1
17,1999,4620,1
17,1999,4691,1
17,1999,4740,9
17,1999,4750,4
17,1999,4860,1
17,1999,4930,124
17,1999,4950,12
17,1999,4970,1
17,1999,4980,11
17,1999,5011,72
17,1999,5080,1
17,1999,5100,25
17,1999,5110,10
17,1999,5400,5
17,1999,5520,2
17,1999,5600,2
17,1999,5620,47
17,1999,5738,9
17,1999,5900,13
17,1999,6050,1
17,1999,6070,2
17,1999,6120,13
17,1999,6130,6
17,1999,6140,4
17,1999,6170,2
17,1999,6220,2
17,1999,6520,4
17,1999,6882,5
17,1999,7020,18
17,1999,7510,1
17,1999,7610,29
17,1999,7680,7
17,2000,1290,1
17,2000,1320,1
17,2000,1940,1
17,2000,2730,1
17,2000,3090,4
17,2000,3160,17
17,2000,3250,10
17,2000,3310,1
17,2000,3370,1
17,2000,3420,1
17,2000,3600,1
17,2000,4200,1
17,2000,4470,2
17,2000,4570,1
17,2000,4620,1
17,2000,4691,1
17,2000,4740,5
17,2000,4750,6
17,2000,4930,18
17,2000,4950,11
17,2000,4970,2
17,2000,4980,6
17,2000,5011,48
17,2000,5080,1
17,2000,5100,9
17,2000,5400,21
17,2000,5600,1
17,2000,5620,36
17,2000,5738,5
17,2000,5900,9
17,2000,6120,26
17,2000,6130,11
17,2000,6220,2
17,2000,6882,3
17,2000,7020,23
17,2000,7331,4
17,2000,7610,12
17,2000,7680,2
17,2002,2140,1
17,2002,2300,9
17,2002,2730,2
17,2002,3090,9
17,2002,3160,86
17,2002,4130,2
17,2002,4180,3
17,2002,4200,18
17,2002,4470,4
17,2002,4540,1
17,2002,4570,6
17,2002,4691,3
17,2002,4740,12
17,2002,4750,2
17,2002,4810,1
17,2002,4930,102
17,2002,4950,23
17,2002,4970,3
17,2002,4980,20
17,2002,5011,91
17,2002,5080,2
17,2002,5100,18
17,2002,5190,2
17,2002,5400,29
17,2002,5520,11
17,2002,5600,1
17,2002,5620,63
17,2002,5738,9
17,2002,5900,3
17,2002,6120,27
17,2002,6130,1
17,2002,6170,1
17,2002,6520,1
17,2002,6882,55
17,2002,7020,60
17,2002,7150,1
17,2002,7331,14
17,2002,7350,1
17,2002,7510,6
