statenum,Year,Aou,SpeciesTotal
18,1973,470,2
18,1973,510,35
18,1973,540,5
18,1973,700,2
18,1973,1320,1
18,1973,1440,1
18,1973,1940,1
18,1973,2010,1
18,1973,2890,45
18,1973,3131,10
18,1973,3160,29
18,1973,3250,6
18,1973,3600,4
18,1973,3870,9
18,1973,3880,1
18,1973,3930,2
18,1973,4120,12
18,1973,4230,17
18,1973,4440,6
18,1973,4520,2
18,1973,4560,4
18,1973,4610,7
18,1973,4670,1
18,1973,4770,29
18,1973,4880,47
18,1973,4930,58
18,1973,4950,19
18,1973,4980,33
18,1973,5010,9
18,1973,5070,28
18,1973,5110,47
18,1973,5290,1
18,1973,5600,12
18,1973,5630,15
18,1973,5810,16
18,1973,5870,17
18,1973,5930,11
18,1973,5950,1
18,1973,5980,6
18,1973,6080,1
18,1973,6130,10
18,1973,6140,3
18,1973,6160,1
18,1973,6190,2
18,1973,6240,10
18,1973,6310,1
18,1973,6360,7
18,1973,6410,12
18,1973,6520,7
18,1973,6590,2
18,1973,6730,6
18,1973,6740,7
18,1973,6810,7
18,1973,6830,1
18,1973,6870,4
18,1973,6882,34
18,1973,7030,5
18,1973,7040,18
18,1973,7050,1
18,1973,7210,15
18,1973,7270,2
18,1973,7310,2
18,1973,7350,7
18,1973,7550,10
18,1973,7560,7
18,1973,7610,39
18,1973,7660,3
18,1974,510,33
18,1974,2010,1
18,1974,2890,33
18,1974,3131,14
18,1974,3160,37
18,1974,3600,2
18,1974,3870,3
18,1974,3900,1
18,1974,3930,2
18,1974,3940,2
18,1974,4120,9
18,1974,4230,20
18,1974,4440,4
18,1974,4520,4
18,1974,4560,5
18,1974,4610,1
18,1974,4770,23
18,1974,4880,70
18,1974,4930,67
18,1974,4950,7
18,1974,4980,52
18,1974,5010,2
18,1974,5070,27
18,1974,5110,41
18,1974,5170,1
18,1974,5190,1
18,1974,5290,6
18,1974,5600,25
18,1974,5630,11
18,1974,5810,37
18,1974,5870,15
18,1974,5930,22
18,1974,5980,3
18,1974,6080,4
18,1974,6130,12
18,1974,6140,3
18,1974,6240,20
18,1974,6280,1
18,1974,6310,1
18,1974,6360,2
18,1974,6410,13
18,1974,6520,1
18,1974,6590,6
18,1974,6730,5
18,1974,6740,5
18,1974,6810,26
18,1974,6882,47
18,1974,7030,8
18,1974,7040,27
18,1974,7050,7
18,1974,7180,1
18,1974,7210,16
18,1974,7270,1
18,1974,7310,10
18,1974,7350,11
18,1974,7550,12
18,1974,7560,5
18,1974,7610,43
18,1974,7660,4
18,1975,470,2
18,1975,510,54
18,1975,540,1
18,1975,1440,3
18,1975,2010,2
18,1975,2730,6
18,1975,2890,20
18,1975,3131,3
18,1975,3160,34
18,1975,3430,3
18,1975,3600,1
18,1975,3870,2
18,1975,3930,1
18,1975,3940,1
18,1975,4120,12
18,1975,4230,18
18,1975,4440,7
18,1975,4520,5
18,1975,4560,13
18,1975,4610,2
18,1975,4770,27
18,1975,4880,50
18,1975,4930,85
18,1975,4950,17
18,1975,4980,57
18,1975,5010,13
18,1975,5070,20
18,1975,5110,32
18,1975,5170,1
18,1975,5190,2
18,1975,5290,5
18,1975,5600,12
18,1975,5630,15
18,1975,5810,28
18,1975,5870,13
18,1975,5930,20
18,1975,5950,2
18,1975,5980,2
18,1975,6080,2
18,1975,6130,16
18,1975,6140,2
18,1975,6190,2
18,1975,6240,14
18,1975,6310,4
18,1975,6360,2
18,1975,6410,13
18,1975,6520,7
18,1975,6590,6
18,1975,6730,12
18,1975,6740,11
18,1975,6810,24
18,1975,6882,37
18,1975,7030,8
18,1975,7040,25
18,1975,7050,6
18,1975,7180,2
18,1975,7210,5
18,1975,7270,3
18,1975,7310,13
18,1975,7350,10
18,1975,7550,15
18,1975,7560,2
18,1975,7610,27
18,1975,7660,3
18,1976,470,1
18,1976,510,40
18,1976,1320,5
18,1976,2730,1
18,1976,2890,19
18,1976,3131,2
18,1976,3160,33
18,1976,3370,2
18,1976,3390,1
18,1976,3430,1
18,1976,3600,2
18,1976,3940,4
18,1976,4120,5
18,1976,4230,10
18,1976,4440,4
18,1976,4520,8
18,1976,4560,7
18,1976,4610,5
18,1976,4670,2
18,1976,4770,23
18,1976,4880,54
18,1976,4930,89
18,1976,4950,10
18,1976,4980,33
18,1976,5010,7
18,1976,5070,15
18,1976,5110,22
18,1976,5170,1
18,1976,5290,7
18,1976,5600,4
18,1976,5630,9
18,1976,5810,23
18,1976,5870,10
18,1976,5930,22
18,1976,5980,4
18,1976,6080,3
18,1976,6130,8
18,1976,6140,1
18,1976,6240,13
18,1976,6280,4
18,1976,6310,1
18,1976,6360,3
18,1976,6410,6
18,1976,6520,9
18,1976,6590,2
18,1976,6730,8
18,1976,6740,7
18,1976,6810,17
18,1976,6830,1
18,1976,6870,3
18,1976,6882,19
18,1976,7030,21
18,1976,7040,27
18,1976,7050,3
18,1976,7180,2
18,1976,7210,19
18,1976,7260,1
18,1976,7270,1
18,1976,7310,6
18,1976,7350,9
18,1976,7550,9
18,1976,7560,7
18,1976,7610,24
18,1976,7660,2
18,1977,510,48
18,1977,1320,7
18,1977,1782,2
18,1977,2730,3
18,1977,2890,19
18,1977,3160,65
18,1977,3600,1
18,1977,3930,1
18,1977,3940,3
18,1977,4120,8
18,1977,4230,16
18,1977,4440,11
18,1977,4520,1
18,1977,4560,4
18,1977,4610,4
18,1977,4670,4
18,1977,4770,12
18,1977,4880,46
18,1977,4930,136
18,1977,4950,6
18,1977,4980,35
