statenum,Year,Aou,SpeciesTotal
21,1966,2010,1
21,1966,2890,42
21,1966,3091,2
21,1966,3131,12
21,1966,3160,3
21,1966,3250,5
21,1966,3600,2
21,1966,3870,5
21,1966,4090,11
21,1966,4120,4
21,1966,4230,2
21,1966,4280,1
21,1966,4440,6
21,1966,4520,5
21,1966,4610,5
21,1966,4650,2
21,1966,4740,3
21,1966,4770,5
21,1966,4880,26
21,1966,4930,90
21,1966,4950,1
21,1966,4980,81
21,1966,5010,21
21,1966,5060,1
21,1966,5070,3
21,1966,5110,195
21,1966,5290,5
21,1966,5460,3
21,1966,5600,17
21,1966,5630,16
21,1966,5810,7
21,1966,5870,13
21,1966,5930,18
21,1966,5970,1
21,1966,5980,15
21,1966,6080,1
21,1966,6110,1
21,1966,6130,14
21,1966,6240,5
21,1966,6310,5
21,1966,6360,2
21,1966,6520,4
21,1966,6710,1
21,1966,6730,1
21,1966,6740,1
21,1966,6760,1
21,1966,6770,2
21,1966,6810,8
21,1966,6830,5
21,1966,6882,101
21,1966,7030,30
21,1966,7040,10
21,1966,7050,5
21,1966,7180,1
21,1966,7210,1
21,1966,7310,6
21,1966,7360,1
21,1966,7550,4
21,1966,7610,18
21,1967,540,1
21,1967,580,17
21,1967,1940,1
21,1967,2010,1
21,1967,2730,2
21,1967,2890,47
21,1967,3131,7
21,1967,3160,12
21,1967,3250,4
21,1967,3600,1
21,1967,3880,2
21,1967,3940,3
21,1967,4090,9
21,1967,4120,3
21,1967,4230,25
21,1967,4440,7
21,1967,4520,5
21,1967,4610,7
21,1967,4650,1
21,1967,4740,13
21,1967,4770,7
21,1967,4880,15
21,1967,4930,127
21,1967,4950,3
21,1967,4980,73
21,1967,5010,18
21,1967,5060,1
21,1967,5070,8
21,1967,5110,233
21,1967,5290,5
21,1967,5460,5
21,1967,5600,11
21,1967,5630,11
21,1967,5810,3
21,1967,5870,7
21,1967,5930,20
21,1967,5970,1
21,1967,5980,13
21,1967,6080,2
21,1967,6110,7
21,1967,6130,6
21,1967,6240,10
21,1967,6280,1
21,1967,6310,3
21,1967,6360,1
21,1967,6770,2
21,1967,6810,9
21,1967,6830,5
21,1967,6882,95
21,1967,7030,33
21,1967,7040,1
21,1967,7050,3
21,1967,7180,2
21,1967,7310,5
21,1967,7360,2
21,1967,7550,8
21,1967,7610,22
21,1968,1330,1
21,1968,1440,2
21,1968,1720,2
21,1968,1940,1
21,1968,2001,9
21,1968,2010,2
21,1968,2890,52
21,1968,3091,1
21,1968,3131,11
21,1968,3160,21
21,1968,3250,15
21,1968,3370,1
21,1968,3600,3
21,1968,3750,1
21,1968,3870,1
21,1968,3940,2
21,1968,4090,8
21,1968,4120,6
21,1968,4230,35
21,1968,4280,2
21,1968,4440,6
21,1968,4520,11
21,1968,4560,1
21,1968,4610,12
21,1968,4650,1
21,1968,4740,12
21,1968,4770,9
21,1968,4880,17
21,1968,4930,102
21,1968,4980,80
21,1968,5010,27
21,1968,5060,1
21,1968,5070,3
21,1968,5110,216
21,1968,5290,10
21,1968,5460,11
21,1968,5600,21
21,1968,5630,12
21,1968,5810,5
21,1968,5870,20
21,1968,5930,28
21,1968,5970,1
21,1968,5980,12
21,1968,6110,1
21,1968,6130,11
21,1968,6240,5
21,1968,6280,1
21,1968,6310,1
21,1968,6370,1
21,1968,6520,1
21,1968,6730,2
21,1968,6760,3
21,1968,6770,3
21,1968,6810,7
21,1968,6830,2
21,1968,6870,1
21,1968,6882,91
21,1968,7030,39
21,1968,7040,2
21,1968,7050,3
21,1968,7180,4
21,1968,7310,5
21,1968,7550,8
21,1968,7610,37
21,1969,540,3
21,1969,580,3
21,1969,1320,1
21,1969,1440,1
21,1969,1720,9
21,1969,2001,6
21,1969,2730,2
21,1969,2890,37
21,1969,3091,5
21,1969,3131,4
21,1969,3160,21
21,1969,3250,13
21,1969,4090,7
21,1969,4120,1
21,1969,4230,21
21,1969,4280,1
21,1969,4440,3
21,1969,4520,2
21,1969,4560,2
21,1969,4610,1
21,1969,4740,6
21,1969,4770,17
21,1969,4880,18
21,1969,4930,74
21,1969,4950,1
21,1969,4980,30
21,1969,5010,21
21,1969,5060,1
21,1969,5070,2
21,1969,5110,241
21,1969,5290,12
21,1969,5400,2
21,1969,5460,4
21,1969,5600,10
21,1969,5630,12
21,1969,5810,3
21,1969,5870,4
21,1969,5930,16
21,1969,5970,1
21,1969,5980,15
21,1969,6080,1
21,1969,6130,15
21,1969,6240,7
21,1969,6310,3
21,1969,6520,2
21,1969,6740,1
21,1969,6760,1
21,1969,6810,5
21,1969,6830,3
21,1969,6870,6
21,1969,6882,67
21,1969,7030,29
21,1969,7040,3
21,1969,7050,3
21,1969,7180,3
21,1969,7310,2
21,1969,7360,1
21,1969,7550,3
21,1969,7610,27
21,1969,7660,1
21,1970,1440,2
21,1970,1720,1
21,1970,2001,13
21,1970,2730,3
21,1970,2890,53
21,1970,3091,6
21,1970,3131,7
21,1970,3160,20
21,1970,3600,2
21,1970,3880,1
21,1970,3940,1
21,1970,4090,11
21,1970,4120,4
21,1970,4230,14
21,1970,4520,2
21,1970,4560,1
21,1970,4610,6
21,1970,4650,4
21,1970,4740,12
21,1970,4770,7
21,1970,4880,6
21,1970,4900,1
21,1970,4930,57
21,1970,4950,1
21,1970,4980,45
21,1970,5010,17
21,1970,5060,2
21,1970,5070,4
21,1970,5110,188
21,1970,5290,10
21,1970,5460,8
21,1970,5600,17
21,1970,5630,15
21,1970,5810,8
21,1970,5870,19
21,1970,5930,17
21,1970,5970,3
21,1970,5980,25
21,1970,6080,2
21,1970,6110,3
21,1970,6130,14
21,1970,6240,2
21,1970,6270,3
21,1970,6310,4
21,1970,6520,2
21,1970,6770,1
21,1970,6810,10
21,1970,6830,2
21,1970,6870,1
21,1970,6882,52
21,1970,7030,32
21,1970,7040,1
21,1970,7050,3
21,1970,7180,2
21,1970,7210,1
21,1970,7310,3
21,1970,7360,1
21,1970,7510,1
21,1970,7550,11
21,1970,7610,25
21,1971,540,1
21,1971,1320,1
21,1971,1720,3
21,1971,1940,1
21,1971,2001,3
21,1971,2010,1
21,1971,2730,2
21,1971,2890,39
21,1971,3091,6
21,1971,3131,4
21,1971,3160,14
21,1971,3250,6
21,1971,3260,2
21,1971,3320,1
21,1971,3870,2
21,1971,3940,1
21,1971,4090,4
21,1971,4120,2
21,1971,4230,26
21,1971,4440,6
21,1971,4520,3
21,1971,4560,3
21,1971,4610,3
21,1971,4740,8
21,1971,4770,5
21,1971,4880,17
21,1971,4900,5
21,1971,4930,61
21,1971,4950,8
21,1971,4980,43
21,1971,5010,16
21,1971,5060,1
21,1971,5070,3
21,1971,5110,116
21,1971,5290,9
21,1971,5400,1
21,1971,5460,2
21,1971,5600,11
21,1971,5630,14
21,1971,5810,7
21,1971,5870,21
21,1971,5930,18
21,1971,5970,4
21,1971,5980,14
21,1971,6080,1
21,1971,6110,1
21,1971,6130,14
21,1971,6140,1
21,1971,6190,30
21,1971,6240,7
21,1971,6310,2
