statenum,Year,Aou,SpeciesTotal
25,1967,1840,36
25,1967,2000,3
25,1967,2010,1
25,1967,2890,60
25,1967,3100,1
25,1967,3131,1
25,1967,3160,7
25,1967,3390,1
25,1967,3430,1
25,1967,3870,1
25,1967,3900,1
25,1967,3940,1
25,1967,4060,3
25,1967,4090,20
25,1967,4120,5
25,1967,4160,4
25,1967,4200,4
25,1967,4230,22
25,1967,4280,2
25,1967,4440,17
25,1967,4520,13
25,1967,4770,41
25,1967,4880,23
25,1967,4900,27
25,1967,4950,1
25,1967,4980,3
25,1967,5010,18
25,1967,5060,19
25,1967,5110,19
25,1967,5600,1
25,1967,5750,7
25,1967,5870,16
25,1967,5930,36
25,1967,5980,6
25,1967,6100,4
25,1967,6110,3
25,1967,6220,1
25,1967,6240,1
25,1967,6310,13
25,1967,6370,4
25,1967,6480,4
25,1967,6710,1
25,1967,6810,5
25,1967,6840,1
25,1967,6882,11
25,1967,7030,39
25,1967,7050,14
25,1967,7180,11
25,1967,7290,3
25,1967,7310,7
25,1967,7360,2
25,1967,7510,5
25,1967,7550,7
25,1967,7660,3
25,1969,2000,1
25,1969,2001,9
25,1969,2010,3
25,1969,2890,66
25,1969,3160,7
25,1969,3250,1
25,1969,3260,1
25,1969,3680,2
25,1969,3870,17
25,1969,3930,2
25,1969,3940,1
25,1969,4060,3
25,1969,4090,23
25,1969,4120,6
25,1969,4160,5
25,1969,4200,4
25,1969,4230,22
25,1969,4440,4
25,1969,4520,8
25,1969,4650,1
25,1969,4770,43
25,1969,4880,34
25,1969,4900,15
25,1969,4930,4
25,1969,4950,4
25,1969,4980,6
25,1969,5010,13
25,1969,5060,18
25,1969,5110,17
25,1969,5750,3
25,1969,5870,9
25,1969,5930,31
25,1969,5980,7
25,1969,6100,6
25,1969,6110,11
25,1969,6220,1
25,1969,6240,3
25,1969,6310,11
25,1969,6370,4
25,1969,6480,2
25,1969,6710,7
25,1969,6810,1
25,1969,6830,4
25,1969,6882,7
25,1969,7030,48
25,1969,7050,9
25,1969,7180,10
25,1969,7290,6
25,1969,7310,9
25,1969,7360,3
25,1969,7510,5
25,1969,7550,4
25,1970,2000,3
25,1970,2001,4
25,1970,2010,1
25,1970,2890,47
25,1970,3160,4
25,1970,3260,1
25,1970,3390,1
25,1970,3870,4
25,1970,3940,1
25,1970,4060,3
25,1970,4090,16
25,1970,4160,5
25,1970,4200,3
25,1970,4230,23
25,1970,4440,5
25,1970,4520,14
25,1970,4610,1
25,1970,4770,14
25,1970,4880,24
25,1970,4900,12
25,1970,4930,3
25,1970,4950,1
25,1970,4980,3
25,1970,5010,7
25,1970,5060,17
25,1970,5110,31
25,1970,5750,3
25,1970,5870,17
25,1970,5930,35
25,1970,5980,5
25,1970,6100,3
25,1970,6110,17
25,1970,6220,4
25,1970,6310,3
25,1970,6710,5
25,1970,6830,2
25,1970,6882,14
25,1970,7030,38
25,1970,7050,8
25,1970,7180,10
25,1970,7290,1
25,1970,7310,11
25,1970,7510,1
25,1970,7550,5
25,1970,7660,2
25,1971,1840,200
25,1971,2001,8
25,1971,2010,3
25,1971,2890,55
25,1971,3160,6
25,1971,3430,1
25,1971,3870,6
25,1971,3900,2
25,1971,3940,1
25,1971,4060,4
25,1971,4090,13
25,1971,4160,3
25,1971,4200,5
25,1971,4230,27
25,1971,4280,1
25,1971,4440,13
25,1971,4520,9
25,1971,4770,44
25,1971,4880,39
25,1971,4900,3
25,1971,4930,6
25,1971,4950,2
25,1971,4980,2
25,1971,5010,10
25,1971,5060,12
25,1971,5110,21
25,1971,5750,2
25,1971,5870,10
25,1971,5930,24
25,1971,5970,1
25,1971,5980,9
25,1971,6100,5
25,1971,6110,17
25,1971,6170,5
25,1971,6220,9
25,1971,6240,3
25,1971,6310,9
25,1971,6370,4
25,1971,6480,1
25,1971,6710,7
25,1971,6810,1
25,1971,6830,1
25,1971,6840,1
25,1971,6882,18
25,1971,7030,67
25,1971,7050,4
25,1971,7180,5
25,1971,7290,1
25,1971,7310,5
25,1971,7360,1
25,1971,7550,1
25,1971,7660,4
25,1972,2000,5
25,1972,2001,13
25,1972,2890,60
25,1972,3131,3
25,1972,3160,21
25,1972,3260,3
25,1972,3290,1
25,1972,3870,16
25,1972,3940,3
25,1972,4050,1
25,1972,4060,7
25,1972,4090,20
25,1972,4120,7
25,1972,4160,2
25,1972,4230,30
25,1972,4280,1
25,1972,4440,13
25,1972,4520,10
25,1972,4770,36
25,1972,4880,21
25,1972,4900,9
25,1972,4930,20
25,1972,4950,1
25,1972,4980,10
25,1972,5010,12
25,1972,5060,19
25,1972,5110,35
25,1972,5750,4
25,1972,5870,25
25,1972,5930,29
25,1972,5970,8
25,1972,5980,8
25,1972,6100,5
25,1972,6110,40
25,1972,6170,2
25,1972,6220,10
25,1972,6240,1
25,1972,6310,12
25,1972,6370,2
25,1972,6710,18
25,1972,6730,1
25,1972,6770,1
25,1972,6830,9
25,1972,6882,23
25,1972,7030,60
25,1972,7050,12
25,1972,7180,6
25,1972,7290,8
25,1972,7310,8
25,1972,7360,7
25,1972,7510,5
25,1972,7550,2
25,1973,2001,4
25,1973,2010,1
25,1973,2890,48
25,1973,3131,6
25,1973,3160,5
25,1973,3430,1
25,1973,3870,17
25,1973,3940,2
25,1973,4050,1
25,1973,4060,3
25,1973,4090,20
25,1973,4120,4
25,1973,4160,4
25,1973,4200,1
25,1973,4230,15
25,1973,4440,4
25,1973,4520,5
25,1973,4770,28
25,1973,4880,6
25,1973,4900,13
25,1973,4930,6
25,1973,4950,3
25,1973,4980,2
25,1973,5010,7
25,1973,5060,16
25,1973,5110,15
25,1973,5750,2
25,1973,5870,9
25,1973,5930,32
25,1973,5970,2
25,1973,5980,8
25,1973,6100,2
25,1973,6110,21
25,1973,6170,11
25,1973,6220,9
25,1973,6240,1
25,1973,6310,13
25,1973,6480,1
25,1973,6710,6
25,1973,6810,2
25,1973,6830,5
25,1973,6840,1
25,1973,6882,7
25,1973,7030,40
25,1973,7050,6
25,1973,7180,9
25,1973,7290,5
25,1973,7310,12
25,1973,7510,2
25,1973,7550,4
25,1973,7660,2
25,1974,2000,2
25,1974,2001,13
25,1974,2010,2
25,1974,2890,41
25,1974,3131,20
25,1974,3160,14
25,1974,3260,1
25,1974,3390,1
25,1974,3870,9
25,1974,3940,1
25,1974,4060,4
25,1974,4090,24
25,1974,4120,1
25,1974,4160,1
25,1974,4200,1
25,1974,4230,23
25,1974,4280,1
25,1974,4440,4
25,1974,4520,5
25,1974,4770,39
25,1974,4880,16
25,1974,4900,7
25,1974,4930,14
25,1974,4980,9
25,1974,5010,7
25,1974,5060,20
25,1974,5110,24
25,1974,5750,2
25,1974,5870,17
25,1974,5930,41
25,1974,5970,2
25,1974,5980,4
25,1974,6100,5
25,1974,6110,25
25,1974,6170,1
25,1974,6220,11
25,1974,6240,1
25,1974,6310,18
25,1974,6370,4
25,1974,6630,1
25,1974,6710,5
25,1974,6770,1
25,1974,6810,1
25,1974,6830,4
25,1974,6882,10
25,1974,7030,52
25,1974,7050,9
25,1974,7180,8
25,1974,7290,5
25,1974,7310,2
25,1974,7360,1
25,1974,7550,8
25,1975,2000,1
25,1975,2001,11
25,1975,2010,1
25,1975,2890,78
25,1975,3131,2
25,1975,3160,11
25,1975,3260,3
25,1975,3290,1
