statenum,Year,Aou,SpeciesTotal
34,1967,3131,8
34,1967,3160,16
34,1967,3370,3
34,1967,3870,1
34,1967,3900,2
34,1967,4060,2
34,1967,4090,1
34,1967,4120,11
34,1967,4230,3
34,1967,4440,9
34,1967,4740,8
34,1967,4770,19
34,1967,4880,16
34,1967,4930,43
34,1967,4950,2
34,1967,4980,167
34,1967,5010,5
34,1967,5011,14
34,1967,5070,1
34,1967,5110,1
34,1967,5290,7
34,1967,5400,3
34,1967,5420,1
34,1967,5630,33
34,1967,5810,16
34,1967,5870,8
34,1967,5930,7
34,1967,5950,2
34,1967,5980,2
34,1967,6040,24
34,1967,6110,1
34,1967,6130,10
34,1967,6140,4
34,1967,6160,6
34,1967,6240,1
34,1967,6270,1
34,1967,6810,3
34,1967,6882,135
34,1967,7040,7
34,1967,7050,8
34,1967,7610,15
34,1968,1320,1
34,1968,2010,1
34,1968,2730,6
34,1968,2890,5
34,1968,3091,1
34,1968,3131,14
34,1968,3160,6
34,1968,3370,3
34,1968,3900,3
34,1968,4060,4
34,1968,4090,1
34,1968,4120,3
34,1968,4230,8
34,1968,4440,3
34,1968,4560,2
34,1968,4740,6
34,1968,4770,6
34,1968,4880,13
34,1968,4930,27
34,1968,4940,16
34,1968,4950,4
34,1968,4980,251
34,1968,5010,11
34,1968,5011,52
34,1968,5070,4
34,1968,5110,22
34,1968,5290,16
34,1968,5400,4
34,1968,5460,1
34,1968,5630,30
34,1968,5810,19
34,1968,5930,3
34,1968,5950,1
34,1968,6040,19
34,1968,6110,2
34,1968,6130,6
34,1968,6140,9
34,1968,6810,9
34,1968,6882,185
34,1968,7040,1
34,1968,7050,6
34,1968,7210,2
34,1968,7310,1
34,1968,7610,19
34,1968,7660,3
34,1969,1940,2
34,1969,2730,1
34,1969,2890,5
34,1969,3091,2
34,1969,3131,31
34,1969,3160,18
34,1969,3370,1
34,1969,3870,1
34,1969,3900,2
34,1969,3930,1
34,1969,3940,2
34,1969,4060,23
34,1969,4090,1
34,1969,4120,6
34,1969,4230,3
34,1969,4520,1
34,1969,4740,7
34,1969,4770,16
34,1969,4880,30
34,1969,4930,11
34,1969,4950,2
34,1969,4980,155
34,1969,5011,12
34,1969,5070,4
34,1969,5110,3
34,1969,5290,9
34,1969,5400,1
34,1969,5420,10
34,1969,5460,3
34,1969,5470,2
34,1969,5600,1
34,1969,5630,29
34,1969,5810,25
34,1969,5930,10
34,1969,5980,7
34,1969,6040,1
34,1969,6080,1
34,1969,6110,2
34,1969,6130,15
34,1969,6140,3
34,1969,6280,1
34,1969,6810,5
34,1969,6882,59
34,1969,7040,5
34,1969,7050,10
34,1969,7210,11
34,1969,7310,2
34,1969,7610,13
34,1969,7660,4
34,1973,2730,2
34,1973,2890,21
34,1973,3091,7
34,1973,3131,31
34,1973,3160,14
34,1973,3370,1
34,1973,3880,2
34,1973,3900,1
34,1973,3930,3
34,1973,3940,3
34,1973,4060,17
34,1973,4120,4
34,1973,4230,6
34,1973,4440,5
34,1973,4520,4
34,1973,4660,1
34,1973,4740,10
34,1973,4770,16
34,1973,4880,8
34,1973,4930,77
34,1973,4940,3
34,1973,4950,25
34,1973,4980,510
34,1973,5010,106
34,1973,5070,5
34,1973,5110,12
