statenum,Year,Aou,SpeciesTotal
38,1967,1940,1
38,1967,2010,3
38,1967,2730,3
38,1967,2890,60
38,1967,3160,51
38,1967,3370,2
38,1967,3680,1
38,1967,3870,21
38,1967,4060,3
38,1967,4090,1
38,1967,4230,5
38,1967,4430,10
38,1967,4440,12
38,1967,4520,4
38,1967,4560,2
38,1967,4610,2
38,1967,4740,3
38,1967,4770,4
38,1967,4880,53
38,1967,4930,5
38,1967,4950,19
38,1967,4980,86
38,1967,5010,51
38,1967,5060,10
38,1967,5070,4
38,1967,5110,46
38,1967,5290,4
38,1967,5520,3
38,1967,5630,6
38,1967,5930,53
38,1967,5980,29
38,1967,6040,94
38,1967,6110,1
38,1967,6130,23
38,1967,6220,10
38,1967,6270,1
38,1967,6330,2
38,1967,6480,1
38,1967,6810,3
38,1967,6830,1
38,1967,6882,123
38,1967,7030,51
38,1967,7050,3
38,1967,7180,2
38,1967,7310,16
38,1967,7360,5
38,1967,7610,7
38,1967,7660,1
38,1968,2010,1
38,1968,2730,1
38,1968,2890,42
38,1968,3131,1
38,1968,3160,28
38,1968,3370,2
38,1968,3680,1
38,1968,3870,14
38,1968,3880,4
38,1968,4060,2
38,1968,4090,3
38,1968,4120,3
38,1968,4230,5
38,1968,4280,1
38,1968,4430,8
38,1968,4440,9
38,1968,4520,9
38,1968,4560,3
38,1968,4610,1
38,1968,4650,1
38,1968,4740,10
38,1968,4770,2
38,1968,4880,34
38,1968,4930,4
38,1968,4950,28
38,1968,4980,54
38,1968,5010,54
38,1968,5060,12
38,1968,5070,3
38,1968,5110,21
38,1968,5290,10
38,1968,5630,8
38,1968,5930,51
38,1968,5980,17
38,1968,6040,78
38,1968,6130,8
38,1968,6160,4
38,1968,6220,2
38,1968,6270,2
38,1968,6330,1
38,1968,6480,1
38,1968,6810,4
38,1968,6830,6
38,1968,6882,38
38,1968,7030,38
38,1968,7050,2
38,1968,7180,5
38,1968,7210,1
38,1968,7310,18
38,1968,7360,3
38,1968,7510,1
38,1968,7550,1
38,1968,7610,12
38,1968,7660,1
38,1969,2010,4
38,1969,2730,5
38,1969,2890,36
38,1969,3131,4
38,1969,3160,25
38,1969,3680,1
38,1969,3750,1
38,1969,3870,11
38,1969,3880,1
38,1969,4060,1
38,1969,4090,7
38,1969,4120,2
38,1969,4200,1
38,1969,4230,2
38,1969,4430,1
38,1969,4440,8
38,1969,4520,7
38,1969,4560,2
38,1969,4610,5
38,1969,4740,1
38,1969,4770,2
38,1969,4880,35
38,1969,4930,5
38,1969,4950,15
38,1969,4980,71
38,1969,5010,57
38,1969,5060,9
38,1969,5070,1
38,1969,5110,10
38,1969,5290,3
38,1969,5520,3
38,1969,5630,12
38,1969,5930,67
38,1969,5980,16
38,1969,6040,119
38,1969,6110,1
38,1969,6130,4
38,1969,6220,5
38,1969,6240,1
38,1969,6270,1
38,1969,6330,1
38,1969,6810,8
38,1969,6830,2
38,1969,6882,51
38,1969,7030,37
38,1969,7050,1
38,1969,7180,4
38,1969,7310,13
38,1969,7610,12
38,1970,2010,9
38,1970,2730,4
38,1970,2890,20
38,1970,3131,5
38,1970,3160,45
38,1970,3310,1
38,1970,3370,2
38,1970,3870,3
38,1970,3880,1
38,1970,3940,1
38,1970,4090,6
38,1970,4230,12
38,1970,4280,1
38,1970,4430,2
38,1970,4440,8
38,1970,4520,6
38,1970,4560,5
38,1970,4610,4
38,1970,4740,3
38,1970,4770,6
38,1970,4880,30
38,1970,4930,3
38,1970,4950,16
38,1970,4980,59
38,1970,5010,72
38,1970,5060,9
38,1970,5070,2
38,1970,5110,6
38,1970,5290,4
38,1970,5630,6
38,1970,5930,79
38,1970,5980,14
38,1970,6040,130
38,1970,6110,1
38,1970,6120,1
38,1970,6130,12
38,1970,6160,4
38,1970,6240,2
38,1970,6270,1
38,1970,6330,1
38,1970,6810,6
38,1970,6830,5
38,1970,6882,66
38,1970,7030,35
38,1970,7040,1
38,1970,7050,2
38,1970,7180,4
38,1970,7310,16
38,1970,7610,15
38,1971,1940,1
38,1971,2010,4
38,1971,2730,8
38,1971,2890,50
38,1971,3131,2
38,1971,3160,32
38,1971,3370,3
38,1971,3870,3
38,1971,3940,1
38,1971,4060,1
38,1971,4090,12
38,1971,4120,1
38,1971,4230,8
38,1971,4430,4
38,1971,4440,7
38,1971,4520,12
