statenum,Year,Aou,SpeciesTotal
39,1966,1310,1
39,1966,2890,19
39,1966,3131,6
39,1966,3160,3
39,1966,3390,1
39,1966,3870,4
39,1966,3940,7
39,1966,4120,3
39,1966,4230,16
39,1966,4440,3
39,1966,4560,4
39,1966,4610,1
39,1966,4650,17
39,1966,4770,23
39,1966,4880,13
39,1966,4930,29
39,1966,4950,17
39,1966,4980,7
39,1966,5010,1
39,1966,5060,3
39,1966,5110,38
39,1966,5290,16
39,1966,5600,1
39,1966,5630,17
39,1966,5810,69
39,1966,5870,6
39,1966,5930,56
39,1966,5980,34
39,1966,6080,9
39,1966,6100,10
39,1966,6130,5
39,1966,6170,4
39,1966,6240,55
39,1966,6280,21
39,1966,6310,3
39,1966,6480,2
39,1966,6520,15
39,1966,6630,3
39,1966,6710,1
39,1966,6730,1
39,1966,6740,7
39,1966,6760,1
39,1966,6770,1
39,1966,6810,57
39,1966,6830,38
39,1966,6840,1
39,1966,6870,2
39,1966,6882,77
39,1966,7030,1
39,1966,7040,11
39,1966,7050,1
39,1966,7180,14
39,1966,7310,15
39,1966,7360,15
39,1966,7510,1
39,1966,7550,80
39,1966,7610,24
39,1966,7660,6
39,1967,2010,1
39,1967,2890,9
39,1967,3160,2
39,1967,3330,1
39,1967,3390,1
39,1967,3870,2
39,1967,3880,1
39,1967,3900,1
39,1967,3940,1
39,1967,4120,3
39,1967,4230,4
39,1967,4280,1
39,1967,4560,5
39,1967,4610,6
39,1967,4650,24
39,1967,4770,22
39,1967,4880,5
39,1967,4930,42
39,1967,4950,19
39,1967,4980,6
39,1967,5010,3
39,1967,5060,7
39,1967,5110,58
39,1967,5290,15
39,1967,5600,3
39,1967,5630,13
39,1967,5810,57
39,1967,5870,3
39,1967,5930,34
39,1967,5980,56
39,1967,6080,4
39,1967,6100,15
39,1967,6110,2
39,1967,6130,8
39,1967,6170,3
39,1967,6240,26
39,1967,6280,8
39,1967,6290,2
39,1967,6310,7
39,1967,6480,2
39,1967,6520,5
39,1967,6630,1
39,1967,6730,5
39,1967,6740,11
39,1967,6760,1
39,1967,6770,1
39,1967,6810,53
39,1967,6830,19
39,1967,6870,4
39,1967,6882,59
39,1967,7040,13
39,1967,7050,2
39,1967,7180,16
39,1967,7310,6
39,1967,7360,10
39,1967,7550,71
39,1967,7610,15
39,1967,7660,4
39,1968,2010,2
39,1968,2890,12
39,1968,3131,8
39,1968,3160,3
39,1968,3430,1
39,1968,3870,4
39,1968,3900,1
39,1968,3940,4
39,1968,4120,9
39,1968,4230,14
39,1968,4560,3
39,1968,4610,7
39,1968,4650,11
39,1968,4770,25
39,1968,4880,7
39,1968,4930,48
39,1968,4950,11
39,1968,4980,9
39,1968,5010,4
39,1968,5110,69
39,1968,5290,23
39,1968,5630,14
39,1968,5810,51
39,1968,5870,10
39,1968,5930,52
39,1968,5980,28
39,1968,6080,3
39,1968,6100,13
39,1968,6130,4
39,1968,6170,1
39,1968,6240,27
39,1968,6280,4
39,1968,6310,9
39,1968,6390,1
39,1968,6480,1
39,1968,6520,11
39,1968,6630,4
39,1968,6710,1
39,1968,6730,1
39,1968,6810,28
39,1968,6830,28
39,1968,6870,3
39,1968,6882,112
39,1968,7030,1
39,1968,7040,11
39,1968,7180,16
39,1968,7310,11
39,1968,7360,4
39,1968,7510,3
39,1968,7550,55
39,1968,7610,24
39,1968,7660,6
39,1973,3160,14
39,1973,3870,4
39,1973,3880,3
39,1973,3900,2
39,1973,3940,6
39,1973,4050,1
39,1973,4090,4
39,1973,4120,4
39,1973,4230,2
39,1973,4280,4
39,1973,4560,4
39,1973,4610,11
39,1973,4650,20
39,1973,4770,10
39,1973,4880,30
39,1973,4930,20
39,1973,4950,9
39,1973,4980,3
39,1973,5010,4
39,1973,5060,1
39,1973,5110,38
39,1973,5290,21
39,1973,5600,12
39,1973,5630,10
39,1973,5810,13
39,1973,5870,8
39,1973,5930,32
39,1973,5980,69
39,1973,6080,5
39,1973,6100,4
39,1973,6130,10
39,1973,6170,9
39,1973,6190,4
39,1973,6240,49
39,1973,6280,10
39,1973,6290,4
39,1973,6310,17
39,1973,6360,13
39,1973,6380,2
39,1973,6390,6
39,1973,6420,1
39,1973,6480,7
39,1973,6520,15
39,1973,6580,7
39,1973,6590,1
39,1973,6630,11
39,1973,6670,1
39,1973,6710,1
39,1973,6730,11
39,1973,6740,20
39,1973,6760,11
39,1973,6770,15
39,1973,6810,5
39,1973,6830,12
39,1973,6840,19
39,1973,6870,8
39,1973,6882,2
39,1973,7030,1
39,1973,7040,6
39,1973,7050,4
39,1973,7180,20
39,1973,7270,1
39,1973,7310,34
39,1973,7360,11
39,1973,7510,16
39,1973,7550,32
39,1973,7610,5
39,1973,7660,4
39,1978,2010,2
39,1978,2890,1
39,1978,3160,13
39,1978,3320,1
39,1978,3370,2
39,1978,3870,3
39,1978,3880,1
39,1978,3900,1
39,1978,3940,3
39,1978,4050,1
39,1978,4120,1
39,1978,4560,1
39,1978,4610,16
39,1978,4650,15
39,1978,4770,3
39,1978,4880,33
39,1978,4950,7
39,1978,5110,3
39,1978,5290,7
39,1978,5600,5
39,1978,5630,4
39,1978,5810,26
39,1978,5870,6
39,1978,5930,20
39,1978,5980,50
39,1978,6080,11
39,1978,6100,4
39,1978,6130,5
39,1978,6170,2
39,1978,6240,41
39,1978,6280,3
39,1978,6310,12
39,1978,6360,3
39,1978,6420,2
39,1978,6480,3
39,1978,6520,5
39,1978,6630,15
39,1978,6730,10
39,1978,6740,25
39,1978,6760,7
39,1978,6770,7
39,1978,6810,10
39,1978,6830,17
39,1978,6840,15
39,1978,7040,3
39,1978,7180,8
39,1978,7270,1
39,1978,7310,26
39,1978,7360,15
39,1978,7510,16
39,1978,7550,31
39,1978,7610,6
39,1978,7660,1
39,1980,3131,6
39,1980,3160,1
39,1980,3250,1
39,1980,3390,1
39,1980,3870,7
39,1980,3900,2
39,1980,3940,1
39,1980,4171,1
39,1980,4280,1
39,1980,4520,1
39,1980,4560,10
39,1980,4610,7
39,1980,4650,9
39,1980,4770,11
39,1980,4880,29
39,1980,4950,1
39,1980,5010,1
39,1980,5110,4
39,1980,5290,3
39,1980,5600,3
39,1980,5810,13
39,1980,5930,8
39,1980,5980,25
39,1980,6080,5
39,1980,6100,10
39,1980,6130,6
39,1980,6170,2
39,1980,6240,26
39,1980,6280,3
39,1980,6290,2
39,1980,6310,4
39,1980,6390,2
39,1980,6480,4
39,1980,6520,3
39,1980,6630,6
39,1980,6670,2
39,1980,6710,1
39,1980,6730,4
39,1980,6740,16
39,1980,6760,1
39,1980,6770,9
39,1980,6810,6
39,1980,6830,5
39,1980,6840,9
