statenum,Year,Aou,SpeciesTotal
42,1968,1340,2
42,1968,1440,2
42,1968,2000,2
42,1968,2010,6
42,1968,2110,1
42,1968,2730,2
42,1968,2890,1
42,1968,3160,7
42,1968,3250,1
42,1968,3260,1
42,1968,3870,4
42,1968,3940,6
42,1968,4230,34
42,1968,4440,8
42,1968,4520,9
42,1968,4770,11
42,1968,4880,1
42,1968,4930,24
42,1968,4980,105
42,1968,5010,7
42,1968,5060,78
42,1968,5110,18
42,1968,5130,32
42,1968,5870,4
42,1968,5930,55
42,1968,6110,8
42,1968,6220,1
42,1968,6310,5
42,1968,6370,21
42,1968,6480,13
42,1968,6810,8
42,1968,6882,24
42,1968,7030,32
42,1968,7180,8
42,1968,7360,5
42,1987,690,3
42,1987,1840,2
42,1987,1861,11
42,1987,1960,8
42,1987,1970,4
42,1987,1990,6
42,1987,2000,8
42,1987,2001,33
42,1987,2010,2
42,1987,2030,4
42,1987,2730,16
42,1987,3131,8
42,1987,3160,58
42,1987,3290,1
42,1987,3390,8
42,1987,3870,8
42,1987,3940,25
42,1987,4090,11
42,1987,4200,2
42,1987,4230,23
42,1987,4280,1
42,1987,4440,11
42,1987,4520,7
42,1987,4770,55
42,1987,4880,85
42,1987,4930,277
42,1987,4950,73
42,1987,4980,134
42,1987,5010,19
42,1987,5060,97
42,1987,5110,84
42,1987,5130,23
42,1987,5870,8
42,1987,5930,129
42,1987,6010,8
42,1987,6110,124
42,1987,6220,8
42,1987,6240,2
42,1987,6310,24
42,1987,6370,12
42,1987,6480,3
42,1987,6810,40
42,1987,6882,57
42,1987,7030,81
42,1987,7180,19
42,1987,7360,39
42,1988,740,1
42,1988,1861,5
42,1988,1940,1
42,1988,1960,4
42,1988,1970,6
42,1988,1990,2
42,1988,2000,1
42,1988,2001,42
42,1988,2010,1
42,1988,2020,1
42,1988,2030,3
42,1988,2190,1
42,1988,2730,15
42,1988,3131,2
42,1988,3160,32
42,1988,3250,2
42,1988,3260,4
42,1988,3290,7
42,1988,3390,2
42,1988,3750,1
42,1988,3870,8
42,1988,3940,15
42,1988,4090,9
42,1988,4230,25
42,1988,4440,9
42,1988,4520,6
42,1988,4770,37
42,1988,4880,79
42,1988,4930,266
42,1988,4950,48
42,1988,4960,3
42,1988,4980,119
42,1988,5010,19
42,1988,5060,106
42,1988,5110,136
42,1988,5130,5
42,1988,5870,9
42,1988,5930,119
42,1988,6010,17
42,1988,6110,195
42,1988,6220,22
42,1988,6310,17
42,1988,6370,7
42,1988,6810,29
42,1988,6840,2
42,1988,6882,59
42,1988,7030,91
42,1988,7180,41
42,1988,7310,5
42,1988,7360,36
42,1987,580,27
42,1987,690,25
42,1987,740,90
42,1987,800,6
42,1987,1340,12
42,1987,1840,2
42,1987,1861,7
42,1987,1870,6
42,1987,1960,32
42,1987,1970,77
42,1987,1990,20
42,1987,2000,15
42,1987,2001,23
42,1987,2010,20
42,1987,2020,1
42,1987,2030,5
42,1987,2580,1
42,1987,2730,14
42,1987,3131,7
42,1987,3160,30
42,1987,3250,37
42,1987,3260,9
42,1987,3390,4
42,1987,3870,14
42,1987,3940,24
42,1987,4090,2
42,1987,4120,6
42,1987,4200,7
42,1987,4230,7
42,1987,4440,5
42,1987,4520,11
42,1987,4770,81
42,1987,4880,41
42,1987,4930,87
42,1987,4950,68
42,1987,4980,196
42,1987,5010,18
42,1987,5060,138
42,1987,5110,172
42,1987,5130,31
42,1987,5870,5
42,1987,5930,90
42,1987,5980,1
42,1987,6010,4
42,1987,6110,42
42,1987,6220,13
42,1987,6240,1
42,1987,6370,17
