statenum,Year,Aou,SpeciesTotal
46,1966,2730,1
46,1966,3160,1
46,1966,3250,4
46,1966,3880,1
46,1966,3930,1
46,1966,3940,1
46,1966,4120,3
46,1966,4230,4
46,1966,4440,2
46,1966,4560,5
46,1966,4610,12
46,1966,4670,12
46,1966,4880,12
46,1966,4930,60
46,1966,4950,16
46,1966,4980,49
46,1966,5010,15
46,1966,5070,6
46,1966,5110,64
46,1966,5290,12
46,1966,5460,3
46,1966,5600,19
46,1966,5630,6
46,1966,5810,19
46,1966,5840,2
46,1966,5870,22
46,1966,5930,4
46,1966,5950,1
46,1966,5980,12
46,1966,6080,4
46,1966,6120,2
46,1966,6130,1
46,1966,6190,9
46,1966,6240,19
46,1966,6290,1
46,1966,6360,3
46,1966,6420,2
46,1966,6520,9
46,1966,6540,1
46,1966,6590,11
46,1966,6620,2
46,1966,6740,7
46,1966,6760,1
46,1966,6810,4
46,1966,6830,1
46,1966,6860,4
46,1966,6870,13
46,1966,6882,29
46,1966,7040,16
46,1966,7050,1
46,1966,7210,11
46,1966,7270,2
46,1966,7310,2
46,1966,7350,2
46,1966,7550,30
46,1966,7560,20
46,1966,7610,67
46,1967,1440,2
46,1967,2280,1
46,1967,2730,3
46,1967,2890,6
46,1967,3131,5
46,1967,3160,3
46,1967,3250,2
46,1967,3870,1
46,1967,3900,2
46,1967,3940,3
46,1967,4090,2
46,1967,4120,11
46,1967,4171,1
46,1967,4230,2
46,1967,4440,3
46,1967,4520,3
46,1967,4560,4
46,1967,4610,16
46,1967,4650,2
46,1967,4670,12
46,1967,4740,5
46,1967,4770,3
46,1967,4880,50
46,1967,4930,15
46,1967,4950,13
46,1967,4980,58
46,1967,5010,17
46,1967,5070,6
46,1967,5110,60
46,1967,5290,13
46,1967,5400,12
46,1967,5420,2
46,1967,5460,12
46,1967,5600,26
46,1967,5630,17
46,1967,5810,22
46,1967,5870,35
46,1967,5930,3
46,1967,5950,3
46,1967,5980,11
46,1967,6080,21
46,1967,6120,6
46,1967,6130,5
46,1967,6140,1
46,1967,6170,1
46,1967,6190,8
46,1967,6240,43
46,1967,6290,1
46,1967,6360,13
46,1967,6390,2
46,1967,6420,2
46,1967,6520,5
46,1967,6540,1
46,1967,6570,1
46,1967,6580,2
46,1967,6590,29
46,1967,6620,1
46,1967,6670,3
46,1967,6740,10
46,1967,6760,9
46,1967,6810,17
46,1967,6830,4
46,1967,6840,7
46,1967,6860,5
46,1967,6870,19
46,1967,6882,42
46,1967,7040,20
46,1967,7050,1
46,1967,7210,15
46,1967,7270,4
46,1967,7310,3
46,1967,7350,3
46,1967,7510,1
46,1967,7550,38
46,1967,7560,41
46,1967,7590,1
46,1967,7610,46
46,1967,7660,3
46,1968,1940,1
46,1968,3160,1
46,1968,3250,1
46,1968,3900,1
46,1968,3930,1
46,1968,3940,1
46,1968,4120,7
46,1968,4520,1
46,1968,4560,3
46,1968,4610,1
46,1968,4650,3
46,1968,4670,8
46,1968,4740,5
46,1968,4880,6
46,1968,4930,5
46,1968,4950,7
46,1968,4980,43
46,1968,5010,9
46,1968,5070,3
46,1968,5110,18
46,1968,5290,4
46,1968,5400,1
46,1968,5460,3
46,1968,5600,16
46,1968,5630,9
46,1968,5810,27
46,1968,5870,25
46,1968,5930,2
46,1968,5980,10
46,1968,6080,15
46,1968,6130,2
46,1968,6190,7
46,1968,6240,31
46,1968,6360,1
46,1968,6480,1
46,1968,6520,5
46,1968,6590,6
46,1968,6740,3
46,1968,6760,1
46,1968,6810,8
46,1968,6860,3
46,1968,6870,9
46,1968,6882,30
46,1968,7040,11
46,1968,7050,3
46,1968,7210,8
46,1968,7270,1
46,1968,7310,1
46,1968,7550,14
46,1968,7560,8
46,1968,7610,28
46,1969,2730,2
46,1969,2890,3
46,1969,3160,1
46,1969,3250,2
46,1969,3430,1
46,1969,3870,2
46,1969,3930,1
46,1969,3940,2
46,1969,4120,10
46,1969,4440,1
46,1969,4560,4
46,1969,4610,7
46,1969,4650,4
46,1969,4670,11
46,1969,4770,3
46,1969,4880,16
46,1969,4930,41
46,1969,4950,21
46,1969,4980,19
46,1969,5010,5
46,1969,5070,1
46,1969,5110,26
46,1969,5290,9
46,1969,5420,2
46,1969,5460,3
46,1969,5600,19
46,1969,5630,7
46,1969,5810,29
46,1969,5840,2
46,1969,5870,27
46,1969,5930,3
46,1969,5950,1
46,1969,5980,9
46,1969,6080,22
46,1969,6120,1
46,1969,6130,14
46,1969,6190,12
46,1969,6240,48
46,1969,6360,2
46,1969,6520,6
46,1969,6740,8
46,1969,6760,7
46,1969,6810,2
46,1969,6830,2
46,1969,6840,1
46,1969,6860,2
46,1969,6870,5
46,1969,6882,16
46,1969,7040,14
46,1969,7050,3
46,1969,7210,7
46,1969,7270,1
46,1969,7310,1
46,1969,7350,3
46,1969,7510,2
46,1969,7550,24
46,1969,7560,15
46,1969,7610,44
46,1970,2730,3
46,1970,3160,9
46,1970,3430,1
46,1970,3930,2
46,1970,4120,3
46,1970,4520,2
46,1970,4560,4
46,1970,4610,13
46,1970,4650,4
46,1970,4670,12
46,1970,4740,1
46,1970,4770,2
46,1970,4880,19
46,1970,4930,31
46,1970,4940,1
46,1970,4950,9
46,1970,4980,19
