statenum,Year,Aou,SpeciesTotal
51,1974,1840,18
51,1974,1940,9
51,1974,1960,24
51,1974,2000,28
51,1974,2001,23
51,1974,2010,7
51,1974,2030,6
51,1974,2890,7
51,1974,3160,11
51,1974,3250,1
51,1974,3260,16
51,1974,3390,2
51,1974,3430,1
51,1974,3870,17
51,1974,3940,1
51,1974,4050,1
51,1974,4090,12
51,1974,4230,13
51,1974,4440,2
51,1974,4520,9
51,1974,4610,2
51,1974,4650,4
51,1974,4770,21
51,1974,4880,26
51,1974,4900,5
51,1974,4930,7
51,1974,4950,18
51,1974,4980,25
51,1974,5010,5
51,1974,5060,21
51,1974,5070,4
51,1974,5110,21
51,1974,5870,13
51,1974,5930,81
51,1974,5970,2
51,1974,5980,29
51,1974,6010,5
51,1974,6100,17
51,1974,6110,7
51,1974,6130,10
51,1974,6170,3
51,1974,6220,1
51,1974,6240,18
51,1974,6280,10
51,1974,6310,41
51,1974,6370,13
51,1974,6480,27
51,1974,6630,2
51,1974,6770,5
51,1974,6810,14
51,1974,6830,35
51,1974,6840,12
51,1974,6870,4
51,1974,6882,2
51,1974,7030,10
51,1974,7050,4
51,1974,7180,48
51,1974,7310,11
51,1974,7360,2
51,1974,7510,5
51,1974,7550,7
51,1976,2000,14
51,1976,2001,35
51,1976,2010,4
51,1976,2030,1
51,1976,2730,3
51,1976,2890,4
51,1976,3160,6
51,1976,3390,2
51,1976,3680,1
51,1976,3870,15
51,1976,3940,3
51,1976,4090,23
51,1976,4120,1
51,1976,4230,4
51,1976,4440,3
51,1976,4520,7
51,1976,4610,2
51,1976,4650,8
51,1976,4770,16
51,1976,4880,68
51,1976,4900,4
51,1976,4930,1
51,1976,4950,22
51,1976,4980,25
51,1976,5010,9
51,1976,5060,28
51,1976,5110,23
51,1976,5870,9
51,1976,5930,107
51,1976,5980,25
51,1976,6010,13
51,1976,6100,16
51,1976,6110,23
51,1976,6130,20
51,1976,6240,18
51,1976,6280,8
51,1976,6310,57
51,1976,6360,2
51,1976,6370,9
51,1976,6380,1
51,1976,6390,3
51,1976,6480,34
51,1976,6630,1
51,1976,6710,2
51,1976,6770,6
51,1976,6810,18
51,1976,6830,36
51,1976,6840,8
51,1976,6870,2
51,1976,6882,2
51,1976,7030,28
51,1976,7180,49
51,1976,7310,21
51,1976,7360,14
51,1976,7510,7
51,1976,7550,7
51,1976,7660,1
51,1977,1840,1
51,1977,2001,176
51,1977,2010,4
51,1977,2730,1
51,1977,2890,5
51,1977,3160,19
51,1977,3250,4
51,1977,3260,22
51,1977,3290,2
51,1977,3390,2
51,1977,3870,11
51,1977,4090,7
51,1977,4230,17
51,1977,4280,1
51,1977,4440,4
51,1977,4520,9
51,1977,4610,3
51,1977,4650,13
51,1977,4770,14
51,1977,4880,52
51,1977,4900,3
51,1977,4950,30
51,1977,4980,20
51,1977,5010,8
51,1977,5060,28
51,1977,5110,4
51,1977,5870,7
51,1977,5930,71
51,1977,5970,3
51,1977,5980,31
51,1977,6010,10
51,1977,6100,4
51,1977,6110,11
51,1977,6130,10
51,1977,6240,8
51,1977,6280,9
51,1977,6310,45
51,1977,6370,10
51,1977,6380,2
51,1977,6480,27
51,1977,6630,2
51,1977,6770,5
51,1977,6810,14
51,1977,6830,31
51,1977,6840,8
51,1977,6870,3
51,1977,6882,5
51,1977,7030,14
51,1977,7050,6
51,1977,7180,35
