statenum,Year,Aou,SpeciesTotal
52,1967,1440,1
52,1967,2000,25
52,1967,2730,4
52,1967,2890,7
52,1967,3131,20
52,1967,3160,88
52,1967,3290,1
52,1967,3600,1
52,1967,3870,7
52,1967,3940,1
52,1967,4060,1
52,1967,4090,7
52,1967,4230,23
52,1967,4440,1
52,1967,4520,1
52,1967,4740,16
52,1967,4770,6
52,1967,4880,32
52,1967,4930,80
52,1967,4950,7
52,1967,4980,172
52,1967,5010,53
52,1967,5060,2
52,1967,5070,2
52,1967,5110,151
52,1967,5630,13
52,1967,5810,4
52,1967,5930,14
52,1967,5980,18
52,1967,6040,57
52,1967,6100,1
52,1967,6110,3
52,1967,6130,25
52,1967,6220,13
52,1967,6270,4
52,1967,6370,1
52,1967,6810,29
52,1967,6830,3
52,1967,6882,155
52,1967,7030,20
52,1967,7050,1
52,1967,7180,4
52,1967,7310,7
52,1967,7360,2
52,1967,7510,1
52,1967,7550,1
52,1967,7610,6
52,1968,1960,1
52,1968,2000,72
52,1968,2010,4
52,1968,2730,5
52,1968,2890,17
52,1968,3131,19
52,1968,3160,79
52,1968,3290,1
52,1968,3600,2
52,1968,3870,13
52,1968,4060,1
52,1968,4090,2
52,1968,4230,8
52,1968,4440,1
52,1968,4520,2
52,1968,4610,4
52,1968,4740,20
52,1968,4880,26
52,1968,4900,1
52,1968,4930,84
52,1968,4950,2
52,1968,4980,282
52,1968,5010,49
52,1968,5060,4
52,1968,5070,1
52,1968,5110,165
52,1968,5290,1
52,1968,5630,14
52,1968,5810,5
52,1968,5870,1
52,1968,5930,21
52,1968,5980,31
52,1968,6040,47
52,1968,6110,12
52,1968,6130,26
52,1968,6220,2
52,1968,6240,3
52,1968,6270,3
52,1968,6370,2
52,1968,6810,29
52,1968,6830,7
52,1968,6882,264
52,1968,7030,21
52,1968,7050,2
52,1968,7180,10
52,1968,7310,2
52,1968,7360,1
52,1968,7510,3
52,1968,7550,1
52,1968,7610,3
52,1969,2000,77
52,1969,2010,1
52,1969,2020,3
52,1969,2730,8
52,1969,2890,9
52,1969,3131,9
52,1969,3160,131
52,1969,3870,6
52,1969,3940,2
52,1969,4060,2
