statenum,Year,Aou,SpeciesTotal
59,1967,1782,2
59,1967,1940,1
59,1967,2890,57
59,1967,3131,16
59,1967,3160,34
59,1967,3870,2
59,1967,3930,2
59,1967,4090,1
59,1967,4120,3
59,1967,4230,28
59,1967,4440,8
59,1967,4520,4
59,1967,4610,3
59,1967,4740,1
59,1967,4770,25
59,1967,4880,11
59,1967,4930,375
59,1967,4950,1
59,1967,4980,23
59,1967,5010,9
59,1967,5060,1
59,1967,5110,197
59,1967,5460,2
59,1967,5600,10
59,1967,5630,9
59,1967,5810,7
59,1967,5870,4
59,1967,5930,19
59,1967,5980,7
59,1967,6080,2
59,1967,6110,12
59,1967,6130,5
59,1967,6240,3
59,1967,6280,1
59,1967,6740,6
59,1967,6810,4
59,1967,6882,162
59,1967,7030,40
59,1967,7040,4
59,1967,7050,1
59,1967,7210,5
59,1967,7310,7
59,1967,7550,4
59,1967,7610,54
59,1968,1320,3
59,1968,1440,2
59,1968,1782,6
59,1968,2010,2
59,1968,2890,62
59,1968,3091,1
59,1968,3131,17
59,1968,3160,53
59,1968,3250,2
59,1968,3870,1
59,1968,3940,3
59,1968,4090,1
59,1968,4120,3
59,1968,4230,15
59,1968,4440,1
59,1968,4520,3
59,1968,4560,1
59,1968,4610,1
59,1968,4740,3
59,1968,4770,23
59,1968,4880,17
59,1968,4900,1
59,1968,4930,230
59,1968,4950,1
59,1968,4980,30
59,1968,5010,4
59,1968,5070,1
59,1968,5110,190
59,1968,5290,1
59,1968,5460,1
59,1968,5600,3
59,1968,5630,8
59,1968,5810,3
59,1968,5870,6
59,1968,5930,8
59,1968,5970,1
59,1968,5980,5
59,1968,6080,2
59,1968,6110,1
59,1968,6130,11
59,1968,6240,4
59,1968,6280,1
59,1968,6520,3
59,1968,6740,1
59,1968,6810,6
59,1968,6830,1
59,1968,6882,107
59,1968,7030,34
59,1968,7040,4
59,1968,7050,3
59,1968,7180,1
59,1968,7210,5
59,1968,7310,4
59,1968,7510,1
59,1968,7550,2
59,1968,7610,52
59,1970,1330,1
59,1970,1440,1
59,1970,2730,1
59,1970,2890,55
59,1970,3131,29
59,1970,3160,103
59,1970,3940,1
59,1970,4090,2
59,1970,4120,8
59,1970,4230,24
59,1970,4440,13
59,1970,4520,4
59,1970,4610,1
59,1970,4770,30
59,1970,4880,15
59,1970,4900,1
59,1970,4930,249
59,1970,4980,14
59,1970,5010,7
59,1970,5110,182
59,1970,5290,8
59,1970,5600,10
59,1970,5630,7
59,1970,5810,9
59,1970,5870,10
59,1970,5930,4
59,1970,5980,7
59,1970,6080,3
59,1970,6110,12
59,1970,6130,8
59,1970,6240,4
59,1970,6280,2
59,1970,6520,1
59,1970,6740,2
59,1970,6810,1
59,1970,6882,155
59,1970,7030,36
59,1970,7040,1
59,1970,7050,1
59,1970,7180,4
59,1970,7310,2
59,1970,7360,1
59,1970,7610,69
59,1986,2010,1
59,1986,2730,10
59,1986,2890,19
59,1986,3131,13
59,1986,3160,69
59,1986,3250,13
59,1986,3430,1
59,1986,3600,1
59,1986,3870,1
59,1986,3930,1
59,1986,3940,1
59,1986,4090,2
59,1986,4120,4
59,1986,4230,31
59,1986,4280,1
59,1986,4440,2
59,1986,4610,3
59,1986,4660,1
59,1986,4770,15
59,1986,4880,52
59,1986,4930,173
59,1986,4950,3
59,1986,4980,11
59,1986,5010,3
59,1986,5060,2
59,1986,5110,141
59,1986,5190,35
59,1986,5290,1
59,1986,5460,1
59,1986,5600,3
59,1986,5630,5
59,1986,5810,13
59,1986,5870,1
59,1986,5930,10
59,1986,5980,2
59,1986,6080,2
59,1986,6110,16
59,1986,6130,9
59,1986,6240,3
59,1986,6310,2
59,1986,6370,1
59,1986,6730,1
59,1986,6740,8
59,1986,6810,2
59,1986,6830,1
59,1986,6882,38
59,1986,7030,29
59,1986,7040,3
59,1986,7050,1
59,1986,7210,3
59,1986,7310,9
59,1986,7510,1
59,1986,7550,6
59,1986,7610,83
59,1987,1320,2
59,1987,1720,2
59,1987,1940,2
59,1987,2010,2
59,1987,2730,2
59,1987,2890,12
59,1987,3131,12
59,1987,3160,65
59,1987,3250,11
59,1987,3370,1
59,1987,3600,1
59,1987,3940,1
59,1987,4090,1
59,1987,4120,5
59,1987,4230,53
59,1987,4440,9
59,1987,4520,2
59,1987,4610,4
59,1987,4740,1
59,1987,4770,9
59,1987,4880,23
59,1987,4900,7
59,1987,4930,140
59,1987,4950,9
59,1987,4980,35
59,1987,5010,1
59,1987,5060,1
59,1987,5070,1
59,1987,5110,142
59,1987,5190,21
59,1987,5290,3
59,1987,5600,11
59,1987,5630,3
59,1987,5810,25
59,1987,5870,4
59,1987,5930,12
59,1987,5970,2
59,1987,5980,6
59,1987,6080,3
59,1987,6110,38
59,1987,6130,13
59,1987,6240,6
59,1987,6280,1
59,1987,6310,2
59,1987,6740,3
59,1987,6810,6
59,1987,6882,48
59,1987,7030,25
59,1987,7040,4
59,1987,7050,7
59,1987,7180,4
59,1987,7210,6
59,1987,7310,10
59,1987,7360,2
59,1987,7550,6
59,1987,7610,61
59,1988,1940,1
59,1988,2010,2
59,1988,2730,6
59,1988,2890,7
59,1988,3131,24
59,1988,3160,74
59,1988,3250,2
59,1988,3940,1
59,1988,4090,5
59,1988,4120,2
59,1988,4230,32
59,1988,4440,8
59,1988,4520,3
59,1988,4610,2
59,1988,4770,15
59,1988,4880,30
59,1988,4900,1
59,1988,4930,162
59,1988,4950,8
59,1988,4980,16
59,1988,5010,2
59,1988,5060,4
59,1988,5070,2
59,1988,5110,149
59,1988,5190,43
59,1988,5290,2
59,1988,5460,1
59,1988,5600,5
59,1988,5630,4
59,1988,5810,13
59,1988,5870,1
59,1988,5930,12
59,1988,5980,3
59,1988,6080,2
59,1988,6110,66
59,1988,6130,15
59,1988,6190,4
59,1988,6240,2
59,1988,6710,1
59,1988,6740,9
59,1988,6810,3
59,1988,6882,58
59,1988,7030,35
59,1988,7040,5
59,1988,7050,1
59,1988,7180,1
59,1988,7210,4
59,1988,7310,1
59,1988,7360,2
59,1988,7510,1
59,1988,7550,6
59,1988,7610,76
59,1989,1940,1
59,1989,2010,1
59,1989,2730,5
59,1989,2890,8
59,1989,3131,12
59,1989,3160,53
59,1989,3250,14
59,1989,3900,1
59,1989,4090,4
59,1989,4120,7
59,1989,4230,23
59,1989,4440,3
59,1989,4520,1
59,1989,4610,3
59,1989,4660,1
59,1989,4740,2
59,1989,4770,14
59,1989,4880,29
59,1989,4900,6
59,1989,4930,259
59,1989,4950,1
59,1989,4980,13
59,1989,5010,2
59,1989,5060,1
59,1989,5070,1
59,1989,5110,167
59,1989,5190,42
59,1989,5290,4
59,1989,5600,13
59,1989,5630,5
59,1989,5810,16
59,1989,5870,5
59,1989,5930,9
59,1989,5980,6
59,1989,6080,2
59,1989,6110,33
59,1989,6130,15
59,1989,6170,2
59,1989,6190,4
59,1989,6240,3
59,1989,6370,2
59,1989,6710,3
59,1989,6730,1
59,1989,6740,4
59,1989,6810,2
59,1989,6882,77
59,1989,7030,31
59,1989,7040,3
59,1989,7050,1
59,1989,7180,3
59,1989,7210,5
59,1989,7310,3
59,1989,7360,3
59,1989,7550,4
59,1989,7610,80
59,1989,7660,2
59,1990,580,3
59,1990,1720,32
59,1990,1940,2
59,1990,2010,1
59,1990,2730,2
59,1990,2890,10
59,1990,3131,81
59,1990,3160,41
59,1990,3250,27
59,1990,3260,2
59,1990,3370,1
59,1990,3870,1
59,1990,3940,1
59,1990,4090,3
59,1990,4120,1
59,1990,4230,23
59,1990,4440,2
59,1990,4660,1
59,1990,4740,1
59,1990,4770,17
59,1990,4880,44
59,1990,4930,272
59,1990,4950,4
59,1990,4980,15
59,1990,5010,1
59,1990,5060,1
59,1990,5070,1
59,1990,5110,148
59,1990,5190,45
59,1990,5290,1
59,1990,5460,1
59,1990,5600,2
59,1990,5630,6
59,1990,5810,14
59,1990,5930,11
59,1990,5970,1
59,1990,5980,3
59,1990,6040,1
59,1990,6100,1
59,1990,6110,67
59,1990,6130,16
59,1990,6190,5
59,1990,6240,1
59,1990,6520,1
59,1990,6710,2
59,1990,6740,3
59,1990,6810,4
59,1990,6882,54
59,1990,7030,35
59,1990,7040,1
59,1990,7050,2
59,1990,7180,3
59,1990,7210,1
59,1990,7310,5
59,1990,7360,3
59,1990,7550,3
59,1990,7610,90
59,1991,1320,1
59,1991,1720,8
59,1991,1940,1
59,1991,2010,1
59,1991,2730,2
59,1991,2890,5
59,1991,3131,24
59,1991,3160,42
59,1991,3250,5
59,1991,3600,1
59,1991,3870,1
59,1991,3930,1
59,1991,3940,2
59,1991,4090,4
59,1991,4120,2
59,1991,4230,29
59,1991,4440,3
59,1991,4520,1
59,1991,4610,3
59,1991,4660,1
59,1991,4740,2
59,1991,4770,10
59,1991,4880,33
59,1991,4900,4
59,1991,4930,156
59,1991,4950,2
59,1991,4980,14
59,1991,5010,1
59,1991,5060,1
59,1991,5070,1
59,1991,5110,159
59,1991,5190,29
59,1991,5290,1
59,1991,5600,5
59,1991,5630,3
59,1991,5810,14
59,1991,5870,3
