statenum,Year,Aou,SpeciesTotal
60,1975,1290,2
60,1975,2210,1
60,1975,2730,6
60,1975,2950,16
60,1975,3091,6
60,1975,3131,1
60,1975,3160,22
60,1975,3370,1
60,1975,3600,2
60,1975,3900,1
60,1975,4470,8
60,1975,4540,4
60,1975,4620,1
60,1975,4750,23
60,1975,4810,3
60,1975,4920,14
60,1975,4930,18
60,1975,4950,2
60,1975,4980,48
60,1975,5011,68
60,1975,5080,5
60,1975,5100,4
60,1975,5190,2
60,1975,5520,23
60,1975,5620,2
60,1975,5730,3
60,1975,5738,2
60,1975,5960,3
60,1975,6120,153
60,1975,6130,14
60,1975,6170,5
60,1975,6520,5
60,1975,6882,27
60,1975,7020,1
60,1975,7030,15
60,1975,7150,1
60,1975,7190,1
60,1975,7331,1
60,1975,7610,8
60,1975,7680,3
60,1976,1720,2
60,1976,2730,3
60,1976,2950,27
60,1976,3091,19
60,1976,3160,20
60,1976,3250,5
60,1976,3490,2
60,1976,3600,3
60,1976,4130,2
60,1976,4200,1
60,1976,4470,6
60,1976,4480,2
60,1976,4570,2
60,1976,4620,3
60,1976,4740,3
60,1976,4750,24
60,1976,4810,1
60,1976,4860,2
60,1976,4920,1
60,1976,4930,35
60,1976,4950,8
60,1976,4980,38
60,1976,5011,77
60,1976,5080,9
60,1976,5100,6
60,1976,5190,13
60,1976,5520,18
60,1976,5600,2
60,1976,5730,16
60,1976,5960,4
60,1976,5970,2
60,1976,6120,4
60,1976,6130,9
60,1976,6150,2
60,1976,6170,4
60,1976,6220,8
60,1976,6520,2
60,1976,6882,33
60,1976,7020,2
60,1976,7030,12
60,1976,7150,1
60,1976,7331,1
60,1976,7610,13
60,1976,7680,2
60,1977,1200,1
60,1977,2730,7
60,1977,2950,8
60,1977,3091,12
60,1977,3160,21
60,1977,3370,1
60,1977,3600,3
60,1977,4080,1
60,1977,4200,1
60,1977,4290,1
60,1977,4470,3
60,1977,4540,1
60,1977,4620,3
60,1977,4740,1
60,1977,4750,22
60,1977,4810,2
60,1977,4920,4
