statenum,Year,Aou,SpeciesTotal
61,1967,510,19
61,1967,700,32
61,1967,740,1
61,1967,800,2
61,1967,1782,2
61,1967,2890,54
61,1967,3091,4
61,1967,3160,20
61,1967,3870,3
61,1967,3940,3
61,1967,4120,21
61,1967,4440,2
61,1967,4520,7
61,1967,4610,2
61,1967,4770,42
61,1967,4880,8
61,1967,4930,128
61,1967,4950,17
61,1967,4980,76
61,1967,5010,1
61,1967,5070,12
61,1967,5110,140
61,1967,5190,2
61,1967,5600,11
61,1967,5630,5
61,1967,5810,27
61,1967,5870,48
61,1967,5930,1
61,1967,5980,1
61,1967,6130,3
61,1967,6240,1
61,1967,6410,1
61,1967,6520,2
61,1967,6730,2
61,1967,6740,6
61,1967,6810,7
61,1967,6882,47
61,1967,7040,7
61,1967,7050,22
61,1967,7210,1
61,1967,7270,1
61,1967,7350,3
61,1967,7550,1
61,1967,7610,74
61,1968,510,45
61,1968,700,40
61,1968,1330,28
61,1968,1782,2
61,1968,2010,1
61,1968,2020,1
61,1968,2730,2
61,1968,2890,60
61,1968,3091,3
61,1968,3131,7
61,1968,3160,38
61,1968,3430,2
61,1968,3600,2
61,1968,3870,2
61,1968,3880,2
61,1968,3940,1
61,1968,4120,14
61,1968,4230,2
61,1968,4440,2
61,1968,4520,12
61,1968,4610,1
61,1968,4770,42
61,1968,4880,17
61,1968,4930,156
61,1968,4950,7
61,1968,4980,64
61,1968,5010,1
61,1968,5070,3
61,1968,5110,296
61,1968,5190,1
61,1968,5290,3
61,1968,5400,2
61,1968,5600,1
61,1968,5630,2
61,1968,5810,23
61,1968,5870,51
61,1968,5930,1
61,1968,6080,1
61,1968,6110,5
61,1968,6130,11
61,1968,6140,2
61,1968,6240,2
61,1968,6740,2
61,1968,6810,5
61,1968,6882,64
61,1968,7030,2
61,1968,7040,11
61,1968,7050,7
61,1968,7210,1
61,1968,7270,1
61,1968,7350,3
61,1968,7610,68
61,1969,510,83
61,1969,700,58
61,1969,1330,31
61,1969,1782,4
61,1969,2010,1
61,1969,2890,80
61,1969,3091,2
61,1969,3160,101
61,1969,3600,2
61,1969,3870,1
61,1969,3900,1
61,1969,3940,2
61,1969,4120,9
61,1969,4440,1
61,1969,4520,6
61,1969,4610,3
61,1969,4770,42
61,1969,4880,6
61,1969,4930,235
61,1969,4950,8
61,1969,4980,93
61,1969,5010,3
61,1969,5070,24
61,1969,5110,190
61,1969,5190,5
