statenum,Year,Aou,SpeciesTotal
64,1968,40,1
64,1968,590,40
64,1968,770,13
64,1968,1320,8
64,1968,1350,6
64,1968,1400,31
64,1968,1420,1
64,1968,1430,13
64,1968,1460,6
64,1968,1670,13
64,1968,1900,17
64,1968,2020,16
64,1968,2140,4
64,1968,2210,15
64,1968,2240,2
64,1968,2490,7
64,1968,2580,4
64,1968,2610,1
64,1968,2730,12
64,1968,2881,1
64,1968,3091,17
64,1968,3131,3
64,1968,3160,22
64,1968,3370,2
64,1968,4060,2
64,1968,4200,1
64,1968,4440,5
64,1968,4470,10
64,1968,4520,1
64,1968,4740,2
64,1968,4770,3
64,1968,4880,1
64,1968,4940,24
64,1968,4950,5
64,1968,4970,91
64,1968,4980,137
64,1968,5011,42
64,1968,5110,7
64,1968,5400,5
64,1968,5420,4
64,1968,5810,3
64,1968,6040,5
64,1968,6130,4
64,1968,6140,3
64,1968,6270,2
64,1968,6520,3
64,1968,6810,40
64,1968,6882,5
64,1968,7050,1
64,1968,7210,2
64,1968,7240,1
64,1968,7250,4
64,1968,7610,1
64,1969,60,14
64,1969,590,34
64,1969,690,2
64,1969,770,42
64,1969,1320,38
64,1969,1350,8
64,1969,1370,1
64,1969,1390,1
64,1969,1400,39
64,1969,1420,3
64,1969,1430,1
64,1969,1460,8
64,1969,1670,5
64,1969,1900,13
64,1969,2020,6
64,1969,2120,1
64,1969,2140,9
64,1969,2210,29
64,1969,2240,1
64,1969,2250,2
64,1969,2300,2
64,1969,2490,2
64,1969,2610,8
64,1969,2730,32
64,1969,3091,4
64,1969,3131,5
64,1969,3160,45
64,1969,3370,2
64,1969,4060,2
64,1969,4120,8
64,1969,4440,13
64,1969,4470,7
64,1969,4660,1
64,1969,4740,10
64,1969,4880,4
64,1969,4930,25
64,1969,4940,35
64,1969,4950,52
64,1969,4970,107
64,1969,4980,455
64,1969,5011,61
64,1969,5060,6
64,1969,5070,1
64,1969,5110,198
64,1969,5290,6
64,1969,5400,11
64,1969,5420,18
64,1969,5460,3
64,1969,5610,1
64,1969,5810,2
64,1969,5840,1
64,1969,6040,6
64,1969,6050,1
64,1969,6120,6
64,1969,6130,24
64,1969,6140,2
64,1969,6270,2
64,1969,6810,37
64,1969,6882,37
64,1969,7050,3
64,1969,7210,3
64,1969,7240,4
64,1969,7250,25
64,1969,7610,19
64,1970,60,4
64,1970,590,3
64,1970,770,10
64,1970,1200,11
64,1970,1320,28
64,1970,1350,9
64,1970,1370,2
64,1970,1400,31
64,1970,1420,5
64,1970,1430,3
64,1970,1440,7
64,1970,1460,5
64,1970,1490,3
64,1970,1670,2
64,1970,1900,3
64,1970,2020,2
64,1970,2140,1
64,1970,2210,4
64,1970,2300,1
64,1970,2490,1
64,1970,2730,14
64,1970,3091,18
64,1970,3131,24
64,1970,3160,31
64,1970,3930,2
64,1970,4060,1
64,1970,4120,4
64,1970,4440,6
64,1970,4470,7
64,1970,4560,2
64,1970,4610,1
64,1970,4740,13
64,1970,4770,2
64,1970,4880,4
64,1970,4930,3
64,1970,4940,20
64,1970,4950,15
64,1970,4970,49
64,1970,4980,99
64,1970,5011,41
64,1970,5070,5
