statenum,Year,Aou,SpeciesTotal
77,1966,2890,7
77,1966,3091,1
77,1966,3131,2
77,1966,3430,1
77,1966,3600,1
77,1966,3930,1
77,1966,4120,9
77,1966,4230,3
77,1966,4440,2
77,1966,4520,4
77,1966,4560,4
77,1966,4610,7
77,1966,4670,5
77,1966,4770,23
77,1966,4880,10
77,1966,4930,22
77,1966,4950,6
77,1966,4980,7
77,1966,5070,9
77,1966,5110,26
77,1966,5170,1
77,1966,5290,3
77,1966,5600,14
77,1966,5630,3
77,1966,5810,8
77,1966,5840,2
77,1966,5870,47
77,1966,5950,1
77,1966,5980,2
77,1966,6080,13
77,1966,6110,6
77,1966,6130,14
77,1966,6240,42
77,1966,6280,3
77,1966,6360,7
77,1966,6410,1
77,1966,6590,6
77,1966,6620,1
77,1966,6670,3
77,1966,6710,3
77,1966,6730,9
77,1966,6740,15
77,1966,6810,9
77,1966,6860,2
77,1966,6870,6
77,1966,6882,20
77,1966,7040,31
77,1966,7050,4
77,1966,7210,16
77,1966,7270,2
77,1966,7280,1
77,1966,7350,7
77,1966,7550,17
77,1966,7560,9
77,1966,7610,39
77,1966,7660,2
77,1967,2890,4
77,1967,3160,1
77,1967,3930,1
77,1967,4120,3
77,1967,4200,1
77,1967,4230,5
77,1967,4440,2
77,1967,4520,4
77,1967,4560,7
77,1967,4610,6
77,1967,4670,6
77,1967,4770,18
77,1967,4880,18
77,1967,4930,22
77,1967,4950,9
77,1967,4980,7
77,1967,5010,1
77,1967,5070,7
77,1967,5110,6
77,1967,5170,2
77,1967,5290,6
77,1967,5600,7
77,1967,5630,2
77,1967,5810,9
77,1967,5870,32
77,1967,5930,1
77,1967,5980,1
77,1967,6080,8
77,1967,6110,2
77,1967,6130,3
77,1967,6240,27
77,1967,6360,2
77,1967,6410,1
77,1967,6450,1
77,1967,6520,1
77,1967,6590,4
77,1967,6710,2
77,1967,6730,3
77,1967,6740,10
77,1967,6760,1
77,1967,6810,11
77,1967,6860,3
77,1967,6870,2
77,1967,6882,17
77,1967,7040,15
77,1967,7050,8
77,1967,7210,9
77,1967,7280,1
77,1967,7350,7
77,1967,7550,17
77,1967,7560,8
77,1967,7590,1
77,1967,7610,36
77,1968,2890,4
77,1968,3091,1
77,1968,3160,2
77,1968,3870,1
77,1968,3880,2
77,1968,3940,2
77,1968,4120,4
77,1968,4440,1
77,1968,4520,3
77,1968,4560,7
77,1968,4610,3
77,1968,4670,2
77,1968,4770,17
77,1968,4880,5
77,1968,4930,25
77,1968,4950,4
77,1968,4980,5
77,1968,5070,3
77,1968,5110,5
77,1968,5170,2
77,1968,5290,1
77,1968,5600,7
77,1968,5630,2
77,1968,5810,12
77,1968,5870,38
77,1968,5930,1
77,1968,6080,8
77,1968,6110,2
77,1968,6130,3
77,1968,6240,25
77,1968,6280,1
77,1968,6290,1
77,1968,6360,1
77,1968,6590,3
77,1968,6670,1
77,1968,6710,2
77,1968,6730,5
77,1968,6740,6
77,1968,6810,9
77,1968,6882,4
77,1968,7040,20
77,1968,7050,2
77,1968,7210,8
77,1968,7270,1
77,1968,7310,1
77,1968,7350,11
77,1968,7550,17
77,1968,7560,4
77,1968,7590,1
77,1968,7610,18
77,1969,510,3
77,1969,1330,1
77,1969,2010,1
77,1969,2890,4
77,1969,3160,2
77,1969,3370,1
77,1969,3390,1
77,1969,3430,4
77,1969,3600,1
77,1969,3940,1
77,1969,4120,11
77,1969,4230,10
77,1969,4440,2
77,1969,4520,8
77,1969,4560,5
77,1969,4610,4
77,1969,4670,2
77,1969,4770,25
77,1969,4880,10
77,1969,4930,22
77,1969,4950,2
77,1969,4980,14
77,1969,5010,5
77,1969,5060,1
77,1969,5070,12
77,1969,5110,11
77,1969,5170,2
77,1969,5290,5
77,1969,5600,6
77,1969,5630,3
77,1969,5810,7
77,1969,5840,1
77,1969,5870,40
77,1969,5930,2
77,1969,5980,1
77,1969,6080,5
77,1969,6110,2
77,1969,6130,13
77,1969,6240,30
77,1969,6360,2
77,1969,6590,2
77,1969,6670,1
77,1969,6710,2
77,1969,6730,7
77,1969,6740,10
77,1969,6810,9
77,1969,6860,3
77,1969,6870,1
77,1969,6882,12
77,1969,7040,20
77,1969,7050,6
77,1969,7210,9
77,1969,7270,4
77,1969,7310,1
77,1969,7350,19
77,1969,7550,13
77,1969,7560,17
77,1969,7610,24
77,1970,2890,6
77,1970,3160,5
77,1970,3880,2
77,1970,3930,1
77,1970,3940,1
77,1970,4120,6
77,1970,4230,8
77,1970,4440,1
77,1970,4520,3
77,1970,4560,5
77,1970,4610,4
77,1970,4770,15
77,1970,4880,4
77,1970,4930,9
77,1970,4980,8
77,1970,5010,1
77,1970,5070,17
77,1970,5110,9
77,1970,5290,1
77,1970,5600,9
77,1970,5630,1
77,1970,5810,5
77,1970,5840,1
77,1970,5870,40
77,1970,5930,3
77,1970,5950,1
77,1970,5980,1
77,1970,6080,14
77,1970,6110,2
77,1970,6130,14
77,1970,6240,29
77,1970,6280,1
77,1970,6360,1
77,1970,6410,1
77,1970,6590,6
77,1970,6670,2
77,1970,6710,1
77,1970,6730,4
