statenum,Year,Aou,SpeciesTotal
82,1966,1320,6
82,1966,2000,1
82,1966,2890,31
82,1966,3160,45
82,1966,3680,1
82,1966,3870,7
82,1966,3940,2
82,1966,4050,2
82,1966,4060,2
82,1966,4090,8
82,1966,4120,5
82,1966,4230,17
82,1966,4280,3
82,1966,4440,4
82,1966,4520,4
82,1966,4560,2
82,1966,4610,14
82,1966,4740,8
82,1966,4770,13
82,1966,4880,31
82,1966,4900,3
82,1966,4930,56
82,1966,4950,20
82,1966,4980,171
82,1966,5010,24
82,1966,5060,5
82,1966,5070,7
82,1966,5110,106
82,1966,5290,2
82,1966,5600,4
82,1966,5630,15
82,1966,5870,3
82,1966,5930,45
82,1966,5980,30
82,1966,6040,20
82,1966,6110,8
82,1966,6130,31
82,1966,6220,2
82,1966,6240,2
82,1966,6280,1
82,1966,6310,8
82,1966,6370,6
82,1966,6810,7
82,1966,6830,11
82,1966,6882,140
82,1966,7030,10
82,1966,7040,2
82,1966,7050,5
82,1966,7180,5
82,1966,7310,12
82,1966,7360,6
82,1966,7510,1
82,1966,7550,2
82,1966,7610,4
82,1966,7660,7
82,1967,1320,6
82,1967,1440,1
82,1967,2890,44
82,1967,3160,22
82,1967,3870,4
82,1967,3940,4
82,1967,4050,3
82,1967,4090,7
82,1967,4120,5
82,1967,4230,8
82,1967,4280,1
82,1967,4440,2
82,1967,4520,9
82,1967,4610,18
82,1967,4650,1
82,1967,4740,3
82,1967,4770,5
82,1967,4880,17
82,1967,4930,35
82,1967,4980,117
82,1967,5010,24
82,1967,5060,9
82,1967,5070,9
82,1967,5110,86
82,1967,5290,6
82,1967,5600,1
82,1967,5630,25
82,1967,5930,51
82,1967,5980,40
82,1967,6040,37
82,1967,6100,3
82,1967,6110,7
82,1967,6130,14
82,1967,6220,1
82,1967,6240,1
82,1967,6270,1
82,1967,6310,2
82,1967,6370,2
82,1967,6810,5
82,1967,6830,20
82,1967,6882,329
82,1967,7030,17
82,1967,7040,1
82,1967,7050,2
82,1967,7180,6
82,1967,7310,19
82,1967,7360,3
82,1967,7510,1
82,1967,7550,1
82,1967,7610,1
82,1967,7660,8
82,1968,1320,56
82,1968,2890,18
82,1968,3160,26
82,1968,3680,2
82,1968,3870,16
82,1968,3940,1
82,1968,4050,2
82,1968,4060,7
82,1968,4090,5
82,1968,4120,5
82,1968,4230,4
82,1968,4280,2
82,1968,4440,2
82,1968,4520,2
82,1968,4610,15
82,1968,4650,1
82,1968,4740,5
82,1968,4770,9
82,1968,4880,31
82,1968,4930,86
82,1968,4950,2
82,1968,4980,107
82,1968,5010,17
82,1968,5060,2
82,1968,5070,15
82,1968,5110,203
82,1968,5600,1
82,1968,5630,15
82,1968,5870,3
82,1968,5930,50
82,1968,5980,31
82,1968,6040,22
82,1968,6100,1
82,1968,6110,63
82,1968,6130,11
82,1968,6220,4
82,1968,6240,4
