statenum,Year,Aou,SpeciesTotal
83,1969,580,23
83,1969,800,6
83,1969,1340,9
83,1969,1770,28
83,1969,1780,14
83,1969,1870,15
83,1969,1970,16
83,1969,2000,4
83,1969,2001,1
83,1969,2190,1
83,1969,2260,6
83,1969,2580,16
83,1969,2800,4
83,1969,2890,16
83,1969,3131,10
83,1969,3160,76
83,1969,3190,97
83,1969,3200,6
83,1969,3870,7
83,1969,3960,1
83,1969,4100,10
83,1969,4200,9
83,1969,4430,8
83,1969,4530,2
83,1969,4960,11
83,1969,4980,175
83,1969,5010,95
83,1969,5050,1
83,1969,5120,1116
83,1969,5520,1
83,1969,5760,2
83,1969,5780,2
83,1969,5860,4
83,1969,5930,1
83,1969,6010,3
83,1969,6040,6
83,1969,6882,441
83,1969,7030,88
83,1969,7060,1
83,1969,7070,4
83,1969,7130,1
83,1970,580,24
83,1970,630,6
83,1970,800,4
83,1970,1340,8
83,1970,1770,35
83,1970,1870,3
83,1970,1940,8
83,1970,1960,6
83,1970,1970,19
83,1970,1990,3
83,1970,2001,1
83,1970,2030,1
83,1970,2260,5
83,1970,2580,42
83,1970,2730,1
83,1970,2800,1
83,1970,2890,10
83,1970,3131,9
83,1970,3160,62
83,1970,3190,96
83,1970,3200,2
83,1970,3870,5
83,1970,4100,5
83,1970,4200,8
83,1970,4210,1
83,1970,4430,9
83,1970,4530,1
83,1970,4960,18
83,1970,4980,243
83,1970,5010,31
83,1970,5050,3
83,1970,5120,796
83,1970,5520,2
83,1970,5760,2
83,1970,5860,1
83,1970,5930,2
83,1970,6010,2
83,1970,6882,326
83,1970,7030,70
83,1970,7070,5
83,1971,580,24
83,1971,630,12
83,1971,640,3
83,1971,650,1
83,1971,690,16
83,1971,800,16
83,1971,1340,17
83,1971,1770,14
83,1971,1780,11
83,1971,1970,7
83,1971,1990,6
83,1971,2000,2
83,1971,2250,4
83,1971,2580,1
83,1971,2640,8
83,1971,2730,4
83,1971,2800,2
83,1971,2890,6
83,1971,3160,53
83,1971,3190,26
83,1971,3200,7
83,1971,3280,2
83,1971,3870,2
83,1971,4100,1
83,1971,4200,5
83,1971,4430,5
83,1971,4461,1
83,1971,4520,2
83,1971,4530,3
83,1971,4740,5
83,1971,4960,34
83,1971,4980,19
83,1971,5010,37
83,1971,5120,684
83,1971,5780,2
83,1971,5860,3
83,1971,6882,553
83,1971,7030,63
83,1971,7070,4
83,1971,7130,2
83,1972,580,18
83,1972,630,5
83,1972,770,2
83,1972,800,1
83,1972,1340,8
83,1972,1770,19
83,1972,1780,4
83,1972,1840,35
83,1972,1960,12
83,1972,1970,1
83,1972,1990,1
83,1972,2001,25
83,1972,2110,1
83,1972,2260,14
83,1972,2580,31
83,1972,2640,11
83,1972,2730,7
83,1972,2890,32
83,1972,3160,97
83,1972,3190,65
83,1972,3200,9
83,1972,3210,5
83,1972,3870,3
83,1972,3960,2
83,1972,4100,5
83,1972,4190,1
83,1972,4200,5
83,1972,4430,4
83,1972,4530,3
83,1972,4740,4
83,1972,4950,3
83,1972,4960,23
83,1972,4980,111
83,1972,5010,19
83,1972,5120,1605
83,1972,5780,1
83,1972,5860,8
83,1972,5930,2
83,1972,6010,1
83,1972,6040,4
83,1972,6130,1
83,1972,6882,990
83,1972,7030,45
83,1972,7060,1
83,1972,7070,1
83,1972,7130,4
83,1972,7460,1
83,1973,580,24
83,1973,690,6
83,1973,800,1
83,1973,1340,1
83,1973,1770,15
83,1973,1780,4
83,1973,1970,3
83,1973,1990,6
83,1973,2001,25
83,1973,2190,6
83,1973,2210,7
83,1973,2260,10
83,1973,2580,16
83,1973,2730,6
83,1973,2800,3
83,1973,2890,12
83,1973,3160,61
83,1973,3190,84
83,1973,3210,4
83,1973,3280,2
83,1973,3870,10
83,1973,3960,1
83,1973,4100,4
83,1973,4200,4
83,1973,4430,8
83,1973,4490,2
83,1973,4740,4
83,1973,4960,19
83,1973,4980,342
83,1973,5010,119
83,1973,5120,1928
83,1973,5780,1
83,1973,5860,4
83,1973,5930,2
83,1973,6170,1
83,1973,6882,1721
83,1973,7030,38
83,1973,7060,1
83,1973,7070,1
83,1973,7130,2
83,1973,7190,2
83,1974,580,43
83,1974,630,3
83,1974,640,5
83,1974,800,2
83,1974,1340,21
83,1974,1770,11
83,1974,1780,6
83,1974,1940,18
83,1974,2000,2
83,1974,2010,2
83,1974,2580,12
83,1974,2730,3
83,1974,2800,1
83,1974,2890,6
83,1974,3110,2
83,1974,3160,37
83,1974,3190,15
83,1974,3200,6
83,1974,3210,2
83,1974,3250,1
83,1974,3840,6
83,1974,3870,3
83,1974,3960,1
83,1974,4100,4
83,1974,4200,7
83,1974,4430,4
83,1974,4740,3
83,1974,4830,1
83,1974,4960,15
83,1974,4980,53
83,1974,5010,19
83,1974,5120,2140
83,1974,5760,1
83,1974,5780,2
83,1974,5860,6
83,1974,5930,2
83,1974,6040,30
83,1974,6130,1
83,1974,6882,1740
83,1974,7030,37
83,1974,7060,1
83,1974,7070,3
83,1974,7130,3
83,1975,580,56
83,1975,630,2
83,1975,640,2
83,1975,690,3
83,1975,1340,17
83,1975,1770,12
83,1975,1780,10
83,1975,1870,7
83,1975,1980,1
83,1975,2001,5
83,1975,2260,2
83,1975,2580,31
83,1975,2640,4
83,1975,2730,10
83,1975,2800,1
83,1975,2890,9
83,1975,3110,12
83,1975,3131,3
83,1975,3160,163
83,1975,3180,1
83,1975,3190,529
83,1975,3200,5
83,1975,3210,5
83,1975,3870,2
83,1975,3960,1
83,1975,4100,2
83,1975,4200,1
83,1975,4210,1
83,1975,4430,10
83,1975,4490,2
83,1975,4740,2
83,1975,4960,10
83,1975,4980,469
83,1975,5010,8
83,1975,5120,3945
83,1975,5860,5
83,1975,6040,10
83,1975,6220,1
83,1975,6310,1
83,1975,6882,1690
83,1975,7030,43
83,1975,7060,1
83,1975,7070,5
83,1975,7130,2
83,1976,630,10
83,1976,690,10
83,1976,740,2
83,1976,800,7
83,1976,1340,2
83,1976,1770,27
83,1976,1780,6
83,1976,1830,4
83,1976,1940,1
83,1976,1990,5
83,1976,2001,5
83,1976,2010,1
83,1976,2020,3
83,1976,2190,4
83,1976,2210,2
83,1976,2260,3
83,1976,2580,34
83,1976,2730,4
83,1976,2800,1
83,1976,2890,18
83,1976,3131,4
83,1976,3160,102
83,1976,3190,171
83,1976,3200,2
83,1976,3210,6
83,1976,3280,1
83,1976,3870,3
83,1976,3960,2
83,1976,4100,3
83,1976,4200,3
83,1976,4210,5
83,1976,4430,1
83,1976,4530,2
83,1976,4740,6
83,1976,4960,17
83,1976,4980,209
83,1976,5010,13
83,1976,5120,1509
83,1976,5860,4
83,1976,5930,1
83,1976,6882,1236
83,1976,7030,28
83,1976,7060,1
83,1976,7070,3
83,1976,7130,1
83,1977,580,49
83,1977,640,1
83,1977,1340,13
83,1977,1400,2
83,1977,1770,8
83,1977,1780,2
83,1977,1870,7
83,1977,1940,1
83,1977,1960,2
83,1977,1990,2
83,1977,2210,2
83,1977,2730,8
83,1977,2890,2
83,1977,3131,7
83,1977,3160,24
83,1977,3190,10
83,1977,3210,1
83,1977,3280,2
83,1977,3870,2
