statenum,Year,Aou,SpeciesTotal
85,1969,3160,14
85,1969,3310,3
85,1969,3480,1
85,1969,4740,95
85,1969,5011,23
85,1969,5520,1
85,1969,5738,4
85,1969,6120,5
85,1970,2881,1
85,1970,2882,10
85,1970,3160,1
85,1970,3490,3
85,1970,3600,1
85,1970,4740,243
85,1970,5011,20
85,1970,5738,4
85,1970,6220,2
85,1970,7020,1
85,1971,1410,2
85,1971,2730,2
85,1971,3160,15
85,1971,4470,2
85,1971,4740,43
85,1971,4860,8
85,1971,5011,117
85,1971,5520,1
85,1971,5738,12
85,1971,6220,4
85,1972,3550,2
85,1972,3780,5
85,1972,4740,62
85,1972,4860,22
85,1972,5011,88
85,1972,5730,1
85,1972,5738,3
85,1972,6220,5
85,1973,3160,1
85,1973,3490,1
85,1973,4200,11
85,1973,4740,63
85,1973,4860,13
85,1973,5011,59
85,1973,5400,2
85,1973,5730,4
85,1973,5738,3
85,1974,2730,2
85,1974,2882,12
85,1974,3160,5
85,1974,3550,1
85,1974,4200,1
85,1974,4740,18
85,1974,4860,1
85,1974,4880,1
85,1974,4950,2
85,1974,5011,38
85,1974,5420,1
85,1974,5520,15
85,1974,5730,7
85,1974,5738,16
85,1974,6220,2
85,1986,2250,1
85,1986,2730,2
85,1986,3160,6
85,1986,3310,1
85,1986,3370,1
85,1986,3490,1
85,1986,3780,1
85,1986,4200,2
85,1986,4740,73
85,1986,4860,4
85,1986,4950,3
85,1986,4980,2
85,1986,5011,135
85,1986,5400,1
85,1986,5520,9
85,1986,5620,18
85,1986,5730,16
85,1986,6130,1
85,1986,6220,1
85,1986,7030,1
85,1987,530,1
85,1987,2730,1
85,1987,3160,18
85,1987,3370,1
85,1987,3490,1
85,1987,3600,1
85,1987,3780,1
85,1987,4200,5
85,1987,4470,1
85,1987,4740,57
85,1987,4860,3
85,1987,4950,8
85,1987,5011,131
85,1987,5100,6
85,1987,5520,27
85,1987,5620,23
85,1987,5730,37
85,1987,5738,1
85,1987,6220,2
85,1987,7020,2
85,1987,7030,5
85,1987,7150,2
85,1988,2730,1
85,1988,3160,2
85,1988,3310,4
85,1988,3490,1
85,1988,3780,3
85,1988,4200,2
85,1988,4470,2
85,1988,4740,38
85,1988,4860,17
85,1988,5011,132
85,1988,5100,19
85,1988,5520,4
85,1988,5730,8
85,1988,7020,3
85,1988,7030,1
85,1988,7150,3
85,1996,2730,1
85,1996,3160,19
85,1996,4200,12
85,1996,4740,68
85,1996,4860,2
85,1996,4950,4
85,1996,5011,89
85,1996,5190,2
85,1996,5520,5
85,1996,5620,1
85,1996,5730,47
85,1996,5738,27
85,1996,6220,1
85,1996,7020,5
85,1996,7030,2
85,1997,2730,4
85,1997,3160,25
85,1997,3310,7
85,1997,3490,2
85,1997,3780,2
85,1997,4200,4
85,1997,4740,30
85,1997,4860,5
85,1997,4950,8
85,1997,5011,99
85,1997,5520,10
85,1997,5730,43
85,1997,5738,11
85,1997,6220,1
85,1997,7020,1
85,1997,7030,2
85,1998,2730,2
85,1998,3160,18
85,1998,3490,1
85,1998,4740,37
85,1998,4860,4
85,1998,5011,169
85,1998,5520,21
85,1998,5730,32
85,1998,5738,7
85,1998,6220,7
85,1998,7020,27
85,2005,2730,1
85,2005,3160,2
85,2005,3370,1
85,2005,3600,1
85,2005,4740,114
85,2005,4860,6
85,2005,5011,68
85,2005,5400,7
85,2005,5420,2
85,2005,5520,25
85,2005,5620,4
85,2005,5730,62
85,2005,5738,27
85,2005,6220,2
85,2005,7020,1
85,2005,7150,12
85,2010,2730,1
85,2010,3160,3
85,2010,3310,1
85,2010,3600,1
85,2010,4200,3
85,2010,4740,172
85,2010,4860,3
85,2010,5011,47
85,2010,5100,9
85,2010,5400,5
85,2010,5520,19
85,2010,5620,35
85,2010,5738,8
85,2010,6220,7
85,2010,7020,4
85,2010,7030,6
85,2010,7150,5
85,2011,2730,4
85,2011,3160,23
85,2011,3310,2
85,2011,4200,4
85,2011,4470,2
85,2011,4740,99
85,2011,4860,9
85,2011,5011,50
85,2011,5100,10
85,2011,5520,35
85,2011,5620,34
85,2011,5730,6
85,2011,5738,9
85,2011,6220,2
85,2011,7030,6
85,1969,530,1
85,1969,590,142
85,1969,1720,2
85,1969,2250,6
85,1969,2640,17
85,1969,2730,6
85,1969,2882,6
85,1969,3091,20
85,1969,3160,37
85,1969,3250,1
85,1969,3310,3
85,1969,3370,3
85,1969,3420,2
85,1969,3600,2
85,1969,3780,3
85,1969,4200,8
85,1969,4740,29
85,1969,4750,13
85,1969,4860,11
85,1969,4930,32
85,1969,4950,2
85,1969,4980,15
85,1969,5011,79
85,1969,5100,29
85,1969,5400,2
85,1969,5520,20
