statenum,Year,Aou,SpeciesTotal
89,1971,290,5
89,1971,440,12
89,1971,1200,4
89,1971,3091,1
89,1971,3120,22
89,1971,3900,1
89,1971,3930,1
89,1971,4050,3
89,1971,4330,6
89,1971,4590,1
89,1971,4641,13
89,1971,4780,11
89,1971,4860,1
89,1971,4890,27
89,1971,4930,15
89,1971,4950,3
89,1971,4980,3
89,1971,5170,1
89,1971,5190,4
89,1971,5290,10
89,1971,5420,1
89,1971,5540,2
89,1971,5671,2
89,1971,5810,29
89,1971,5880,1
89,1971,5960,6
89,1971,6070,3
89,1971,6120,7
89,1971,6130,13
89,1971,6150,27
89,1971,6170,4
89,1971,6190,8
89,1971,6270,3
89,1971,6320,2
89,1971,6460,7
89,1971,6560,4
89,1971,6680,6
89,1971,6850,40
89,1971,7221,40
89,1971,7410,7
89,1971,7480,16
89,1971,7580,66
89,1971,7610,43
89,1971,7630,5
89,1972,440,80
89,1972,3120,6
89,1972,4050,2
89,1972,4130,1
89,1972,4220,36
89,1972,4240,11
89,1972,4330,4
89,1972,4590,2
89,1972,4641,27
89,1972,4860,3
89,1972,4890,18
89,1972,4930,14
89,1972,4950,3
89,1972,4980,4
89,1972,5170,1
89,1972,5190,3
89,1972,5290,3
89,1972,5330,21
89,1972,5540,1
89,1972,5810,20
89,1972,6070,5
89,1972,6120,2
89,1972,6130,13
89,1972,6150,27
89,1972,6190,3
89,1972,6270,5
89,1972,6320,1
89,1972,6460,5
89,1972,6520,1
89,1972,6560,5
89,1972,6680,2
89,1972,6850,23
89,1972,7190,1
89,1972,7221,33
89,1972,7410,7
89,1972,7480,22
89,1972,7580,71
89,1972,7610,35
89,1972,7630,9
89,1973,440,6
89,1973,3120,17
89,1973,3940,1
89,1973,4050,1
89,1973,4130,1
89,1973,4330,2
89,1973,4590,2
89,1973,4620,2
89,1973,4641,25
89,1973,4660,1
89,1973,4780,11
89,1973,4860,1
89,1973,4880,13
89,1973,4930,11
89,1973,4950,5
89,1973,4980,3
89,1973,5170,8
89,1973,5540,1
89,1973,5671,4
89,1973,5810,33
89,1973,6070,4
89,1973,6120,2
89,1973,6130,38
89,1973,6150,34
89,1973,6190,9
89,1973,6270,5
89,1973,6320,3
89,1973,6460,10
89,1973,6560,2
89,1973,6650,3
89,1973,6800,2
89,1973,6810,1
89,1973,6850,32
89,1973,6882,1
89,1973,7221,36
89,1973,7410,26
89,1973,7480,28
89,1973,7580,79
89,1973,7610,53
89,1973,7630,16
89,1974,150,6
89,1974,290,3
89,1974,440,168
89,1974,1230,15
89,1974,1290,2
89,1974,2630,2
89,1974,2971,2
89,1974,3120,2
89,1974,3900,1
89,1974,3930,1
89,1974,3940,1
89,1974,4050,1
89,1974,4130,1
89,1974,4240,8
89,1974,4330,8
89,1974,4620,1
89,1974,4641,16
89,1974,4780,6
89,1974,4860,1
89,1974,4880,26
89,1974,4890,2
89,1974,4930,4
89,1974,4950,6
89,1974,5170,4
89,1974,5210,23
89,1974,5290,6
89,1974,5671,2
89,1974,5810,32
89,1974,5880,2
89,1974,5960,2
89,1974,6070,3
89,1974,6120,4
89,1974,6130,18
89,1974,6150,41
89,1974,6170,10
89,1974,6190,2
89,1974,6270,10
89,1974,6460,10
89,1974,6560,3
89,1974,6650,4
89,1974,6680,2
89,1974,6850,26
89,1974,7190,3
89,1974,7221,36
89,1974,7410,14
89,1974,7480,16
89,1974,7580,68
89,1974,7610,50
89,1974,7630,7
89,1975,290,6
89,1975,440,39
89,1975,1290,1
89,1975,1940,1
89,1975,3120,4
89,1975,3900,1
89,1975,4130,2
89,1975,4240,8
89,1975,4330,6
89,1975,4641,21
89,1975,4660,1
89,1975,4780,3
89,1975,4860,2
89,1975,4880,26
89,1975,4930,20
89,1975,4950,5
89,1975,4980,1
89,1975,5170,4
89,1975,5190,1
89,1975,5420,2
89,1975,5671,1
89,1975,5810,21
89,1975,6070,2
89,1975,6120,15
89,1975,6130,17
89,1975,6150,28
89,1975,6270,7
89,1975,6320,1
89,1975,6460,9
89,1975,6680,6
89,1975,6800,1
89,1975,6850,31
89,1975,7221,47
89,1975,7350,1
89,1975,7410,6
89,1975,7480,24
89,1975,7580,95
89,1975,7610,46
89,1975,7630,14
89,1976,70,1
89,1976,150,3
89,1976,440,54
89,1976,1200,2
89,1976,1290,2
89,1976,3120,3
89,1976,3320,1
89,1976,3520,1
89,1976,3900,3
89,1976,3930,1
89,1976,4130,2
89,1976,4240,10
89,1976,4330,5
89,1976,4620,2
89,1976,4641,21
89,1976,4780,9
89,1976,4860,5
89,1976,4880,17
89,1976,4930,8
89,1976,4950,4
89,1976,5170,1
89,1976,5290,15
89,1976,5330,1
89,1976,5540,1
89,1976,5671,5
89,1976,5810,41
89,1976,5880,1
