statenum,Year,Aou,SpeciesTotal
90,1970,2730,1
90,1970,2890,11
90,1970,3160,1
90,1970,3900,1
90,1970,3940,2
90,1970,4050,7
90,1970,4120,16
90,1970,4230,2
90,1970,4440,7
90,1970,4520,7
90,1970,4560,11
90,1970,4610,4
90,1970,4650,1
90,1970,4770,4
90,1970,4880,48
90,1970,4930,34
90,1970,4950,5
90,1970,4980,19
90,1970,5010,18
90,1970,5060,3
90,1970,5110,10
90,1970,5290,2
90,1970,5400,1
90,1970,5460,4
90,1970,5600,25
90,1970,5630,21
90,1970,5810,35
90,1970,5870,37
90,1970,5930,29
90,1970,5980,53
90,1970,6080,14
90,1970,6100,2
90,1970,6130,16
90,1970,6190,1
90,1970,6240,26
90,1970,6280,2
90,1970,6310,1
90,1970,6360,5
90,1970,6380,1
90,1970,6390,1
90,1970,6420,1
90,1970,6480,3
90,1970,6520,14
90,1970,6580,1
90,1970,6730,6
90,1970,6740,8
90,1970,6760,1
90,1970,6770,3
90,1970,6810,5
90,1970,6830,13
90,1970,6870,5
90,1970,6882,9
90,1970,7030,10
90,1970,7040,6
90,1970,7050,6
90,1970,7180,1
90,1970,7190,1
90,1970,7270,6
90,1970,7310,30
90,1970,7360,3
90,1970,7510,8
90,1970,7550,26
90,1970,7610,37
90,1970,7660,5
90,1971,2890,14
90,1971,3160,1
90,1971,3250,1
90,1971,3870,2
90,1971,3940,3
90,1971,4050,1
90,1971,4120,10
90,1971,4230,3
90,1971,4440,4
90,1971,4520,10
90,1971,4560,9
90,1971,4610,4
90,1971,4650,2
90,1971,4770,4
90,1971,4880,73
90,1971,4930,25
90,1971,4950,4
90,1971,4980,17
90,1971,5010,7
90,1971,5060,2
90,1971,5070,4
90,1971,5110,22
90,1971,5290,4
90,1971,5400,2
90,1971,5460,3
90,1971,5600,21
90,1971,5630,27
90,1971,5810,28
90,1971,5870,33
90,1971,5930,16
90,1971,5980,55
90,1971,6080,13
90,1971,6100,1
90,1971,6130,2
90,1971,6190,2
90,1971,6240,37
90,1971,6280,3
90,1971,6310,1
90,1971,6360,3
90,1971,6480,2
90,1971,6520,12
90,1971,6740,7
90,1971,6760,1
90,1971,6770,1
90,1971,6810,5
90,1971,6830,13
90,1971,6840,1
90,1971,6870,5
90,1971,6882,5
90,1971,7030,11
90,1971,7040,8
90,1971,7050,4
90,1971,7180,4
90,1971,7190,2
90,1971,7270,4
90,1971,7310,33
90,1971,7360,13
90,1971,7510,3
90,1971,7550,29
90,1971,7610,52
90,1971,7660,9
90,1972,2890,24
90,1972,3000,2
90,1972,3160,2
90,1972,3870,2
90,1972,3880,1
90,1972,3930,4
90,1972,3940,3
90,1972,4050,6
90,1972,4090,1
90,1972,4120,4
90,1972,4171,1
90,1972,4230,7
90,1972,4440,5
90,1972,4520,9
90,1972,4560,4
90,1972,4610,2
90,1972,4650,3
90,1972,4770,8
90,1972,4880,59
90,1972,4930,23
90,1972,4950,3
90,1972,4980,21
90,1972,5010,15
90,1972,5060,1
90,1972,5070,4
90,1972,5110,23
90,1972,5290,16
90,1972,5400,1
90,1972,5600,33
90,1972,5630,22
90,1972,5810,29
90,1972,5870,37
90,1972,5930,29
90,1972,5980,48
90,1972,6080,4
90,1972,6130,3
90,1972,6190,4
90,1972,6240,24
90,1972,6280,1
90,1972,6310,4
90,1972,6360,5
